quarter,town,flat_type,price
2007-Q3,Jurong West,3-room,162000
2007-Q3,Jurong West,4-room,240500
2007-Q3,Jurong West,5-room,300000
2007-Q3,Jurong West,Executive,306000
2007-Q3,Kallang/Whampoa,1-room,0
2007-Q3,Kallang/Whampoa,2-room,-
2007-Q3,Kallang/Whampoa,3-room,194000
2007-Q3,Kallang/Whampoa,4-room,307500
2007-Q3,Kallang/Whampoa,5-room,423000
2007-Q3,Kallang/Whampoa,Executive,-
2007-Q3,Marine Parade,1-room,0
2007-Q3,Marine Parade,2-room,0
2007-Q3,Marine Parade,3-room,275000
2007-Q3,Marine Parade,4-room,-
2007-Q3,Marine Parade,5-room,-
2007-Q3,Marine Parade,Executive,0
2007-Q3,Pasir Ris,1-room,0
2007-Q3,Pasir Ris,2-room,0
2007-Q3,Pasir Ris,3-room,0
2007-Q3,Pasir Ris,4-room,260000
2007-Q3,Pasir Ris,5-room,310000
2007-Q3,Pasir Ris,Executive,420000
2007-Q3,Punggol,1-room,0
2007-Q3,Punggol,2-room,0
2007-Q3,Punggol,3-room,0
2007-Q3,Punggol,4-room,271000
2007-Q3,Punggol,5-room,328000
2007-Q3,Punggol,Executive,-
2007-Q3,Queenstown,1-room,0
2007-Q3,Queenstown,2-room,-
2007-Q3,Queenstown,3-room,197000
2007-Q3,Queenstown,4-room,410000
2007-Q3,Queenstown,5-room,603000
2007-Q3,Queenstown,Executive,-
2007-Q3,Sembawang,1-room,0
2007-Q3,Sembawang,2-room,0
2007-Q3,Sembawang,3-room,0
2007-Q3,Sembawang,4-room,250400
2007-Q3,Sembawang,5-room,297000
2007-Q3,Sembawang,Executive,352000
2007-Q3,Sengkang,1-room,0
2007-Q3,Sengkang,2-room,0
2007-Q3,Sengkang,3-room,0
2007-Q3,Sengkang,4-room,260000
2007-Q3,Sengkang,5-room,316000
2007-Q3,Sengkang,Executive,346000
2007-Q3,Serangoon,1-room,0
2007-Q3,Serangoon,2-room,0
2007-Q3,Serangoon,3-room,183000
2007-Q3,Serangoon,4-room,253000
2007-Q3,Serangoon,5-room,329000
2007-Q3,Serangoon,Executive,415000
2007-Q3,Tampines,1-room,0
2007-Q3,Tampines,2-room,0
2007-Q3,Tampines,3-room,209500
2007-Q3,Tampines,4-room,280000
2007-Q3,Tampines,5-room,340000
2007-Q3,Tampines,Executive,432000
2007-Q3,Toa Payoh,1-room,0
2007-Q3,Toa Payoh,2-room,-
2007-Q3,Toa Payoh,3-room,205500
2007-Q3,Toa Payoh,4-room,360000
2007-Q3,Toa Payoh,5-room,448000
2007-Q3,Toa Payoh,Executive,-
2007-Q3,Woodlands,1-room,0
2007-Q3,Woodlands,2-room,-
2007-Q3,Woodlands,3-room,158000
2007-Q3,Woodlands,4-room,238000
2007-Q3,Woodlands,5-room,285000
2007-Q3,Woodlands,Executive,362500
2007-Q3,Yishun,1-room,0
2007-Q3,Yishun,2-room,0
2007-Q3,Yishun,3-room,164000
2007-Q3,Yishun,4-room,203000
2007-Q3,Yishun,5-room,282000
2007-Q3,Yishun,Executive,355000
2007-Q4,Ang Mo Kio,1-room,0
2007-Q4,Ang Mo Kio,2-room,-
2007-Q4,Ang Mo Kio,3-room,203000
2007-Q4,Ang Mo Kio,4-room,307000
2007-Q4,Ang Mo Kio,5-room,423000
2007-Q4,Ang Mo Kio,Executive,-
2007-Q4,Bedok,1-room,0
2007-Q4,Bedok,2-room,-
2007-Q4,Bedok,3-room,193000
2007-Q4,Bedok,4-room,257000
2007-Q4,Bedok,5-room,400000
2007-Q4,Bedok,Executive,-
2007-Q4,Bishan,1-room,0
2007-Q4,Bishan,2-room,0
2007-Q4,Bishan,3-room,-
2007-Q4,Bishan,4-room,340500
2007-Q4,Bishan,5-room,480000
2007-Q4,Bishan,Executive,-
2007-Q4,Bukit Batok,1-room,0
2007-Q4,Bukit Batok,2-room,0
2007-Q4,Bukit Batok,3-room,183000
2007-Q4,Bukit Batok,4-room,305000
2007-Q4,Bukit Batok,5-room,430000
2007-Q4,Bukit Batok,Executive,431800
2007-Q4,Bukit Merah,1-room,-
2007-Q4,Bukit Merah,2-room,-
2007-Q4,Bukit Merah,3-room,230000
2007-Q4,Bukit Merah,4-room,428000
2007-Q4,Bukit Merah,5-room,573000
2007-Q4,Bukit Merah,Executive,0
2007-Q4,Bukit Panjang,1-room,0
2007-Q4,Bukit Panjang,2-room,0
2007-Q4,Bukit Panjang,3-room,178000
2007-Q4,Bukit Panjang,4-room,249000
2007-Q4,Bukit Panjang,5-room,319000
2007-Q4,Bukit Panjang,Executive,-
2007-Q4,Bukit Timah,1-room,0
2007-Q4,Bukit Timah,2-room,0
2007-Q4,Bukit Timah,3-room,-
2007-Q4,Bukit Timah,4-room,-
2007-Q4,Bukit Timah,5-room,-
2007-Q4,Bukit Timah,Executive,-
2007-Q4,Central,1-room,0
2007-Q4,Central,2-room,-
2007-Q4,Central,3-room,300000
2007-Q4,Central,4-room,-
2007-Q4,Central,5-room,0
2007-Q4,Central,Executive,0
2007-Q4,Choa Chu Kang,1-room,0
2007-Q4,Choa Chu Kang,2-room,0
2007-Q4,Choa Chu Kang,3-room,169800
2007-Q4,Choa Chu Kang,4-room,253000
2007-Q4,Choa Chu Kang,5-room,313000
2007-Q4,Choa Chu Kang,Executive,380000
2007-Q4,Clementi,1-room,0
2007-Q4,Clementi,2-room,-
2007-Q4,Clementi,3-room,210000
2007-Q4,Clementi,4-room,335000
2007-Q4,Clementi,5-room,484500
2007-Q4,Clementi,Executive,-
2007-Q4,Geylang,1-room,0
2007-Q4,Geylang,2-room,-
2007-Q4,Geylang,3-room,185000
2007-Q4,Geylang,4-room,271500
2007-Q4,Geylang,5-room,-
2007-Q4,Geylang,Executive,-
2007-Q4,Hougang,1-room,0
2007-Q4,Hougang,2-room,0
2007-Q4,Hougang,3-room,184000
2007-Q4,Hougang,4-room,263000
2007-Q4,Hougang,5-room,349000
2007-Q4,Hougang,Executive,416000
2007-Q4,Jurong East,1-room,0
2007-Q4,Jurong East,2-room,0
2007-Q4,Jurong East,3-room,190800
2007-Q4,Jurong East,4-room,267000
2007-Q4,Jurong East,5-room,390000
2007-Q4,Jurong East,Executive,-
2007-Q4,Jurong West,1-room,0
2007-Q4,Jurong West,2-room,0
2007-Q4,Jurong West,3-room,170000
2007-Q4,Jurong West,4-room,242000
2007-Q4,Jurong West,5-room,315000
2007-Q4,Jurong West,Executive,360000
2007-Q4,Kallang/Whampoa,1-room,0
2007-Q4,Kallang/Whampoa,2-room,-
2007-Q4,Kallang/Whampoa,3-room,212000
2007-Q4,Kallang/Whampoa,4-room,353000
2007-Q4,Kallang/Whampoa,5-room,461500
2007-Q4,Kallang/Whampoa,Executive,-
2007-Q4,Marine Parade,1-room,0
2007-Q4,Marine Parade,2-room,0
2007-Q4,Marine Parade,3-room,290000
2007-Q4,Marine Parade,4-room,360000
2007-Q4,Marine Parade,5-room,-
2007-Q4,Marine Parade,Executive,0
2007-Q4,Pasir Ris,1-room,0
2007-Q4,Pasir Ris,2-room,-
2007-Q4,Pasir Ris,3-room,0
2007-Q4,Pasir Ris,4-room,275500
2007-Q4,Pasir Ris,5-room,340500
