quarter,town,flat_type,price
2009-Q2,Tampines,5-room,393000
2009-Q2,Tampines,Executive,482500
2009-Q2,Toa Payoh,1-room,0
2009-Q2,Toa Payoh,2-room,-
2009-Q2,Toa Payoh,3-room,260000
2009-Q2,Toa Payoh,4-room,405000
2009-Q2,Toa Payoh,5-room,527500
2009-Q2,Toa Payoh,Executive,-
2009-Q2,Woodlands,1-room,0
2009-Q2,Woodlands,2-room,0
2009-Q2,Woodlands,3-room,198100
2009-Q2,Woodlands,4-room,288000
2009-Q2,Woodlands,5-room,340000
2009-Q2,Woodlands,Executive,419500
2009-Q2,Yishun,1-room,0
2009-Q2,Yishun,2-room,0
2009-Q2,Yishun,3-room,221000
2009-Q2,Yishun,4-room,270000
2009-Q2,Yishun,5-room,365000
2009-Q2,Yishun,Executive,440000
2009-Q3,Ang Mo Kio,1-room,0
2009-Q3,Ang Mo Kio,2-room,-
2009-Q3,Ang Mo Kio,3-room,256500
2009-Q3,Ang Mo Kio,4-room,355500
2009-Q3,Ang Mo Kio,5-room,488000
2009-Q3,Ang Mo Kio,Executive,-
2009-Q3,Bedok,1-room,0
2009-Q3,Bedok,2-room,-
2009-Q3,Bedok,3-room,245000
2009-Q3,Bedok,4-room,330000
2009-Q3,Bedok,5-room,430000
2009-Q3,Bedok,Executive,497500
2009-Q3,Bishan,1-room,0
2009-Q3,Bishan,2-room,0
2009-Q3,Bishan,3-room,296900
2009-Q3,Bishan,4-room,399000
2009-Q3,Bishan,5-room,505000
2009-Q3,Bishan,Executive,590000
2009-Q3,Bukit Batok,1-room,0
2009-Q3,Bukit Batok,2-room,0
2009-Q3,Bukit Batok,3-room,243000
2009-Q3,Bukit Batok,4-room,360000
2009-Q3,Bukit Batok,5-room,459000
2009-Q3,Bukit Batok,Executive,485000
2009-Q3,Bukit Merah,1-room,-
2009-Q3,Bukit Merah,2-room,-
2009-Q3,Bukit Merah,3-room,285000
2009-Q3,Bukit Merah,4-room,461900
2009-Q3,Bukit Merah,5-room,590000
2009-Q3,Bukit Merah,Executive,0
2009-Q3,Bukit Panjang,1-room,0
2009-Q3,Bukit Panjang,2-room,0
2009-Q3,Bukit Panjang,3-room,232500
2009-Q3,Bukit Panjang,4-room,300000
2009-Q3,Bukit Panjang,5-room,377000
2009-Q3,Bukit Panjang,Executive,483000
2009-Q3,Bukit Timah,1-room,0
2009-Q3,Bukit Timah,2-room,0
2009-Q3,Bukit Timah,3-room,-
2009-Q3,Bukit Timah,4-room,-
2009-Q3,Bukit Timah,5-room,-
2009-Q3,Bukit Timah,Executive,-
2009-Q3,Central,1-room,0
2009-Q3,Central,2-room,-
2009-Q3,Central,3-room,320000
2009-Q3,Central,4-room,446400
2009-Q3,Central,5-room,-
2009-Q3,Central,Executive,0
2009-Q3,Choa Chu Kang,1-room,0
2009-Q3,Choa Chu Kang,2-room,0
2009-Q3,Choa Chu Kang,3-room,225500
2009-Q3,Choa Chu Kang,4-room,315000
2009-Q3,Choa Chu Kang,5-room,368000
2009-Q3,Choa Chu Kang,Executive,436500
2009-Q3,Clementi,1-room,0
2009-Q3,Clementi,2-room,0
2009-Q3,Clementi,3-room,272000
2009-Q3,Clementi,4-room,400000
2009-Q3,Clementi,5-room,506000
2009-Q3,Clementi,Executive,-
2009-Q3,Geylang,1-room,0
2009-Q3,Geylang,2-room,-
2009-Q3,Geylang,3-room,232000
2009-Q3,Geylang,4-room,363000
2009-Q3,Geylang,5-room,476900
2009-Q3,Geylang,Executive,-
2009-Q3,Hougang,1-room,0
2009-Q3,Hougang,2-room,0
2009-Q3,Hougang,3-room,240000
2009-Q3,Hougang,4-room,325000
2009-Q3,Hougang,5-room,386500
2009-Q3,Hougang,Executive,473900
2009-Q3,Jurong East,1-room,0
2009-Q3,Jurong East,2-room,0
2009-Q3,Jurong East,3-room,250000
2009-Q3,Jurong East,4-room,330000
2009-Q3,Jurong East,5-room,433500
2009-Q3,Jurong East,Executive,543500
2009-Q3,Jurong West,1-room,0
2009-Q3,Jurong West,2-room,0
2009-Q3,Jurong West,3-room,223000
2009-Q3,Jurong West,4-room,310300
2009-Q3,Jurong West,5-room,388000
2009-Q3,Jurong West,Executive,440000
2009-Q3,Kallang/Whampoa,1-room,0
2009-Q3,Kallang/Whampoa,2-room,-
2009-Q3,Kallang/Whampoa,3-room,257000
2009-Q3,Kallang/Whampoa,4-room,396000
2009-Q3,Kallang/Whampoa,5-room,515000
2009-Q3,Kallang/Whampoa,Executive,-
2009-Q3,Marine Parade,1-room,0
2009-Q3,Marine Parade,2-room,0
2009-Q3,Marine Parade,3-room,320000
2009-Q3,Marine Parade,4-room,-
2009-Q3,Marine Parade,5-room,620000
2009-Q3,Marine Parade,Executive,0
2009-Q3,Pasir Ris,1-room,0
2009-Q3,Pasir Ris,2-room,-
2009-Q3,Pasir Ris,3-room,0
2009-Q3,Pasir Ris,4-room,339500
2009-Q3,Pasir Ris,5-room,388000
2009-Q3,Pasir Ris,Executive,485000
2009-Q3,Punggol,1-room,0
2009-Q3,Punggol,2-room,0
2009-Q3,Punggol,3-room,0
2009-Q3,Punggol,4-room,342000
2009-Q3,Punggol,5-room,395000
2009-Q3,Punggol,Executive,462900
2009-Q3,Queenstown,1-room,0
2009-Q3,Queenstown,2-room,-
2009-Q3,Queenstown,3-room,280000
2009-Q3,Queenstown,4-room,479000
2009-Q3,Queenstown,5-room,619000
2009-Q3,Queenstown,Executive,-
2009-Q3,Sembawang,1-room,0
2009-Q3,Sembawang,2-room,0
2009-Q3,Sembawang,3-room,0
2009-Q3,Sembawang,4-room,320000
2009-Q3,Sembawang,5-room,365000
2009-Q3,Sembawang,Executive,425000
2009-Q3,Sengkang,1-room,0
2009-Q3,Sengkang,2-room,0
2009-Q3,Sengkang,3-room,0
2009-Q3,Sengkang,4-room,333000
2009-Q3,Sengkang,5-room,386300
2009-Q3,Sengkang,Executive,460000
2009-Q3,Serangoon,1-room,0
2009-Q3,Serangoon,2-room,0
2009-Q3,Serangoon,3-room,243500
2009-Q3,Serangoon,4-room,335000
2009-Q3,Serangoon,5-room,407500
2009-Q3,Serangoon,Executive,480000
2009-Q3,Tampines,1-room,0
2009-Q3,Tampines,2-room,0
2009-Q3,Tampines,3-room,270000
2009-Q3,Tampines,4-room,351000
2009-Q3,Tampines,5-room,400000
2009-Q3,Tampines,Executive,490000
2009-Q3,Toa Payoh,1-room,0
2009-Q3,Toa Payoh,2-room,-
2009-Q3,Toa Payoh,3-room,268000
2009-Q3,Toa Payoh,4-room,414000
2009-Q3,Toa Payoh,5-room,535000
2009-Q3,Toa Payoh,Executive,-
2009-Q3,Woodlands,1-room,0
2009-Q3,Woodlands,2-room,0
2009-Q3,Woodlands,3-room,213000
2009-Q3,Woodlands,4-room,300000
2009-Q3,Woodlands,5-room,350000
2009-Q3,Woodlands,Executive,420000
2009-Q3,Yishun,1-room,0
2009-Q3,Yishun,2-room,0
2009-Q3,Yishun,3-room,231000
2009-Q3,Yishun,4-room,280000
2009-Q3,Yishun,5-room,370000
2009-Q3,Yishun,Executive,425000
2009-Q4,Ang Mo Kio,1-room,0
2009-Q4,Ang Mo Kio,2-room,-
2009-Q4,Ang Mo Kio,3-room,274000
2009-Q4,Ang Mo Kio,4-room,371500
2009-Q4,Ang Mo Kio,5-room,503000
2009-Q4,Ang Mo Kio,Executive,-
2009-Q4,Bedok,1-room,0
2009-Q4,Bedok,2-room,-
2009-Q4,Bedok,3-room,252000
2009-Q4,Bedok,4-room,335000
2009-Q4,Bedok,5-room,465000
2009-Q4,Bedok,Executive,515000
2009-Q4,Bishan,1-room,0
2009-Q4,Bishan,2-room,0
2009-Q4,Bishan,3-room,290000
2009-Q4,Bishan,4-room,412500
2009-Q4,Bishan,5-room,538000
2009-Q4,Bishan,Executive,-
2009-Q4,Bukit Batok,1-room,0
2009-Q4,Bukit Batok,2-room,0
2009-Q4,Bukit Batok,3-room,255000
2009-Q4,Bukit Batok,4-room,349000
2009-Q4,Bukit Batok,5-room,463000
2009-Q4,Bukit Batok,Executive,482000
2009-Q4,Bukit Merah,1-room,-
2009-Q4,Bukit Merah,2-room,-
2009-Q4,Bukit Merah,3-room,303500
2009-Q4,Bukit Merah,4-room,489000
2009-Q4,Bukit Merah,5-room,610000
2009-Q4,Bukit Merah,Executive,0
2009-Q4,Bukit Panjang,1-room,0
2009-Q4,Bukit Panjang,2-room,0
2009-Q4,Bukit Panjang,3-room,253300
2009-Q4,Bukit Panjang,4-room,305000
2009-Q4,Bukit Panjang,5-room,378000
2009-Q4,Bukit Panjang,Executive,471500
2009-Q4,Bukit Timah,1-room,0
2009-Q4,Bukit Timah,2-room,0
2009-Q4,Bukit Timah,3-room,-
2009-Q4,Bukit Timah,4-room,-
2009-Q4,Bukit Timah,5-room,-
2009-Q4,Bukit Timah,Executive,-
2009-Q4,Central,1-room,0
2009-Q4,Central,2-room,-
2009-Q4,Central,3-room,360000
2009-Q4,Central,4-room,-
2009-Q4,Central,5-room,-
2009-Q4,Central,Executive,0
2009-Q4,Choa Chu Kang,1-room,0
2009-Q4,Choa Chu Kang,2-room,0
2009-Q4,Choa Chu Kang,3-room,-
2009-Q4,Choa Chu Kang,4-room,330000
2009-Q4,Choa Chu Kang,5-room,385000
2009-Q4,Choa Chu Kang,Executive,463000
2009-Q4,Clementi,1-room,0
2009-Q4,Clementi,2-room,0
2009-Q4,Clementi,3-room,280000
2009-Q4,Clementi,4-room,415000
2009-Q4,Clementi,5-room,532500
2009-Q4,Clementi,Executive,-
2009-Q4,Geylang,1-room,0
2009-Q4,Geylang,2-room,-
2009-Q4,Geylang,3-room,243800
2009-Q4,Geylang,4-room,372000
2009-Q4,Geylang,5-room,541000
2009-Q4,Geylang,Executive,-
2009-Q4,Hougang,1-room,0
2009-Q4,Hougang,2-room,0
2009-Q4,Hougang,3-room,250000
2009-Q4,Hougang,4-room,333000
2009-Q4,Hougang,5-room,408000
2009-Q4,Hougang,Executive,495000
2009-Q4,Jurong East,1-room,0
2009-Q4,Jurong East,2-room,0
2009-Q4,Jurong East,3-room,259500
2009-Q4,Jurong East,4-room,335000
2009-Q4,Jurong East,5-room,442000
2009-Q4,Jurong East,Executive,535000
2009-Q4,Jurong West,1-room,0
2009-Q4,Jurong West,2-room,0
2009-Q4,Jurong West,3-room,235000
2009-Q4,Jurong West,4-room,327000
2009-Q4,Jurong West,5-room,400000
2009-Q4,Jurong West,Executive,459000
2009-Q4,Kallang/Whampoa,1-room,0
2009-Q4,Kallang/Whampoa,2-room,-
2009-Q4,Kallang/Whampoa,3-room,270000
2009-Q4,Kallang/Whampoa,4-room,410000
2009-Q4,Kallang/Whampoa,5-room,530000
2009-Q4,Kallang/Whampoa,Executive,-
2009-Q4,Marine Parade,1-room,0
2009-Q4,Marine Parade,2-room,0
2009-Q4,Marine Parade,3-room,332000
2009-Q4,Marine Parade,4-room,-
2009-Q4,Marine Parade,5-room,-
2009-Q4,Marine Parade,Executive,0
2009-Q4,Pasir Ris,1-room,0
2009-Q4,Pasir Ris,2-room,0
2009-Q4,Pasir Ris,3-room,0
2009-Q4,Pasir Ris,4-room,348000
2009-Q4,Pasir Ris,5-room,400000
2009-Q4,Pasir Ris,Executive,488000
2009-Q4,Punggol,1-room,0
2009-Q4,Punggol,2-room,0
2009-Q4,Punggol,3-room,0
2009-Q4,Punggol,4-room,352000
2009-Q4,Punggol,5-room,415000
2009-Q4,Punggol,Executive,-
2009-Q4,Queenstown,1-room,0
2009-Q4,Queenstown,2-room,-
2009-Q4,Queenstown,3-room,277500
2009-Q4,Queenstown,4-room,523000
2009-Q4,Queenstown,5-room,-
2009-Q4,Queenstown,Executive,-
2009-Q4,Sembawang,1-room,0
2009-Q4,Sembawang,2-room,0
2009-Q4,Sembawang,3-room,0
2009-Q4,Sembawang,4-room,340000
2009-Q4,Sembawang,5-room,384000
2009-Q4,Sembawang,Executive,435000
2009-Q4,Sengkang,1-room,0
2009-Q4,Sengkang,2-room,0
2009-Q4,Sengkang,3-room,0
2009-Q4,Sengkang,4-room,352000
2009-Q4,Sengkang,5-room,407500
2009-Q4,Sengkang,Executive,480000
2009-Q4,Serangoon,1-room,0
2009-Q4,Serangoon,2-room,0
2009-Q4,Serangoon,3-room,268000
2009-Q4,Serangoon,4-room,355000
2009-Q4,Serangoon,5-room,426000
2009-Q4,Serangoon,Executive,495000
2009-Q4,Tampines,1-room,0
2009-Q4,Tampines,2-room,0
2009-Q4,Tampines,3-room,282000
2009-Q4,Tampines,4-room,362000
2009-Q4,Tampines,5-room,415000
2009-Q4,Tampines,Executive,520000
2009-Q4,Toa Payoh,1-room,0
2009-Q4,Toa Payoh,2-room,-
2009-Q4,Toa Payoh,3-room,280000
2009-Q4,Toa Payoh,4-room,406500
2009-Q4,Toa Payoh,5-room,549000
2009-Q4,Toa Payoh,Executive,-
2009-Q4,Woodlands,1-room,0
2009-Q4,Woodlands,2-room,0
2009-Q4,Woodlands,3-room,225500
2009-Q4,Woodlands,4-room,310000
2009-Q4,Woodlands,5-room,365000
2009-Q4,Woodlands,Executive,451000
2009-Q4,Yishun,1-room,0
2009-Q4,Yishun,2-room,0
2009-Q4,Yishun,3-room,240000
2009-Q4,Yishun,4-room,292000
2009-Q4,Yishun,5-room,390000
2009-Q4,Yishun,Executive,440000
2010-Q1,Ang Mo Kio,1-room,0
2010-Q1,Ang Mo Kio,2-room,-
2010-Q1,Ang Mo Kio,3-room,278000
2010-Q1,Ang Mo Kio,4-room,384500
2010-Q1,Ang Mo Kio,5-room,503000
2010-Q1,Ang Mo Kio,Executive,-
2010-Q1,Bedok,1-room,0
2010-Q1,Bedok,2-room,-
2010-Q1,Bedok,3-room,265000
2010-Q1,Bedok,4-room,350000
2010-Q1,Bedok,5-room,480000
2010-Q1,Bedok,Executive,568000
2010-Q1,Bishan,1-room,0
2010-Q1,Bishan,2-room,0
2010-Q1,Bishan,3-room,322000
2010-Q1,Bishan,4-room,433500
2010-Q1,Bishan,5-room,550000
2010-Q1,Bishan,Executive,627500
2010-Q1,Bukit Batok,1-room,0
2010-Q1,Bukit Batok,2-room,0
2010-Q1,Bukit Batok,3-room,265000
2010-Q1,Bukit Batok,4-room,372000
2010-Q1,Bukit Batok,5-room,485000
2010-Q1,Bukit Batok,Executive,511000
2010-Q1,Bukit Merah,1-room,-
2010-Q1,Bukit Merah,2-room,-
2010-Q1,Bukit Merah,3-room,309500
2010-Q1,Bukit Merah,4-room,493000
2010-Q1,Bukit Merah,5-room,635000
2010-Q1,Bukit Merah,Executive,0
2010-Q1,Bukit Panjang,1-room,0
2010-Q1,Bukit Panjang,2-room,0
2010-Q1,Bukit Panjang,3-room,260000
2010-Q1,Bukit Panjang,4-room,320000
2010-Q1,Bukit Panjang,5-room,393000
2010-Q1,Bukit Panjang,Executive,485000
2010-Q1,Bukit Timah,1-room,0
2010-Q1,Bukit Timah,2-room,0
2010-Q1,Bukit Timah,3-room,-
2010-Q1,Bukit Timah,4-room,-
2010-Q1,Bukit Timah,5-room,-
2010-Q1,Bukit Timah,Executive,-
2010-Q1,Central,1-room,0
2010-Q1,Central,2-room,-
2010-Q1,Central,3-room,354000
2010-Q1,Central,4-room,456000
2010-Q1,Central,5-room,-
2010-Q1,Central,Executive,0
2010-Q1,Choa Chu Kang,1-room,0
2010-Q1,Choa Chu Kang,2-room,0
2010-Q1,Choa Chu Kang,3-room,-
2010-Q1,Choa Chu Kang,4-room,336000
2010-Q1,Choa Chu Kang,5-room,399000
2010-Q1,Choa Chu Kang,Executive,470000
2010-Q1,Clementi,1-room,0
2010-Q1,Clementi,2-room,0
2010-Q1,Clementi,3-room,288500
2010-Q1,Clementi,4-room,429000
2010-Q1,Clementi,5-room,-
2010-Q1,Clementi,Executive,-
2010-Q1,Geylang,1-room,0
2010-Q1,Geylang,2-room,-
2010-Q1,Geylang,3-room,252500
2010-Q1,Geylang,4-room,397500
2010-Q1,Geylang,5-room,498500
2010-Q1,Geylang,Executive,-
2010-Q1,Hougang,1-room,0
2010-Q1,Hougang,2-room,0
2010-Q1,Hougang,3-room,260000
2010-Q1,Hougang,4-room,345000
2010-Q1,Hougang,5-room,427000
2010-Q1,Hougang,Executive,500000
2010-Q1,Jurong East,1-room,0
2010-Q1,Jurong East,2-room,0
2010-Q1,Jurong East,3-room,268000
2010-Q1,Jurong East,4-room,342000
2010-Q1,Jurong East,5-room,460000
2010-Q1,Jurong East,Executive,-
2010-Q1,Jurong West,1-room,0
2010-Q1,Jurong West,2-room,0
2010-Q1,Jurong West,3-room,243500
2010-Q1,Jurong West,4-room,336000
2010-Q1,Jurong West,5-room,413000
2010-Q1,Jurong West,Executive,475000
2010-Q1,Kallang/Whampoa,1-room,0
2010-Q1,Kallang/Whampoa,2-room,-
2010-Q1,Kallang/Whampoa,3-room,275000
2010-Q1,Kallang/Whampoa,4-room,438800
2010-Q1,Kallang/Whampoa,5-room,560500
2010-Q1,Kallang/Whampoa,Executive,-
2010-Q1,Marine Parade,1-room,0
2010-Q1,Marine Parade,2-room,0
2010-Q1,Marine Parade,3-room,354500
2010-Q1,Marine Parade,4-room,-
2010-Q1,Marine Parade,5-room,-
2010-Q1,Marine Parade,Executive,0
2010-Q1,Pasir Ris,1-room,0
2010-Q1,Pasir Ris,2-room,0
2010-Q1,Pasir Ris,3-room,-
2010-Q1,Pasir Ris,4-room,360000
2010-Q1,Pasir Ris,5-room,410000
2010-Q1,Pasir Ris,Executive,512500
2010-Q1,Punggol,1-room,0
2010-Q1,Punggol,2-room,0
2010-Q1,Punggol,3-room,0
2010-Q1,Punggol,4-room,369000
2010-Q1,Punggol,5-room,430000
2010-Q1,Punggol,Executive,497500
2010-Q1,Queenstown,1-room,0
2010-Q1,Queenstown,2-room,205500
2010-Q1,Queenstown,3-room,295000
2010-Q1,Queenstown,4-room,505000
2010-Q1,Queenstown,5-room,658500
2010-Q1,Queenstown,Executive,-
2010-Q1,Sembawang,1-room,0
2010-Q1,Sembawang,2-room,0
2010-Q1,Sembawang,3-room,0
2010-Q1,Sembawang,4-room,349000
2010-Q1,Sembawang,5-room,400000
2010-Q1,Sembawang,Executive,450000
2010-Q1,Sengkang,1-room,0
2010-Q1,Sengkang,2-room,0
2010-Q1,Sengkang,3-room,0
2010-Q1,Sengkang,4-room,369000
2010-Q1,Sengkang,5-room,420000
2010-Q1,Sengkang,Executive,490000
2010-Q1,Serangoon,1-room,0
2010-Q1,Serangoon,2-room,-
2010-Q1,Serangoon,3-room,277500
2010-Q1,Serangoon,4-room,357500
2010-Q1,Serangoon,5-room,-
2010-Q1,Serangoon,Executive,-
2010-Q1,Tampines,1-room,0
2010-Q1,Tampines,2-room,0
2010-Q1,Tampines,3-room,293000
2010-Q1,Tampines,4-room,370500
2010-Q1,Tampines,5-room,430000
2010-Q1,Tampines,Executive,515000
2010-Q1,Toa Payoh,1-room,0
2010-Q1,Toa Payoh,2-room,-
2010-Q1,Toa Payoh,3-room,286000
2010-Q1,Toa Payoh,4-room,418000
2010-Q1,Toa Payoh,5-room,550000
2010-Q1,Toa Payoh,Executive,-
2010-Q1,Woodlands,1-room,0
2010-Q1,Woodlands,2-room,0
2010-Q1,Woodlands,3-room,233500
2010-Q1,Woodlands,4-room,320000
2010-Q1,Woodlands,5-room,372000
2010-Q1,Woodlands,Executive,455000
2010-Q1,Yishun,1-room,0
2010-Q1,Yishun,2-room,0
2010-Q1,Yishun,3-room,248000
2010-Q1,Yishun,4-room,296000
2010-Q1,Yishun,5-room,388500
2010-Q1,Yishun,Executive,475500
2010-Q2,Ang Mo Kio,1-room,0
2010-Q2,Ang Mo Kio,2-room,-
2010-Q2,Ang Mo Kio,3-room,290000
2010-Q2,Ang Mo Kio,4-room,389500
2010-Q2,Ang Mo Kio,5-room,550000
2010-Q2,Ang Mo Kio,Executive,-
2010-Q2,Bedok,1-room,0
2010-Q2,Bedok,2-room,-
2010-Q2,Bedok,3-room,280000
2010-Q2,Bedok,4-room,367000
2010-Q2,Bedok,5-room,490000
2010-Q2,Bedok,Executive,535000
2010-Q2,Bishan,1-room,0
2010-Q2,Bishan,2-room,0
2010-Q2,Bishan,3-room,338000
2010-Q2,Bishan,4-room,452500
2010-Q2,Bishan,5-room,590000
2010-Q2,Bishan,Executive,685500
2010-Q2,Bukit Batok,1-room,0
2010-Q2,Bukit Batok,2-room,0
2010-Q2,Bukit Batok,3-room,271700
2010-Q2,Bukit Batok,4-room,366000
2010-Q2,Bukit Batok,5-room,520000
2010-Q2,Bukit Batok,Executive,545000
2010-Q2,Bukit Merah,1-room,-
2010-Q2,Bukit Merah,2-room,-
2010-Q2,Bukit Merah,3-room,320000
2010-Q2,Bukit Merah,4-room,500000
2010-Q2,Bukit Merah,5-room,661500
2010-Q2,Bukit Merah,Executive,0
2010-Q2,Bukit Panjang,1-room,0
2010-Q2,Bukit Panjang,2-room,0
2010-Q2,Bukit Panjang,3-room,275000
2010-Q2,Bukit Panjang,4-room,340000
2010-Q2,Bukit Panjang,5-room,406500
2010-Q2,Bukit Panjang,Executive,496000
2010-Q2,Bukit Timah,1-room,0
2010-Q2,Bukit Timah,2-room,0
2010-Q2,Bukit Timah,3-room,-
2010-Q2,Bukit Timah,4-room,-
2010-Q2,Bukit Timah,5-room,-
2010-Q2,Bukit Timah,Executive,-
2010-Q2,Central,1-room,0
2010-Q2,Central,2-room,-
2010-Q2,Central,3-room,372500
2010-Q2,Central,4-room,-
2010-Q2,Central,5-room,-
2010-Q2,Central,Executive,0
2010-Q2,Choa Chu Kang,1-room,0
2010-Q2,Choa Chu Kang,2-room,0
2010-Q2,Choa Chu Kang,3-room,-
2010-Q2,Choa Chu Kang,4-room,348000
2010-Q2,Choa Chu Kang,5-room,410000
2010-Q2,Choa Chu Kang,Executive,485000
2010-Q2,Clementi,1-room,0
2010-Q2,Clementi,2-room,0
2010-Q2,Clementi,3-room,315000
2010-Q2,Clementi,4-room,435000
2010-Q2,Clementi,5-room,557500
2010-Q2,Clementi,Executive,-
2010-Q2,Geylang,1-room,0
2010-Q2,Geylang,2-room,-
2010-Q2,Geylang,3-room,261000
2010-Q2,Geylang,4-room,398000
2010-Q2,Geylang,5-room,546000
2010-Q2,Geylang,Executive,-
2010-Q2,Hougang,1-room,0
2010-Q2,Hougang,2-room,0
2010-Q2,Hougang,3-room,273000
2010-Q2,Hougang,4-room,361500
2010-Q2,Hougang,5-room,438000
2010-Q2,Hougang,Executive,519000
2010-Q2,Jurong East,1-room,0
2010-Q2,Jurong East,2-room,0
2010-Q2,Jurong East,3-room,277000
2010-Q2,Jurong East,4-room,348000
2010-Q2,Jurong East,5-room,472500
2010-Q2,Jurong East,Executive,580000
2010-Q2,Jurong West,1-room,0
2010-Q2,Jurong West,2-room,0
2010-Q2,Jurong West,3-room,255000
2010-Q2,Jurong West,4-room,350000
2010-Q2,Jurong West,5-room,415000
2010-Q2,Jurong West,Executive,469000
2010-Q2,Kallang/Whampoa,1-room,0
2010-Q2,Kallang/Whampoa,2-room,-
2010-Q2,Kallang/Whampoa,3-room,295000
2010-Q2,Kallang/Whampoa,4-room,430000
2010-Q2,Kallang/Whampoa,5-room,565000
2010-Q2,Kallang/Whampoa,Executive,-
2010-Q2,Marine Parade,1-room,0
2010-Q2,Marine Parade,2-room,0
2010-Q2,Marine Parade,3-room,370000
2010-Q2,Marine Parade,4-room,-
2010-Q2,Marine Parade,5-room,-
2010-Q2,Marine Parade,Executive,0
2010-Q2,Pasir Ris,1-room,0
2010-Q2,Pasir Ris,2-room,-
2010-Q2,Pasir Ris,3-room,-
2010-Q2,Pasir Ris,4-room,376300
2010-Q2,Pasir Ris,5-room,419500
2010-Q2,Pasir Ris,Executive,538800
2010-Q2,Punggol,1-room,0
2010-Q2,Punggol,2-room,0
2010-Q2,Punggol,3-room,0
2010-Q2,Punggol,4-room,388000
2010-Q2,Punggol,5-room,448400
2010-Q2,Punggol,Executive,-
2010-Q2,Queenstown,1-room,0
2010-Q2,Queenstown,2-room,-
2010-Q2,Queenstown,3-room,320000
2010-Q2,Queenstown,4-room,550000
2010-Q2,Queenstown,5-room,675000
2010-Q2,Queenstown,Executive,-
2010-Q2,Sembawang,1-room,0
2010-Q2,Sembawang,2-room,0
2010-Q2,Sembawang,3-room,0
2010-Q2,Sembawang,4-room,360000
2010-Q2,Sembawang,5-room,407500
2010-Q2,Sembawang,Executive,468800
2010-Q2,Sengkang,1-room,0
2010-Q2,Sengkang,2-room,0
2010-Q2,Sengkang,3-room,0
2010-Q2,Sengkang,4-room,388000
2010-Q2,Sengkang,5-room,437000
2010-Q2,Sengkang,Executive,510000
2010-Q2,Serangoon,1-room,0
2010-Q2,Serangoon,2-room,0
2010-Q2,Serangoon,3-room,286000
2010-Q2,Serangoon,4-room,380000
2010-Q2,Serangoon,5-room,447000
2010-Q2,Serangoon,Executive,561500
2010-Q2,Tampines,1-room,0
2010-Q2,Tampines,2-room,0
2010-Q2,Tampines,3-room,302800
2010-Q2,Tampines,4-room,387000
2010-Q2,Tampines,5-room,445000
2010-Q2,Tampines,Executive,550000
2010-Q2,Toa Payoh,1-room,0
2010-Q2,Toa Payoh,2-room,-
2010-Q2,Toa Payoh,3-room,300000
2010-Q2,Toa Payoh,4-room,450000
2010-Q2,Toa Payoh,5-room,583000
2010-Q2,Toa Payoh,Executive,-
2010-Q2,Woodlands,1-room,0
2010-Q2,Woodlands,2-room,0
2010-Q2,Woodlands,3-room,250000
2010-Q2,Woodlands,4-room,331500
2010-Q2,Woodlands,5-room,389500
2010-Q2,Woodlands,Executive,486000
2010-Q2,Yishun,1-room,0
2010-Q2,Yishun,2-room,0
2010-Q2,Yishun,3-room,265000
2010-Q2,Yishun,4-room,315000
2010-Q2,Yishun,5-room,405900
2010-Q2,Yishun,Executive,460000
2010-Q3,Ang Mo Kio,1-room,0
2010-Q3,Ang Mo Kio,2-room,-
2010-Q3,Ang Mo Kio,3-room,305000
2010-Q3,Ang Mo Kio,4-room,408000
2010-Q3,Ang Mo Kio,5-room,589000
2010-Q3,Ang Mo Kio,Executive,-
2010-Q3,Bedok,1-room,0
2010-Q3,Bedok,2-room,-
2010-Q3,Bedok,3-room,292000
2010-Q3,Bedok,4-room,372500
2010-Q3,Bedok,5-room,500000
2010-Q3,Bedok,Executive,564500
2010-Q3,Bishan,1-room,0
2010-Q3,Bishan,2-room,0
2010-Q3,Bishan,3-room,362000
2010-Q3,Bishan,4-room,470000
2010-Q3,Bishan,5-room,572000
2010-Q3,Bishan,Executive,695000
2010-Q3,Bukit Batok,1-room,0
2010-Q3,Bukit Batok,2-room,0
2010-Q3,Bukit Batok,3-room,280000
2010-Q3,Bukit Batok,4-room,380000
2010-Q3,Bukit Batok,5-room,532000
2010-Q3,Bukit Batok,Executive,576500
2010-Q3,Bukit Merah,1-room,-
2010-Q3,Bukit Merah,2-room,-
2010-Q3,Bukit Merah,3-room,338000
2010-Q3,Bukit Merah,4-room,542000
2010-Q3,Bukit Merah,5-room,673000
2010-Q3,Bukit Merah,Executive,0
2010-Q3,Bukit Panjang,1-room,0
2010-Q3,Bukit Panjang,2-room,0
2010-Q3,Bukit Panjang,3-room,285000
2010-Q3,Bukit Panjang,4-room,346000
2010-Q3,Bukit Panjang,5-room,415000
2010-Q3,Bukit Panjang,Executive,522500
2010-Q3,Bukit Timah,1-room,0
2010-Q3,Bukit Timah,2-room,0
2010-Q3,Bukit Timah,3-room,-
2010-Q3,Bukit Timah,4-room,-
2010-Q3,Bukit Timah,5-room,-
2010-Q3,Bukit Timah,Executive,-
2010-Q3,Central,1-room,0
2010-Q3,Central,2-room,-
2010-Q3,Central,3-room,365000
2010-Q3,Central,4-room,-
2010-Q3,Central,5-room,-
2010-Q3,Central,Executive,0
2010-Q3,Choa Chu Kang,1-room,0
