;Edad / Total;Edad / 0 a 4 años;Edad / 5 a 9 años;Edad / 10 a 14 años;Edad / 15 a 19 años;Edad / 20 a 24 años;Edad / 25 a 29 años;Edad / 30 a 34 años;Edad / 35 a 39 años;Edad / 40 a 44 años;Edad / 45 a 49 años;Edad / 50 a 54 años;Edad / 55 a 59 años;Edad / 60 a 64 años;Edad / 65 a 69 años;Edad / 70 a 74 años;Edad / 75 a 79 años;Edad / 80 a 84 años;Edad / 85 a 89 años;Edad / 90 a 94 años;Edad / 95 a 99 años;Edad / 100 y más años;Edad / No consta años
031. Pacífico;33.714;1.257;1.131;1.147;1.229;1.562;2.076;2.528;2.506;2.432;2.378;2.566;2.601;2.305;1.986;1.673;1.389;1.415;978;447;90;18;0
032. Adelfas;17.931;819;744;764;644;752;1.038;1.432;1.541;1.448;1.365;1.337;1.273;1.271;1.042;781;565;481;378;194;54;8;0
033. Estrella;23.200;921;950;934;848;928;1.202;1.384;1.591;1.618;1.438;1.427;1.501;1.584;1.852;1.754;1.267;953;687;275;79;7;0
034. Ibiza;21.433;930;850;722;684;921;1.243;1.529;1.696;1.670;1.527;1.443;1.518;1.387;1.205;1.072;852;905;709;426;117;27;0
035. Jerónimos;7.031;275;246;214;230;290;413;476;525;521;522;536;463;420;403;388;383;355;237;108;23;3;0
036. Niño Jesús;15.250;727;727;662;714;743;706;878;1.009;1.066;1.026;1.095;969;1.030;1.018;908;705;603;414;191;47;12;0
Total - 04. Salamanca;143.244;5.692;5.027;4.867;4.949;6.503;10.518;11.586;11.127;10.233;9.775;10.209;9.758;8.638;8.157;7.167;5.834;5.876;4.357;2.247;576;148;0
041. Recoletos;15.484;691;581;528;574;721;1.122;1.168;1.184;1.059;1.056;1.135;1.135;1.007;923;801;592;487;372;254;73;21;0
042. Goya;29.108;1.161;926;934;977;1.374;2.188;2.382;2.286;2.103;1.980;2.038;2.063;1.845;1.688;1.477;1.154;1.097;834;467;104;30;0
043. Fuente del Berro;20.729;747;750;741;658;804;1.363;1.713;1.663;1.590;1.504;1.493;1.411;1.240;1.220;1.000;909;922;596;305;79;21;0
044. Guindalera;40.448;1.517;1.422;1.417;1.441;1.758;2.641;3.208;3.132;2.906;2.910;3.003;2.631;2.303;2.161;1.952;1.764;1.979;1.479;636;155;33;0
045. Lista;20.633;832;722;700;712;991;1.633;1.753;1.641;1.466;1.282;1.388;1.376;1.205;1.211;1.058;785;820;618;333;83;24;0
046. Castellana;16.842;744;626;547;587;855;1.571;1.362;1.221;1.109;1.043;1.152;1.142;1.038;954;879;630;571;458;252;82;19;0
Total - 05. Chamartín;142.610;6.665;6.127;5.595;5.482;6.569;8.684;10.501;11.041;10.706;9.994;10.316;9.522;8.482;7.993;7.133;5.809;5.452;3.960;1.994;496;89;0
051. El Viso;17.018;869;691;700;747;925;1.160;1.263;1.212;1.174;1.205;1.317;1.164;963;853;799;637;601;445;212;70;11;0
052. Prosperidad;36.156;1.440;1.276;1.136;1.214;1.585;2.370;3.018;2.932;2.669;2.369;2.580;2.466;2.457;2.335;1.927;1.530;1.354;932;418;126;22;0
053. Ciudad Jardín;18.262;780;713;675;588;754;1.173;1.493;1.525;1.418;1.372;1.295;1.227;1.069;1.048;876;687;753;511;245;46;14;0
054. Hispanoamérica;31.224;1.628;1.484;1.328;1.184;1.286;1.539;2.029;2.367;2.438;2.244;2.218;1.999;1.751;1.703;1.619;1.402;1.292;968;573;150;22;0
055. Nueva España;23.548;1.281;1.268;1.107;1.028;1.087;1.289;1.546;1.876;1.947;1.736;1.703;1.404;1.216;1.184;1.184;944;806;596;281;59;6;0
056. Castilla;16.402;667;695;649;721;932;1.153;1.152;1.129;1.060;1.068;1.203;1.262;1.026;870;728;609;646;508;265;45;14;0
Total - 06. Tetuán;152.545;6.305;5.766;5.397;5.549;7.239;11.154;14.053;13.480;12.557;11.559;11.035;9.968;7.890;6.991;6.111;5.341;5.647;4.177;1.862;411;53;0
061. Bellas Vistas;28.210;1.085;1.154;1.069;1.014;1.462;2.119;2.567;2.608;2.381;2.141;2.012;1.804;1.483;1.258;1.163;882;867;726;326;75;14;0
062. Cuatro Caminos;33.637;1.261;1.093;1.094;1.096;1.556;2.527;3.110;2.769;2.487;2.368;2.315;2.221;1.963;1.894;1.643;1.260;1.311;1.012;531;113;13;0
063. Castillejos;19.799;759;605;504;613;793;1.397;1.915;1.660;1.443;1.296;1.370;1.427;1.187;1.168;1.020;820;829;657;269;63;4;0
064. Almenara;21.769;812;842;870;936;1.056;1.490;1.810;1.718;1.623;1.675;1.716;1.447;1.067;854;791;875;1.009;764;322;79;13;0
065. Valdeacederas;24.932;1.245;1.072;928;964;1.202;1.840;2.444;2.431;2.338;2.104;1.873;1.602;1.069;840;751;728;817;464;180;36;4;0
066. Berruguete;24.198;1.143;1.000;932;926;1.170;1.781;2.207;2.294;2.285;1.975;1.749;1.467;1.121;977;743;776;814;554;234;45;5;0
Total - 07. Chamberí;137.532;5.224;4.607;4.485;4.627;6.386;9.916;11.797;10.907;10.030;9.047;9.428;9.195;8.621;7.934;7.009;5.431;5.516;4.318;2.261;635;158;0
071. Gaztambide;22.638;755;632;669;743;1.289;1.795;1.949;1.598;1.531;1.354;1.515;1.567;1.487;1.333;1.198;913;943;804;429;109;25;0
072. Arapiles;24.044;871;757;792;768;1.150;1.788;2.129;2.010;1.693;1.538;1.632;1.582;1.502;1.386;1.259;945;951;761;395;104;31;0
073. Trafalgar;24.517;935;812;760;743;987;1.902;2.352;2.285;1.997;1.674;1.694;1.660;1.489;1.349;1.039;815;844;700;343;108;29;0
074. Almagro;19.701;846;730;677;777;910;1.255;1.541;1.524;1.438;1.367;1.418;1.385;1.156;1.132;1.010;770;743;597;307;92;26;0
075. Ríos Rosas;26.785;1.112;984;841;883;1.136;1.960;2.410;2.242;2.003;1.807;1.787;1.703;1.689;1.497;1.274;1.053;1.098;774;396;112;24;0
076. Vallehermoso;19.847;705;692;746;713;914;1.216;1.416;1.248;1.368;1.307;1.382;1.298;1.298;1.237;1.229;935;937;682;391;110;23;0
Total - 08. Fuencarral - El Pardo;235.482;14.716;13.728;10.814;9.488;10.177;12.253;15.907;20.672;20.852;16.375;15.326;13.971;12.937;13.818;11.832;8.804;7.018;4.367;1.901;441;85;0
081. El Pardo;3.375;116;122;101;119;135;237;218;259;267;217;236;234;195;145;170;180;212;153;44;11;4;0
082. Fuentelarreina;3.186;145;155;162;191;188;139;134;191;219;219;227;187;191;213;213;169;119;88;28;7;1;0
083. Peñagrande;44.147;1.809;1.878;1.731;1.763;2.336;2.693;2.750;3.137;3.169;2.805;3.080;3.338;3.113;3.341;2.580;1.861;1.428;830;404;85;16;0
084. Pilar;45.730;1.710;1.544;1.424;1.399;1.675;2.546;3.422;3.854;3.595;3.090;2.914;2.492;2.488;3.308;3.421;2.890;2.160;1.182;488;111;17;0
085. La Paz;33.994;1.239;1.095;1.013;1.179;1.618;2.186;2.441;2.330;2.067;1.697;1.813;2.545;3.180;3.536;2.633;1.547;984;549;259;67;16;0
086. Valverde;58.731;5.562;4.966;3.151;2.220;2.077;2.537;4.373;6.758;6.866;4.614;3.718;2.738;2.024;1.599;1.356;1.251;1.435;1.050;367;55;14;0
087. Mirasierra;29.519;1.781;1.967;2.100;2.088;1.795;1.403;1.403;1.899;2.200;2.412;2.615;2.055;1.533;1.435;1.256;698;451;252;131;39;6;0
088. El Goloso;16.800;2.354;2.001;1.132;529;353;512;1.166;2.244;2.469;1.321;723;382;213;241;203;208;229;263;180;66;11;0
Total - 09. Moncloa -Aravaca;116.689;5.082;5.416;5.798;5.469;6.168;6.833;7.612;8.255;8.590;8.834;8.898;7.929;6.789;6.479;5.401;4.349;4.173;2.841;1.333;369;71;0
091. Casa de Campo;12.864;414;376;488;480;602;699;860;894;850;1.038;1.189;961;803;650;560;593;700;444;206;49;8;0
092. Argüelles;23.935;831;717;711;780;1.221;1.736;1.937;1.844;1.757;1.597;1.661;1.652;1.518;1.389;1.250;972;1.028;780;410;123;21;0
093. Ciudad Universitaria;16.019;595;635;706;733;888;1.081;1.070;1.056;1.040;1.054;1.074;1.086;986;1.096;908;657;571;467;214;82;20;0
094. Valdezarza;29.404;1.181;1.150;1.147;1.187;1.540;1.701;1.999;2.256;2.064;2.067;2.064;2.015;1.766;1.844;1.589;1.426;1.274;750;308;62;14;0
095. Valdemarín;6.326;497;668;617;366;261;245;317;440;634;651;455;316;226;174;136;87;78;79;57;20;2;0
096. El Plantío;2.575;127;155;171;129;146;144;147;163;173;195;205;187;166;162;128;75;42;33;18;8;1;0
097. Aravaca;25.566;1.437;1.715;1.958;1.794;1.510;1.227;1.282;1.602;2.072;2.232;2.250;1.712;1.324;1.164;830;539;480;288;120;25;5;0
Total - 10. Latina;234.015;9.103;9.427;9.231;9.292;10.997;12.984;15.440;17.726;18.795;18.411;16.961;14.630;11.686;12.479;14.426;12.911;10.404;6.058;2.401;553;100;0
101. Los Cármenes;16.977;700;826;855;963;949;888;1.054;1.217;1.298;1.512;1.678;1.231;836;651;567;508;642;410;152;33;7;0
102. Puerta del Angel;40.910;1.555;1.545;1.522;1.582;2.049;2.643;3.204;3.429;3.384;3.162;3.099;2.726;2.150;1.748;1.559;1.678;1.829;1.329;577;124;16;0
103. Lucero;35.290;1.373;1.464;1.565;1.573;1.863;2.004;2.183;2.544;2.769;2.822;2.837;2.304;1.670;1.546;1.731;1.672;1.745;1.100;431;80;14;0
104. Aluche;65.736;2.376;2.432;2.306;2.299;2.832;3.531;4.304;4.775;5.078;4.819;4.013;3.777;3.381;4.418;5.551;4.431;2.998;1.591;628;164;32;0
105. Campamento;18.809;767;766;692;665;871;1.261;1.394;1.424;1.442;1.457;1.274;1.270;975;869;1.068;1.173;826;397;164;43;11;0
106. Cuatro Vientos;5.260;511;407;270;224;204;240;426;747;694;494;349;222;130;129;65;58;40;27;18;4;1;0
107. Las Águilas;51.033;1.821;1.987;2.021;1.986;2.229;2.417;2.875;3.590;4.130;4.145;3.711;3.100;2.544;3.118;3.885;3.391;2.324;1.204;431;105;19;0
Total - 11. Carabanchel;242.000;11.492;12.471;10.872;10.224;11.767;13.665;16.346;20.739;22.322;20.224;17.598;14.471;11.234;10.786;10.218;9.677;9.240;5.730;2.342;498;84;0
111. Comillas;22.258;864;808;782;777;1.113;1.371;1.696;1.796;1.629;1.591;1.662;1.541;1.236;1.184;1.087;1.029;1.036;680;311;53;12;0
112. Opañel;31.538;1.234;1.264;1.194;1.291;1.497;1.979;2.358;2.700;2.452;2.435;2.545;2.103;1.651;1.464;1.384;1.277;1.383;906;336;74;11;0
113. San Isidro;37.830;1.677;1.720;1.590;1.638;1.957;2.365;2.679;3.167;3.114;3.127;2.832;2.513;1.895;1.654;1.522;1.507;1.440;936;394;92;11;0
114. Vista Alegre;44.161;1.737;1.814;1.745;1.738;2.215;2.624;3.103;3.477;3.517;3.401;3.092;2.861;2.393;2.385;2.296;2.141;1.915;1.139;456;99;13;0
115. Puerta Bonita;32.800;1.501;1.651;1.543;1.500;1.735;1.947;2.202;2.633;2.916;2.841;2.463;1.906;1.404;1.316;1.314;1.375;1.297;818;336;79;23;0
116. Buenavista;44.331;2.998;3.447;2.575;2.000;1.852;1.925;2.474;4.548;5.902;4.286;2.863;1.850;1.346;1.545;1.487;1.289;1.052;593;246;45;8;0
117. Abrantes;29.082;1.481;1.767;1.443;1.280;1.398;1.454;1.834;2.418;2.792;2.543;2.141;1.697;1.309;1.238;1.128;1.059;1.117;658;263;56;6;0
Total - 12. Usera;134.015;6.501;7.292;6.763;6.454;6.914;7.709;9.088;11.327;12.467;11.500;10.058;8.011;5.875;5.204;4.531;4.655;5.059;3.118;1.210;242;37;0
121. Orcasitas;22.256;1.130;1.465;1.231;1.014;904;989;1.127;1.771;2.331;1.892;1.585;1.352;1.032;921;744;834;1.080;610;204;35;5;0
122. Orcasur;13.269;721;732;758;721;760;805;918;1.100;1.109;1.153;1.087;862;571;459;393;373;371;266;92;18;0;0
123. San Fermín;22.835;1.274;1.578;1.467;1.239;1.136;1.225;1.386;1.900;2.510;2.147;1.616;1.211;857;855;721;665;586;327;104;26;5;0
124. Almendrales;20.421;1.014;1.020;973;964;1.149;1.213;1.519;1.785;1.891;1.747;1.584;1.113;814;711;647;684;831;538;183;37;4;0
125. Moscardó;25.273;998;1.104;992;1.080;1.340;1.565;1.970;2.204;2.136;2.055;1.878;1.626;1.229;1.077;962;935;1.005;709;316;79;13;0
126. Zofio;13.242;553;609;609;690;735;793;891;1.043;1.084;1.135;1.096;863;612;535;479;500;531;305;153;23;3;0
127. Pradolongo;16.719;811;784;733;746;890;1.119;1.277;1.524;1.406;1.371;1.212;984;760;646;585;664;655;363;158;24;7;0
Total - 13. Puente de Vallecas;227.195;9.922;10.484;10.297;11.138;12.735;14.296;15.863;17.665;18.032;18.753;18.818;15.996;10.927;9.269;8.178;8.502;8.487;5.443;1.970;362;58;0
131. Entrevías;33.521;1.441;1.575;1.634;1.677;1.852;2.053;2.140;2.385;2.479;2.769;2.597;2.330;1.639;1.377;1.358;1.344;1.477;1.027;310;48;9;0
132. San Diego;38.953;1.987;1.950;1.653;1.707;2.173;2.705;3.225;3.671;3.599;3.342;2.976;2.250;1.550;1.311;1.137;1.190;1.262;874;323;60;8;0
133. Palomeras Bajas;39.245;1.461;1.708;2.118;2.538;2.353;2.206;2.336;2.446;2.830;3.820;3.985;3.060;1.998;1.509;1.164;1.267;1.215;826;332;66;7;0
134. Palomeras Sureste;41.888;1.846;1.921;1.848;2.057;2.489;2.617;2.759;3.130;3.248;3.245;3.653;3.254;2.010;1.722;1.530;1.748;1.570;896;293;48;4;0
135. Portazgo;27.647;1.188;1.281;1.141;1.168;1.385;1.668;1.966;2.151;2.033;1.997;2.065;1.934;1.444;1.374;1.234;1.191;1.298;740;317;58;14;0
136. Numancia;45.941;1.999;2.049;1.903;1.991;2.483;3.047;3.437;3.882;3.843;3.580;3.542;3.168;2.286;1.976;1.755;1.762;1.665;1.080;395;82;16;0
Total -  14. Moratalaz;94.607;3.303;3.669;4.016;4.609;5.005;4.823;5.287;5.782;6.608;7.618;7.829;6.604;5.110;4.908;5.441;5.361;4.882;2.648;874;195;35;0
141. Pavones;9.227;349;366;452;547;552;500;523;537;607;770;694;631;625;497;472;397;391;206;86;21;4;0
142. Horcajo;6.406;261;428;583;558;393;273;242;290;554;879;779;490;237;134;91;90;68;35;15;6;0;0
143. Marroquina;27.596;830;925;1.159;1.503;1.658;1.473;1.385;1.427;1.653;2.163;2.556;2.214;1.567;1.493;1.786;1.601;1.271;658;205;58;11;0
144. Media Legua;17.926;638;621;659;768;1.009;976;1.153;1.093;1.107;1.202;1.384;1.355;1.219;1.114;1.102;901;910;492;185;33;5;0
145. Fontarrón;16.564;616;675;609;621;731;825;1.040;1.207;1.340;1.294;1.241;953;729;773;902;1.081;1.074;613;195;42;3;0
146. Vinateros;16.888;609;654;554;612;662;776;944;1.228;1.347;1.310;1.175;961;733;897;1.088;1.291;1.168;644;188;35;12;0
Total -  15. Ciudad Lineal;212.431;8.483;8.758;9.045;9.153;10.153;12.052;14.280;15.923;16.272;16.466;16.580;14.584;11.439;11.000;10.284;9.438;9.441;6.048;2.452;488;92;0
151. Ventas;47.445;1.696;1.766;1.825;1.811;2.160;2.800;3.364;3.685;3.677;3.731;3.639;3.195;2.280;2.218;2.226;2.501;2.551;1.539;644;120;17;0
152. Pueblo Nuevo;60.310;2.442;2.419;2.422;2.523;2.981;3.523;4.320;4.721;4.831;4.767;4.661;4.072;3.205;3.060;2.828;2.555;2.650;1.595;586;129;20;0
153. Quintana;24.213;1.001;872;864;864;1.093;1.523;1.804;1.969;1.901;1.838;1.924;1.675;1.245;1.133;972;972;1.184;919;378;67;15;0
154. Concepción;20.437;820;834;782;763;830;1.149;1.421;1.606;1.488;1.532;1.586;1.429;1.143;987;927;896;1.005;814;342;67;16;0
155. San Pascual;18.087;698;724;710;731;886;968;1.119;1.265;1.203;1.251;1.429;1.319;1.215;1.226;1.017;874;754;458;203;31;6;0
156. San Juan Bautista;12.302;506;608;692;756;615;584;700;810;947;987;1.044;788;686;663;607;519;426;257;85;18;4;0
157. Colina;6.100;306;304;280;244;243;292;374;484;502;488;448;403;344;331;409;233;214;131;56;11;3;0
158. Atalaya;1.570;81;87;89;93;76;71;91;93;119;127;115;106;82;95;100;46;52;30;11;5;1;0
159. Costillares;21.967;933;1.144;1.381;1.368;1.269;1.142;1.087;1.290;1.604;1.745;1.734;1.597;1.239;1.287;1.198;842;605;305;147;40;10;0
Total -  16. Hortaleza;177.738;10.021;10.265;9.213;8.240;7.963;8.862;11.664;15.184;15.950;14.124;13.303;11.050;8.861;8.896;8.269;6.151;5.128;3.028;1.217;289;60;0
161. Palomas;6.590;305;505;540;434;360;309;271;388;604;619;574;469;325;326;257;148;80;47;19;8;2;0
162. Piovera;14.413;665;840;1.013;1.062;953;692;697;858;1.098;1.376;1.403;1.201;776;569;502;259;242;136;50;20;1;0
163. Canillas;40.580;1.526;1.580;1.589;1.663;1.792;2.315;2.550;2.912;3.011;2.746;3.070;3.028;2.442;2.752;2.745;1.909;1.541;938;357;95;19;0
164. Pinar del Rey;52.180;2.038;2.157;2.026;2.061;2.372;2.827;3.349;3.828;4.022;3.788;3.843;3.311;2.951;3.327;3.308;2.769;2.324;1.280;487;91;21;0
165. Apóstol Santiago;15.253;548;592;747;800;837;857;864;995;1.030;1.316;1.504;1.142;836;742;639;619;616;394;138;30;7;0
166. Valdefuentes;48.722;4.939;4.591;3.298;2.220;1.649;1.862;3.933;6.203;6.185;4.279;2.909;1.899;1.531;1.180;818;447;325;233;166;45;10;0
Total -  17. Villaverde;141.442;7.159;8.270;7.208;6.653;7.353;8.135;9.213;11.473;12.884;12.226;11.004;8.345;5.842;5.446;5.616;5.563;5.245;2.738;882;167;20;0
171. San Andrés;43.158;2.131;2.383;2.142;2.001;2.406;2.687;2.863;3.305;3.728;3.831;3.518;2.663;1.737;1.571;1.702;1.687;1.605;853;281;55;9;0
172. San Cristóbal;15.107;979;972;833;798;980;1.021;1.092;1.278;1.253;1.215;1.157;812;464;334;318;434;656;379;124;8;0;0
173. Butarque;16.607;1.306;1.668;1.022;639;582;764;1.189;2.104;2.491;1.398;922;613;514;448;352;262;183;99;42;9;0;0
174. Los Rosales;36.343;1.668;1.990;2.052;1.983;1.900;1.977;2.245;2.734;3.225;3.609;3.201;2.215;1.544;1.504;1.481;1.243;1.025;525;176;42;4;0
175. Los Ángeles;30.227;1.075;1.257;1.159;1.232;1.485;1.686;1.824;2.052;2.187;2.173;2.206;2.042;1.583;1.589;1.763;1.937;1.776;882;259;53;7;0
Total - 18. Villa de Vallecas;102.140;7.702;6.211;4.846;4.347;4.661;6.417;9.112;12.407;10.173;7.500;6.734;5.505;4.228;3.745;2.671;2.295;1.914;1.104;451;105;12;0
181. Casco Histórico de Vallecas;77.752;6.843;5.344;3.839;3.123;3.112;4.705;7.573;10.814;8.604;5.895;4.471;3.287;2.411;2.099;1.633;1.538;1.313;774;297;68;9;0
182. Santa Eugenia;24.388;859;867;1.007;1.224;1.549;1.712;1.539;1.593;1.569;1.605;2.263;2.218;1.817;1.646;1.038;757;601;330;154;37;3;0
Total - 19. Vicálvaro;69.800;3.808;5.083;4.331;3.724;3.328;3.327;3.774;5.543;7.754;6.973;5.741;3.874;2.431;2.248;2.481;2.372;1.759;894;283;59;13;0
191. Casco Histórico de Vicálvaro;51.238;3.005;4.175;3.582;2.920;2.426;2.256;2.528;4.035;6.245;5.482;4.449;2.872;1.742;1.478;1.398;1.161;833;469;144;28;10;0
192. Ambroz;18.562;803;908;749;804;902;1.071;1.246;1.508;1.509;1.491;1.292;1.002;689;770;1.083;1.211;926;425;139;31;3;0
Total - 20. San Blas - Canillejas;153.411;6.866;8.253;8.877;7.490;7.260;8.130;9.252;11.285;13.391;14.674;13.206;10.357;7.047;6.058;5.096;5.247;5.734;3.619;1.337;198;34;0
201. Simancas;26.233;1.262;1.446;1.284;1.104;1.186;1.470;1.870;2.206;2.411;2.424;2.159;1.761;1.114;868;725;805;1.086;724;281;41;6;0
202. Hellín;8.741;300;328;330;348;413;538;536;566;546;604;787;699;386;251;254;480;712;498;145;19;1;0
203. Amposta;8.174;389;394;343;351;437;479;534;621;552;602;702;570;351;289;238;386;490;300;129;15;2;0
204. Arcos;23.545;939;1.249;1.488;1.220;1.123;1.178;1.333;1.556;2.272;2.380;1.987;1.419;1.010;838;749;935;963;629;240;32;5;0
205. Rosas;31.511;1.289;2.047;2.941;2.017;1.411;1.254;1.290;1.719;2.956;4.302;3.173;2.043;1.362;1.182;878;660;555;295;108;22;7;0
206. Rejas;15.300;1.224;1.167;729;518;541;807;1.218;1.919;1.890;1.272;998;734;477;407;288;294;401;296;104;15;1;0
207. Canillejas;28.477;1.105;1.221;1.111;1.201;1.417;1.744;1.949;2.128;2.145;2.136;2.134;2.073;1.626;1.637;1.526;1.256;1.138;651;227;41;11;0
208. Salvador;11.430;358;401;651;731;732;660;522;570;619;954;1.266;1.058;721;586;438;431;389;226;103;13;1;0
Total - 21. Barajas;46.264;2.660;2.797;2.629;2.065;1.920;2.183;3.173;4.119;4.585;3.925;3.381;2.648;2.335;2.533;2.082;1.364;971;550;274;60;10;0
211. Alameda de Osuna;19.325;962;1.125;1.056;827;759;810;1.101;1.552;1.765;1.376;1.270;1.051;1.219;1.678;1.316;754;380;182;104;34;4;0
212. Aeropuerto;1.767;91;90;71;88;105;102;119;151;175;153;140;134;81;59;41;54;57;42;13;1;0;0
213. Casco Histórico de Barajas;7.280;304;255;243;246;322;518;675;718;597;540;566;546;414;323;285;234;272;140;66;12;4;0
214. Timón;10.592;752;670;579;505;476;568;943;1.122;1.092;963;830;603;415;279;254;205;178;110;45;3;0;0
215. Corralejos;7.300;551;657;680;399;258;185;335;576;956;893;575;314;206;194;186;117;84;76;46;10;2;0
