NUNCUESTI;P0;P1;P2A;P2B;P3A;P3B;P3C;P3D;P3E;P3F;P3G;P3H;P3I;P3J;P3K;P3L;P3M;P4A;P4B;P5;P141;P142;P151;P152;P161;P162;P163;P164;P165;P166;P167;P168;P169;P1610;P1611;P1612;P1613;P1614;P1615;P1616;P1617;P17;P29;P301;P302;P31;P32LIT;P32;P33;P34;P35;P361;P362;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;SECCION;BARRIO;CODBARRIO;DISTRITO
11596175;1;5;3;2;1;1;1;1;1;1;2;1;1;1;3;3;3;3;2;1;3;2;2;1;7;5;0;6;0;3;0;8;0;2;10;5;4;10;4;4;0;2;1;34;2;1; ;724;1;1;4;;6;4;3;1;1;5;1;4;5;2;2;3;32;Santa Eugenia;182;18
10875982;1;5;2;3;1;1;2;1;1;1;2;3;2;1;1;2;2;4;4;3;3;3;3;2;2;1;0;2;0;2;2;4;3;2;2;3;2;1;3;4;2;2;2;49;3;1;marruecos;504;1;2;1;;5;4;9;1;1;1;1;3;99;9;2;2;5;Pavones;141;14
10228290;1;5;1;1;1;2;1;1;1;2;1;1;2;1;2;2;3;2;2;3;3;3;3;3;3;0;1;6;0;1;5;2;2;3;6;7;5;3;6;4;1;2;2;44;2;1; ;724;1;1;4;;4;1;3;1;1;6;2;3;4;2;2;3;74;Palomeras Bajas;133;13
11567419;1;5;4;3;2;3;1;3;3;1;3;1;1;8;3;3;3;4;3;1;4;3;4;3;4;0;2;8;0;1;1;6;7;2;5;6;0;8;2;4;2;2;2;48;3;2; ;724;1;3;2;;5;1;5;1;1;3;1;5;3;7;2;3;110;Valverde;86;8
11478554;1;5;2;2;1;1;1;1;1;1;2;1;1;1;3;3;1;1;2;1;9;9;9;9;5;8;8;10;0;8;2;10;10;10;10;10;6;10;10;10;0;2;1;54;3;1; ;724;1;3;3;;2;1;5;1;1;2;1;5;5;4;2;3;71;Valverde;86;8
11129764;1;5;3;3;1;1;3;1;1;1;3;1;1;1;1;3;3;4;4;1;3;3;1;1;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;10;10;2;1;34;2;1; ;724;1;1;4;;3;4;5;1;1;99;1;3;3;2;2;3;107;Butarque;173;17
11223510;1;5;4;3;8;1;1;1;1;1;2;1;1;1;2;1;2;4;2;2;4;4;4;4;4;2;0;5;2;2;2;0;3;2;5;5;4;4;4;3;10;2;2;44;2;1; ;724;1;3;2;;6;1;1;1;1;4;1;8;2;99;1;3;34;Embajadores;12;1
11478547;1;5;2;3;2;3;2;3;2;1;3;2;8;2;3;3;3;4;4;1;4;4;4;4;2;3;0;5;0;5;0;8;0;5;3;7;2;5;0;0;0;2;1;43;2;1; ;724;1;1;4;;3;1;9;1;1;3;1;3;4;3;2;3;71;Valverde;86;8
11530442;1;5;3;3;3;3;2;2;2;1;3;1;1;1;2;3;3;2;3;1;3;2;3;2;11;6;1;8;7;7;6;6;7;8;4;7;6;7;6;7;6;2;1;34;2;1; ;724;1;2;6;;3;4;7;2;1;99;1;4;3;6;2;3;170;Abrantes;117;11
10686687;1;5;1;4;1;4;1;1;1;1;3;2;2;1;4;4;4;2;4;1;4;1;4;1;10;0;0;9;0;8;7;10;7;10;10;10;10;10;8;10;0;1;2;37;2;1; ;724;1;1;4;;4;7;;1;1;1;1;5;99;6;5;1;12;Simancas;201;20
11598504;1;5;4;4;1;3;1;2;1;1;2;3;3;3;2;3;3;3;3;1;4;4;3;3;6;3;2;2;3;3;3;5;2;5;2;3;5;6;7;8;6;2;1;61;4;1; ;724;1;1;4;;6;2;;1;1;8;1;3;3;3;2;3;118;Vallehermoso;76;7
10876016;1;5;3;3;2;2;2;2;1;2;2;2;1;1;1;3;8;3;8;2;3;3;8;8;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;2;62;4;1; ;724;1;3;3;;3;2;;2;2;2;2;5;98;9;2;3;57;San Diego;132;13
10874640;1;5;2;2;1;1;1;1;1;1;1;1;1;1;9;1;1;2;2;3;4;2;2;1;8;8;6;9;4;4;7;8;0;5;0;5;8;7;0;8;0;2;1;57;4;1; ;724;1;3;1;;6;2;;1;1;2;1;4;4;2;3;3;26;Hellín;202;20
10258982;1;5;3;3;2;2;1;1;1;1;1;1;1;1;2;1;3;3;3;1;3;3;3;3;7;3;3;7;7;4;6;7;2;10;1;2;2;4;3;2;10;2;2;31;2;2; ;724;1;2;3;;4;1;5;1;1;5;1;5;3;6;2;1;8;Palacio;11;1
11314968;1;4;3;3;1;2;1;1;1;1;1;1;1;2;3;2;3;5;8;1;4;4;3;3;5;2;0;3;2;2;2;2;2;6;2;4;1;1;8;7;1;2;2;50;3;1; ;724;1;1;3;;5;1;2;1;1;4;1;4;2;9;2;3;52;Delicias;25;2
11198967;1;5;3;3;2;3;2;2;2;2;3;3;2;1;2;3;3;4;4;2;3;2;2;2;3;2;1;6;0;2;2;3;2;4;3;4;1;2;2;11;1;2;1;22;1;1; ;724;1;2;6;;4;6;;1;1;98;2;4;5;6;2;1;19;Prosperidad;52;5
10248408;1;5;2;2;1;2;1;1;1;1;1;1;1;1;1;3;1;2;2;1;2;1;2;2;9;8;0;10;10;9;7;10;8;7;1;8;0;5;6;5;1;2;2;36;2;1; ;724;1;2;6;;5;1;4;1;1;3;2;3;4;5;1;3;14;San Andrés;171;17
10875913;1;5;3;3;2;8;2;1;1;2;2;2;2;1;3;3;3;4;3;3;3;3;3;2;3;2;0;5;0;1;1;2;1;1;5;6;0;0;1;1;1;2;2;45;3;1; ;724;1;1;4;;6;1;4;1;1;7;2;3;1;2;1;3;5;Pavones;141;14
10265690;1;5;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;2;1;8;1;0;8;0;2;2;8;8;8;8;1;1;8;10;5;3;2;1;76;5;1; ;724;1;3;1;;2;2;;1;1;3;2;3;4;2;3;3;86;Palomeras Bajas;133;13
10873502;1;5;3;3;2;2;2;1;2;2;2;3;2;1;3;3;3;4;3;2;3;3;2;1;2;2;0;6;0;5;2;2;5;2;5;5;5;5;5;3;3;2;1;45;3;1; ;724;1;2;1;;3;4;4;1;1;1;1;4;3;2;2;3;11;Peñagrande;83;8
11515562;1;5;2;2;2;2;1;1;1;1;3;2;3;1;3;3;3;3;3;1;1;1;2;2;8;10;0;11;5;3;2;2;2;2;1;8;6;7;11;3;0;2;1;34;2;1; ;724;1;1;3;;3;1;4;2;2;3;1;4;98;9;1;3;15;Ambroz;192;19
11490752;1;5;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;1;4;2;3;2;6;7;2;6;0;5;6;5;7;7;5;9;6;7;7;6;11;2;1;44;2;1; ;724;1;1;4;;3;1;8;1;1;3;1;4;3;99;2;3;24;Ambroz;192;19
11810224;1;5;4;4;3;3;3;1;1;1;3;4;1;2;3;4;4;4;4;1;3;3;3;3;4;0;1;2;0;0;0;3;0;0;5;8;0;4;3;4;0;2;2;59;4;1; ;724;1;2;1;;6;4;3;1;1;2;1;3;4;6;3;3;83;Nueva españa;55;5
10874646;1;5;4;4;4;4;4;1;1;1;3;2;2;2;2;2;2;4;4;9;4;4;2;2;0;0;0;12;0;5;0;0;0;10;10;10;0;0;0;10;0;2;1;51;3;1; ;724;1;2;1;;3;2;;2;2;2;1;5;99;1;3;1;26;Hellín;202;20
10875989;1;5;3;3;1;2;2;1;1;1;1;2;2;2;8;2;2;3;2;1;3;3;2;2;11;11;11;9;11;0;2;6;8;3;10;8;0;0;11;11;0;2;2;57;4;1; ;724;1;1;3;;4;4;4;1;1;99;1;8;99;6;3;2;88;Pavones;141;14
11314964;1;3;3;3;2;2;1;1;1;1;3;2;2;1;1;3;3;5;4;3;3;3;3;3;1;2;0;1;0;0;1;3;3;1;1;2;2;3;4;3;5;2;1;31;2;2; ;724;1;2;6;;6;1;2;1;1;99;3;3;1;99;1;3;57;Delicias;25;2
11754174;1;5;4;4;2;4;2;4;2;1;4;4;4;1;4;2;9;3;3;2;2;1;4;9;5;5;0;5;0;4;0;6;5;6;0;5;0;5;0;0;0;2;1;51;3;1; ;724;1;1;4;;3;1;5;1;2;5;1;5;5;1;4;3;60;Valdezarza;94;9
10641436;1;5;4;4;1;1;3;1;1;1;3;3;3;3;2;2;2;3;4;2;4;1;1;1;1;3;0;8;2;0;6;4;0;6;8;10;9;9;9;9;0;2;2;66;5;1; ;724;1;4;6;;3;3;;2;2;2;1;5;99;2;5;2;99;Orcasur;122;12
11056082;1;4;3;3;2;2;2;1;1;2;3;3;1;1;3;2;2;3;3;1;3;1;3;3;10;8;0;10;2;10;6;7;4;6;10;7;8;8;5;5;7;1;2;21;1;1; ;724;1;1;4;;4;5;;1;1;2;1;2;98;6;3;3;39;Opañel;112;11
11040249;1;5;4;4;4;4;4;1;1;1;4;4;4;4;4;4;4;1;1;3;4;2;3;2;8;9;0;9;0;9;12;9;9;9;9;10;6;9;10;9;0;2;2;42;2;1; ;724;1;3;2;1;;4;8;2;2;1;1;9;99;6;5;3;33;Amposta;203;20
11074712;1;5;2;3;1;3;1;1;1;1;2;2;2;2;2;2;2;3;3;3;3;2;3;2;8;8;1;10;2;10;5;9;8;10;7;4;2;5;3;6;0;1;2;31;2;1; ;724;1;1;3;;6;1;3;1;1;5;3;3;2;3;2;3;48;Almendrales;124;12
11411482;1;2;4;3;2;3;2;3;1;2;3;3;1;1;4;4;4;5;3;3;4;3;4;2;1;0;0;0;0;0;0;0;0;0;0;1;2;3;1;2;1;2;1;34;2;1; ;724;1;1;4;;6;1;1;1;1;8;3;8;6;1;1;3;104;Legazpi;24;2
11016694;1;5;3;3;2;2;2;1;2;2;3;2;8;1;2;2;2;4;3;1;3;2;2;2;3;11;11;3;0;1;2;3;4;2;1;2;0;4;3;1;11;2;2;62;4;1; ;724;1;1;3;;6;1;3;1;1;6;2;3;6;1;2;3;19;Prosperidad;52;5
10729298;1;5;4;4;2;1;1;1;1;1;4;1;1;1;3;8;4;3;3;1;4;3;4;3;8;2;1;7;6;2;2;4;5;3;6;10;6;8;3;2;10;2;1;22;1;1; ;724;1;1;4;;3;4;5;2;1;1;1;5;99;6;3;3;32;Puerta del Ángel;102;10
11056084;1;5;3;3;2;3;1;1;1;1;1;1;2;1;2;2;2;3;3;3;3;2;3;3;2;0;0;4;0;3;2;4;4;8;6;9;3;3;3;4;0;2;2;56;4;1; ;724;1;2;6;;4;4;2;1;1;2;1;4;99;99;2;3;39;Opañel;112;11
11317401;1;5;3;4;2;8;1;1;1;1;1;2;1;1;2;2;3;3;2;1;3;3;3;3;4;0;0;4;0;0;0;0;0;0;6;6;4;0;0;5;10;1;1;49;3;1; ;724;1;2;1;;3;2;;1;1;2;1;4;3;2;3;1;49;Arcos;204;20
11667884;1;5;3;4;2;4;2;2;1;2;4;4;4;2;4;4;4;3;4;3;4;4;4;4;0;4;0;10;0;5;0;7;8;8;6;9;2;7;7;5;6;2;1;46;3;1; ;724;1;1;4;;5;1;4;1;1;5;1;3;10;6;2;3;38;Santa Eugenia;182;18
10728577;1;5;3;3;2;2;2;1;8;1;2;2;1;1;3;3;3;3;3;2;3;3;3;3;6;5;2;7;2;3;6;3;8;10;7;7;7;6;8;8;11;2;2;56;4;1; ;724;1;1;4;;6;1;3;1;1;3;1;3;5;9;3;3;15;Comillas;111;11
10667920;1;4;2;3;2;3;2;1;1;1;8;3;3;1;3;3;3;4;3;1;2;2;2;2;6;7;3;8;0;4;3;10;10;10;10;8;0;9;6;10;0;2;2;43;2;1; ;724;1;1;4;;6;1;2;1;1;99;1;2;5;1;1;3;175;San Juán Bautista;156;15
10839845;1;5;3;3;2;3;2;1;1;1;2;1;8;2;1;2;1;4;2;3;2;2;2;2;3;11;11;8;11;11;11;10;10;0;10;10;0;10;10;10;11;2;2;63;4;1; ;724;1;4;2;;5;3;;1;1;3;1;3;98;99;2;3;9;Peñagrande;83;8
10641385;1;5;4;4;4;2;2;1;1;1;1;2;2;1;2;1;1;4;4;2;4;4;2;2;7;5;0;0;0;0;0;0;0;0;0;4;0;10;10;10;10;2;1;35;2;1; ;724;1;2;6;;3;4;8;1;1;4;1;4;1;3;1;1;5;Orcasitas;121;12
11478548;1;5;2;3;2;3;2;2;8;2;1;2;2;1;3;2;8;3;3;1;3;3;3;2;5;2;2;8;0;4;4;5;8;8;8;8;3;5;5;5;0;2;1;78;5;1; ;724;1;1;4;;2;2;;2;2;3;1;5;3;2;5;3;71;Valverde;86;8
11794853;1;5;3;2;2;3;2;1;1;1;1;3;2;2;3;3;3;3;3;1;3;2;2;2;8;5;0;6;5;6;6;6;7;6;8;6;6;7;7;6;1;1;2;49;3;1; ;724;1;2;1;;6;2;;1;1;3;1;3;5;6;4;3;91;Valdeacederas;65;6
10875908;1;5;3;1;1;1;2;2;8;1;2;2;2;1;3;1;3;3;1;2;3;3;3;2;11;11;11;11;11;11;11;8;6;10;7;10;11;12;0;11;11;2;2;49;3;1; ;724;1;2;6;;6;1;4;1;1;3;1;4;3;99;1;1;31;Media Legua;144;14
11794858;1;5;2;2;2;8;2;1;1;1;3;8;1;2;2;2;1;3;3;1;4;4;3;3;2;2;0;6;1;5;2;7;2;7;8;10;2;2;1;1;10;1;1;50;3;1; ;724;1;1;4;;6;1;1;1;1;4;1;3;5;6;2;3;91;Valdeacederas;65;6
11768394;1;5;3;3;3;3;2;2;2;1;3;3;3;2;3;3;4;4;3;3;3;3;3;8;3;3;0;3;0;0;0;3;0;0;0;3;0;0;3;0;0;2;1;54;3;1; ;724;1;4;2;;2;2;;2;2;99;2;3;8;1;2;3;155;Mirasierra;87;8
10614602;1;5;4;4;3;3;2;1;2;1;3;3;3;2;3;8;8;3;3;2;4;2;4;2;6;0;0;7;2;5;2;6;6;5;5;9;0;6;8;3;6;1;1;38;2;1; ;724;1;1;4;2;;4;8;2;2;2;2;5;9;1;5;1;18;Casco Historico de Vallecas;181;18
11016679;1;5;3;4;1;3;2;1;1;1;2;1;8;2;1;2;2;4;4;3;2;2;2;2;4;4;0;6;0;2;3;6;6;8;10;8;4;6;7;8;2;2;1;71;5;1; ;724;1;1;3;;6;2;;1;2;4;1;3;5;99;2;3;17;Marroquina;143;14
10876019;1;1;1;1;8;4;1;8;8;2;2;1;1;1;8;1;1;3;1;1;3;3;3;2;11;11;11;0;3;5;5;6;5;11;4;5;5;5;5;5;4;2;1;33;2;1; ;724;1;2;6;;4;5;;2;1;98;2;5;99;99;2;3;25;Marroquina;143;14
11074717;1;5;2;2;1;3;2;1;1;1;3;3;1;1;2;2;1;1;2;1;2;1;2;1;8;8;1;11;1;8;1;8;9;10;2;10;3;9;2;2;2;2;1;65;5;1; ;724;1;3;6;;4;2;;1;1;3;1;3;3;6;2;3;48;Almendrales;124;12
10653129;1;5;3;3;2;2;2;2;2;1;1;2;2;1;3;2;2;4;4;1;3;2;3;2;5;3;0;3;0;2;2;6;6;3;8;4;0;7;6;6;3;2;1;65;5;1; ;724;1;1;3;;4;1;3;1;1;99;2;3;3;2;2;3;215;Los Cármenes;101;10
10876003;1;5;2;2;2;3;2;2;2;2;3;3;2;2;2;3;3;3;4;2;3;3;2;2;11;11;0;0;0;0;11;5;0;0;10;7;0;7;5;2;11;2;1;67;5;1; ;724;1;1;3;;6;2;;1;1;6;2;8;3;6;2;3;88;Pavones;141;14
11282859;1;5;3;3;1;3;1;1;1;1;2;2;8;2;3;3;3;4;3;3;3;3;3;2;7;3;0;11;5;5;7;9;8;8;3;9;3;3;7;5;3;1;2;55;4;1; ;724;1;1;3;;4;4;3;1;1;3;1;5;3;99;2;3;57;Delicias;25;2
11158916;1;5;3;3;2;3;1;1;1;1;2;1;1;1;2;1;1;2;3;1;2;2;2;2;5;4;0;10;0;0;7;8;10;10;4;10;3;7;7;7;0;1;2;45;3;1;colombiana;170;1;1;4;;6;4;3;1;1;1;1;5;3;2;2;3;35;Amposta;203;20
10583908;1;5;3;4;2;2;2;1;1;1;1;1;1;1;1;2;2;3;3;1;3;2;3;2;10;10;10;1;10;1;10;10;1;10;1;1;2;1;1;1;10;1;1;51;3;1; ;724;1;2;6;;4;3;;1;1;3;1;3;99;99;2;3;23;Opañel;112;11
10978892;1;5;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;3;3;11;11;0;11;2;2;2;2;2;2;2;7;2;3;3;3;1;2;2;60;4;1; ;724;1;3;6;;6;2;;1;1;99;1;2;2;3;1;3;29;Arapiles;72;7
10211201;1;5;3;3;2;1;1;1;1;1;1;1;1;2;2;2;3;4;3;1;4;4;4;4;4;4;4;5;6;4;6;5;6;7;3;8;4;6;4;4;7;2;1;54;3;1; ;724;1;1;4;;4;1;3;1;1;5;2;3;3;2;2;1;12;Palacio;11;1
10973569;1;5;4;4;2;4;1;1;2;1;2;4;1;1;4;4;4;4;4;3;4;3;2;8;10;8;3;0;0;5;5;5;0;0;10;5;0;0;3;5;7;2;1;38;2;1; ;724;1;1;4;;3;1;8;1;1;3;1;4;99;6;2;3;104;Piovera;162;16
11225013;1;5;3;2;1;2;1;1;1;1;3;2;1;1;3;3;3;4;3;1;3;3;3;3;7;3;6;9;1;2;4;7;7;7;7;10;1;7;7;1;1;2;2;43;2;1; ;724;1;3;6;;4;4;4;1;1;3;1;5;2;6;2;2;64;Vinateros;146;14
10972818;1;5;3;3;3;2;2;1;1;2;3;3;1;8;4;4;4;4;4;2;4;3;4;3;2;0;0;2;0;2;6;3;3;3;3;6;0;3;1;0;9;1;1;19;1;1; ;724;1;2;6;;4;6;;1;1;3;1;4;4;8;1;3;22;Alameda de Osuna;211;21
11869739;1;5;3;2;3;2;4;1;8;2;3;3;2;3;3;3;2;4;4;1;3;3;3;2;6;3;5;6;7;4;4;3;5;3;7;7;7;4;6;6;3;2;1;58;4;1; ;724;1;1;4;;6;1;2;1;1;99;2;9;99;99;2;3;80;Niño Jesús;36;3
11225009;1;5;3;4;3;3;2;2;2;1;3;4;3;2;4;4;4;4;3;3;4;3;4;3;9;7;4;9;1;1;2;2;6;1;4;9;3;6;3;0;2;2;2;30;2;1; ;724;1;1;4;;6;1;3;1;1;5;1;3;7;1;1;3;64;Vinateros;146;14
11101925;1;5;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;3;3;1;2;1;3;2;10;0;0;10;10;10;11;8;7;8;8;10;8;8;7;5;5;2;1;45;3;1; ;724;1;2;6;;3;4;5;2;1;2;1;4;98;2;2;3;34;San Cristóbal;172;17
11736044;1;5;2;3;2;2;1;1;2;1;1;3;2;2;3;3;3;4;3;1;3;2;2;2;7;5;0;7;1;5;2;9;8;7;8;9;3;8;10;10;7;1;1;46;3;1; ;724;1;2;1;;6;2;;1;1;4;1;4;3;10;5;3;168;Mirasierra;87;8
10617587;1;4;3;3;2;3;1;1;2;1;3;2;3;1;3;3;1;3;3;1;3;3;3;3;0;0;0;4;1;1;1;1;1;2;3;6;0;2;3;2;0;2;1;22;1;1;Ecuador;218;1;2;6;;5;6;;1;1;2;3;5;1;3;2;1;28;Puerta del Ángel;102;10
11317400;1;5;3;3;1;2;1;1;1;1;1;1;1;1;1;1;1;2;3;1;3;2;2;1;3;0;0;9;0;1;1;5;1;0;2;5;7;4;4;5;9;2;2;25;1;1; ;724;1;2;4;;5;1;1;1;1;3;1;5;5;2;2;3;49;Arcos;204;20
10941611;1;5;3;3;2;1;1;1;1;1;3;2;1;1;2;8;3;4;3;2;4;4;4;4;6;1;0;5;0;0;0;1;1;1;10;10;1;3;0;2;0;2;2;59;4;2; ;724;1;3;1;;4;2;;1;1;3;1;2;3;2;1;3;7;Alameda de Osuna;211;21
10540792;1;5;3;3;3;2;2;3;1;1;2;1;1;1;2;3;3;4;3;2;3;2;2;2;6;3;3;7;5;6;7;8;8;8;8;8;8;8;5;5;3;2;1;33;2;1; ;724;1;2;1;;5;1;3;1;1;5;3;3;5;2;1;3;6;Casco Historico de Vallecas;181;18
10653134;1;5;4;3;2;3;2;1;1;1;8;3;2;2;3;2;3;2;1;3;3;3;3;3;2;2;1;3;2;2;2;2;2;2;6;9;11;3;2;2;2;2;2;75;5;1; ;724;1;4;2;;2;2;;2;2;2;1;5;99;99;3;2;32;Puerta del Ángel;102;10
11198951;1;5;3;3;3;3;2;1;1;2;3;2;2;2;3;3;3;3;3;3;3;2;2;2;5;11;11;5;0;3;2;3;2;1;6;3;1;2;11;11;11;2;2;68;5;1; ;724;1;4;6;;2;2;;1;1;2;1;8;5;9;2;3;26;Argüelles;92;9
10886488;1;5;2;2;1;2;1;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;3;3;9;6;2;9;4;9;7;9;7;7;2;9;4;6;7;5;8;1;2;45;3;1; ;724;1;2;6;;4;4;8;1;1;2;1;5;3;3;2;2;33;Entrevías;131;13
11599670;1;5;3;3;2;3;2;2;2;2;2;2;2;1;2;2;2;3;3;2;3;3;3;3;3;3;1;4;0;4;2;2;1;0;1;5;1;4;6;4;3;2;1;36;2;1; ;724;1;2;1;;5;1;3;1;1;99;2;4;3;3;2;3;73;Apóstol Santiafo;165;16
11102310;1;5;2;4;1;2;1;1;8;1;1;2;2;8;4;3;4;3;3;1;1;1;2;1;8;8;5;10;0;5;10;9;9;9;5;10;10;5;10;10;6;2;2;79;5;1; ;724;1;1;4;;2;7;;1;1;3;2;3;4;2;2;3;34;San Cristóbal;172;17
11887001;1;5;2;2;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;4;4;4;4;5;5;5;10;0;6;7;9;7;10;10;10;5;7;9;8;9;2;2;37;2;1; ;724;1;1;4;;6;1;2;1;1;4;1;3;1;3;3;3;48;Embajadores;12;1
11223511;1;5;3;2;1;3;1;2;2;2;2;2;3;2;3;1;3;3;3;1;3;3;3;3;5;5;0;5;2;7;4;2;2;6;8;2;2;5;2;7;8;2;1;45;3;2; ;724;1;2;6;;6;1;1;1;1;4;1;3;99;99;2;3;34;Embajadores;12;1
11106760;1;5;3;2;1;2;1;1;1;1;3;2;2;1;3;2;2;3;3;2;4;4;3;3;9;8;6;9;1;5;6;6;6;8;6;9;1;1;6;1;2;2;1;51;3;1; ;724;1;1;4;;4;1;5;1;1;3;2;5;4;99;2;3;59;Fontarrón;145;14
11898724;1;1;3;3;2;3;2;2;2;2;2;2;2;2;8;3;3;4;3;1;3;3;3;3;10;3;2;7;8;2;3;8;3;7;4;8;3;2;7;7;9;2;1;61;4;2; ;724;1;1;4;;4;1;4;1;1;99;1;4;5;99;2;3;58;Castillejos;63;6
11056083;1;5;2;3;2;2;2;2;1;1;2;2;2;1;2;3;4;3;2;3;2;1;2;1;5;0;0;7;0;0;0;6;2;7;5;10;4;6;3;2;0;2;2;47;3;1; ;724;1;2;6;;5;4;3;1;1;2;1;3;99;99;3;3;39;Opañel;112;11
10261009;1;5;2;2;2;3;2;1;1;1;2;2;3;1;4;4;3;1;4;1;2;1;3;2;10;10;0;10;10;10;10;10;10;10;3;10;10;10;10;9;0;2;1;46;3;1; ;724;1;1;3;;3;4;7;1;1;3;1;5;4;3;2;3;24;San Andrés;171;17
10614601;1;5;4;4;1;2;2;1;1;1;2;3;3;2;2;8;2;3;3;2;2;1;3;2;9;11;11;8;0;5;0;10;10;5;5;8;2;5;8;10;0;2;1;46;3;1; ;724;1;1;4;;3;1;8;1;1;4;1;5;5;1;1;2;18;Casco Historico de Vallecas;181;18
10839848;1;5;3;2;2;1;2;2;2;2;3;3;2;1;3;3;3;4;3;3;3;3;2;1;11;11;11;5;0;2;6;6;8;8;6;9;0;10;10;10;0;2;1;36;2;1; ;724;1;1;3;;5;1;3;1;1;6;1;4;5;6;4;3;9;Peñagrande;83;8
10839841;1;5;2;3;3;3;2;1;1;1;1;3;3;1;3;3;3;3;4;2;3;3;2;2;10;0;0;10;0;0;0;10;10;10;0;10;10;10;10;10;10;2;1;52;3;1; ;724;1;3;1;;5;1;4;1;1;4;1;4;3;3;2;3;9;Peñagrande;83;8
11282860;1;5;2;2;2;2;1;1;1;1;3;1;1;1;3;3;3;4;3;8;3;2;3;3;11;3;0;4;1;6;1;2;2;2;2;6;3;8;6;9;10;1;2;31;2;1; ;724;1;2;1;;6;1;3;1;1;3;1;5;3;6;2;3;57;Delicias;25;2
