RESPNUM,CCGID,BAREA,GATE,STRATA,CATEGORY,INTDATE,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,MINUTES,Q2PURP1,Q3GETTO1,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q5NOTBUY,Q6NOFOOD,Q7FLYPERYR,SAQ,Q8A_ART,Q8B_FOOD,Q8C_SHOP,Q8D_SIGNS,Q8E_WALK,Q8F_SCREENS,Q8G_INFOARR,Q8H_INFODEP,Q8I_ROAD,Q8J_PARK,Q8K_AIRTRAIN,Q8L_LTPARK,Q8M_RENTAL,Q8N_WHOLE,Q10A_CLNBOARD,Q10B_CLNPARK,Q10C_CLNAIRTRAIN,Q10D_CLNRENT,Q10E_CLNFOOD,Q10F_CLNBATH,Q11SAFE,Q12_USEWEB,Q13_RATEWEB,Q14WHEREDEPART,Q14RATEGETTO,Q15A_FIND,Q15B_SECURITY,Q16_PROBLEM,Q17REGION,Q18ZIP,Q18COUNTRY,HOME,Q19_AGE,Q20_SEX,Q21_INCOME,LANG
1310,2271,F,70,2,3,12,33,5604,14,4,2,8:30,11:16,166,2,7,,1,2,1,2,2,1,2,3,3,3,4,3,4,6,6,6,6,6,6,6,4,5,5,5,5,5,5,4,2,,5,4,2,1,1,3,,AUSTRALIA,19,5,2,0,1
1318,2279,F,70,2,3,12,33,5604,14,4,2,9:00,11:16,136,2,6,,1,2,1,2,2,1,1,6,6,6,4,6,5,6,6,6,6,6,6,6,3,5,6,6,6,6,6,5,2,,5,5,5,5,2,3,,AUSTRALIA,19,3,1,2,1
1477,2326,B,31,1,1,13,28,1727,50,1,4,7:30,9:05,95,2,4,,1,1,1,2,2,1,2,2,2,2,3,6,4,6,6,6,6,6,6,6,3,2,6,6,6,6,2,3,2,,12,4,4,3,2,3,,AUSTRALIA,19,5,2,0,1
2320,1480,C,44,3,2,6,15,4770,50,1,4,16:20,17:50,90,1,3,,1,1,1,1,2,3,1,3,2,3,5,5,5,6,6,6,6,5,6,6,4,5,6,5,6,5,5,5,2,,11,6,5,5,2,4,,AUSTRALIA,19,4,1,3,1
2332,1492,C,44,3,2,6,15,4770,50,1,4,16:30,17:50,80,2,9,,0,1,0,2,2,1,2,4,3,3,4,4,4,6,6,4,6,3,6,3,4,5,6,5,4,6,4,5,2,,5,4,4,5,2,3,,AUSTRALIA,19,5,0,4,1
2628,1251,C,44,2,2,2,15,4683,50,1,4,15:30,16:50,80,1,7,,1,1,2,2,2,1,1,6,6,6,4,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,4,4,2,,5,5,5,5,2,3,,AUSTRALIA,19,3,2,0,1
2629,1252,C,44,2,2,2,15,4683,50,1,4,15:00,16:50,110,2,4,,1,2,1,2,2,3,1,6,5,5,5,6,4,4,4,4,6,6,6,6,4,5,6,6,6,4,4,4,2,,5,5,5,5,2,3,,AUSTRALIA,19,6,2,0,1
2636,1259,C,44,2,2,2,15,4683,50,1,4,13:45,16:50,185,2,5,,1,1,2,2,2,1,1,6,6,3,4,4,4,4,6,6,6,4,6,6,3,4,6,6,5,6,6,5,2,,5,5,5,5,2,3,,AUSTRALIA,19,4,2,2,1
2664,3476,D,51,2,2,2,35,906,46,1,4,12:30,13:25,55,2,3,,2,2,1,1,2,1,2,4,4,4,5,6,5,6,4,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,11,0,5,6,2,4,,AUSTRALIA,19,3,1,4,1
2726,3441,D,58,1,1,2,9,1915,50,1,4,7:15,10:00,165,2,3,,1,1,2,2,2,1,2,4,6,4,4,6,4,6,6,6,6,6,6,6,4,5,6,4,6,6,5,5,2,,11,5,5,4,2,4,,AUSTRALIA,19,4,1,3,1
2777,1426,B,26,2,2,6,34,1538,16,2,4,10:30,13:25,175,2,3,,1,2,1,2,2,1,2,6,3,6,4,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,3,2,,11,4,4,4,1,4,,AUSTRALIA,19,3,1,0,1
2994,632,D,54,2,1,6,35,260,46,1,4,10:30,12:00,90,2,6,,1,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2,,5,3,5,5,2,3,,AUSTRALIA,19,3,2,3,1
2997,635,D,54,2,1,6,35,260,46,1,4,9:30,12:00,150,2,7,,1,1,2,2,2,1,1,4,6,4,4,6,4,6,5,4,6,6,6,6,4,4,6,6,6,6,4,5,2,,5,4,5,2,2,3,,AUSTRALIA,19,6,2,0,1
3100,3132,A,4,2,3,16,2,784,95,4,3,11:10,15:35,265,3,3,,1,1,0,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,,11,3,3,3,2,4,,AUSTRALIA,19,2,2,1,1
3157,3267,F,72,2,2,19,32,292,65,2,3,10:30,14:21,231,1,3,,1,2,1,2,2,1,1,4,3,3,4,4,3,6,3,6,6,6,6,6,3,4,6,6,6,4,4,4,2,,11,6,4,4,2,4,,AUSTRALIA,19,3,1,4,1
3612,3193,A,5,2,3,18,16,226,27,7,4,N,16:45,N,2,8,,1,2,2,2,2,1,2,6,6,6,4,4,4,6,6,4,6,6,6,6,4,5,6,6,6,6,5,5,2,,5,5,5,5,2,3,,AUSTRALIA,19,5,2,2,1
3630,2723,F,73,1,1,1,32,589,50,1,4,6:25,8:30,125,3,6,,1,2,2,2,2,1,1,6,6,6,4,6,4,6,6,4,6,6,6,6,4,4,6,6,6,6,6,5,2,,5,5,5,4,2,3,,AUSTRALIA,19,3,2,2,1
3699,1172,F,77,3,2,5,32,5396,77,1,1,13:30,17:21,231,3,3,,0,1,1,2,2,3,2,5,4,3,5,5,5,4,3,6,6,6,6,6,4,4,6,6,6,4,4,4,2,,11,5,5,6,2,4,,AUSTRALIA,19,5,2,2,1
3774,3103,D,55,3,2,15,9,1943,50,1,4,12:00,19:50,470,2,7,,1,2,1,2,2,1,1,6,4,6,5,5,5,0,5,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,5,5,5,5,2,3,,AUSTRALIA,19,7,1,2,1
3782,3111,D,55,3,2,15,9,1943,50,1,4,18:00,19:50,110,2,2,,1,1,2,1,2,1,2,6,6,4,4,4,4,6,6,4,4,6,6,6,4,5,0,0,0,0,5,5,2,,4,4,5,5,2,3,,AUSTRALIA,19,6,2,4,1
3783,3112,D,55,3,2,15,9,1943,50,1,4,15:45,19:50,245,2,6,,1,2,2,1,2,1,2,4,6,4,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,4,5,2,,5,5,5,5,1,3,,AUSTRALIA,19,7,1,0,1
4077,3076,D,55,3,2,15,9,1978,50,1,4,15:30,17:20,110,1,6,,1,1,1,2,1,1,2,3,2,3,4,6,3,6,6,6,6,6,6,6,4,5,6,6,6,3,6,4,1,3,5,5,4,1,2,3,,AUSTRALIA,19,7,2,4,1
4087,3086,D,55,3,2,15,9,1978,50,1,4,15:00,17:20,140,2,6,,1,2,2,2,2,1,2,4,6,6,3,3,3,4,6,6,6,6,6,6,4,4,6,6,6,6,5,4,2,,5,5,5,3,2,3,,AUSTRALIA,19,7,1,0,1
4124,1804,B,20,1,2,9,8,385,73,1,2,6:00,7:00,60,2,7,,1,2,2,2,2,1,2,5,0,5,5,0,5,5,5,6,6,6,6,6,5,4,6,6,6,6,3,5,2,,6,4,5,5,2,3,,AUSTRALIA,19,2,2,3,1
4256,168,C,44,3,2,2,15,4798,50,1,4,18:15,19:50,95,2,1,1,1,2,2,2,2,1,2,3,6,6,3,4,4,1,3,5,5,6,6,6,4,5,5,6,6,6,5,5,2,,5,1,3,5,1,3,,AUSTRALIA,19,2,2,2,1
713,1015,F,82,1,1,2,32,663,38,1,2,21:00,9:10,730,2,3,,1,2,1,1,2,1,1,6,3,6,5,5,4,6,6,6,6,6,6,6,4,5,6,6,6,4,4,5,2,,11,0,5,6,1,4,,AUSTRIA,15,2,2,0,1
2105,2683,A,3,3,3,16,6,7393,28,6,2,10:00,17:55,475,2,5,,1,1,1,2,2,1,2,5,4,6,5,4,4,5,5,4,4,6,6,6,5,5,6,6,6,5,5,4,1,4,1,4,5,5,2,3,,AUSTRIA,15,2,2,1,1
2302,885,C,40,2,1,5,15,1940,60,2,4,9:15,11:15,120,2,6,,1,1,1,2,2,1,2,6,4,3,4,4,2,3,6,6,6,6,6,6,4,5,6,6,6,5,3,5,2,,5,3,5,3,2,3,,AUSTRIA,15,3,2,2,1
593,903,C,47,1,1,5,15,1480,4,2,4,6:00,8:25,145,2,6,,1,1,1,1,2,1,2,6,3,6,4,0,4,0,0,6,6,6,6,6,6,5,6,6,6,3,3,4,2,,5,5,5,5,2,3,,BELGIUM,15,6,2,2,1
2080,2609,D,58,1,2,17,9,2340,18,3,4,4:30,6:10,100,2,9,,2,2,2,2,2,1,2,6,6,6,5,5,5,6,6,4,6,4,6,4,5,5,6,5,4,6,4,4,2,,5,5,5,4,2,3,,BELGIUM,15,4,1,4,1
230,388,C,40,2,1,1,15,2080,4,2,4,8:50,11:50,180,2,8,,1,0,0,2,2,2,2,4,4,6,5,4,6,5,5,6,6,6,6,6,4,3,4,6,6,4,4,4,2,,5,5,5,5,2,3,,BRAZIL,14,7,1,3,1
675,742,F,87,2,2,2,32,1669,39,3,4,0:00,14:36,876,1,9,,1,1,1,1,1,1,2,6,4,4,3,3,4,3,3,4,4,4,6,4,4,5,6,5,5,4,4,4,2,,5,4,4,4,2,3,,BRAZIL,14,6,1,3,1
690,757,F,87,2,2,2,32,1669,39,3,4,12:00,14:36,156,5,3,,1,2,1,2,1,2,1,6,2,2,4,4,4,6,6,4,6,5,6,6,4,4,6,5,6,5,5,4,2,,11,4,4,3,2,4,,BRAZIL,14,5,1,3,1
739,594,D,57,1,1,6,9,12,60,2,4,7:00,9:05,125,1,4,,1,2,1,2,2,3,1,4,3,3,4,4,4,6,6,4,6,6,6,6,5,4,6,6,6,4,4,5,1,4,5,5,5,4,2,3,,BRAZIL,14,3,2,0,1
2311,894,C,40,2,1,5,15,1940,60,2,4,9:00,11:15,135,5,8,,1,1,2,2,2,1,1,6,4,6,5,5,5,6,6,6,6,5,6,6,4,5,4,5,6,4,5,4,2,,5,5,5,3,2,3,01/01/13098347 12:00:00 AM,BRAZIL,14,5,2,4,1
2317,900,C,40,2,1,5,15,1940,60,2,4,8:30,11:15,165,4,2,,1,2,1,2,2,1,1,5,5,6,5,5,5,6,6,5,5,6,6,6,5,5,6,6,6,6,6,5,2,,5,5,5,5,2,3,,BRAZIL,14,3,2,0,1
2461,2880,D,55,2,2,11,9,332,24,3,4,12:00,13:35,95,1,4,,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,5,2,,12,5,5,5,2,3,,BRAZIL,14,4,2,4,1
2689,3465,D,57,2,1,2,9,2090,24,3,4,9:40,11:45,125,1,4,,1,0,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,5,5,5,2,,5,5,5,4,2,3,,BRAZIL,14,3,2,2,1
2711,3382,B,26,1,2,2,34,250,71,1,4,5:00,6:05,65,2,13,,2,2,2,2,2,1,2,3,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,2,,5,5,5,5,1,3,,BRAZIL,14,3,2,1,1
2754,3250,F,83,2,1,19,32,727,99,2,2,11:15,12:47,92,5,6,,1,2,2,2,2,1,1,3,3,3,4,4,5,3,6,6,6,6,6,6,4,5,6,6,6,6,5,4,2,,5,3,5,3,2,3,,BRAZIL,14,4,1,4,1
2901,1139,A,4,2,3,5,24,2609,47,5,2,9:15,12:45,210,2,3,,1,1,1,2,1,1,2,4,3,3,3,3,2,3,3,4,4,4,4,6,3,4,6,6,6,3,4,4,2,,11,3,1,3,1,4,,BRAZIL,14,4,1,4,1
2905,1143,A,4,2,3,5,24,2609,47,5,2,9:40,12:45,185,3,2,,2,2,2,2,2,2,1,4,4,4,4,4,4,4,6,6,6,6,6,6,3,5,6,6,6,6,4,5,2,,6,5,5,5,2,3,,BRAZIL,14,3,2,0,1
3164,3274,F,72,2,2,19,32,292,65,2,3,0:00,14:21,861,2,5,,1,2,2,2,2,1,2,4,4,4,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,5,3,2,,5,5,5,5,2,3,12/26/15085 12:00:00 AM,BRAZIL,14,5,1,2,1
3166,3276,F,72,2,2,19,32,292,65,2,3,0:00,14:21,861,2,5,,1,2,2,2,2,1,2,4,4,4,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,4,3,2,,5,5,5,5,2,3,,BRAZIL,14,4,1,2,1
401,702,G,93,3,3,8,5,7,5,9,2,15:07,21:45,398,2,3,,1,1,2,2,2,1,2,5,3,5,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,5,4,5,2,,11,5,4,5,2,4,,CANADA,13,3,2,2,1
409,710,G,93,3,3,8,5,7,5,9,2,19:00,21:45,165,1,3,,2,2,2,0,0,1,1,6,6,6,5,5,5,6,6,6,6,6,6,6,4,4,6,6,6,6,2,4,2,,11,6,5,6,2,4,,CANADA,13,4,1,3,1
525,932,C,45,1,2,5,15,854,26,3,3,4:00,7:00,180,2,7,,1,2,1,2,2,1,2,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,,12,4,4,4,2,3,,CANADA,13,6,2,1,1
616,464,G,98,3,3,1,33,926,32,6,4,17:30,18:57,87,2,3,,2,1,2,2,2,2,1,4,6,6,5,4,5,6,5,6,6,6,6,6,4,5,6,6,6,6,5,5,2,,11,6,4,6,2,4,,CANADA,13,6,2,0,1
653,1121,F,71,3,2,5,32,5440,22,1,1,16:40,18:49,129,2,3,,2,2,1,2,2,1,1,4,3,6,4,4,4,6,6,6,6,6,6,6,0,4,0,0,0,0,0,5,2,,11,0,5,6,2,4,,CANADA,13,5,2,0,1
740,595,D,57,1,1,6,9,12,60,2,4,7:00,9:05,125,2,7,,1,2,2,2,2,1,1,6,6,6,4,6,3,6,6,4,6,4,6,3,4,4,6,5,3,6,4,5,1,3,5,5,5,4,2,3,,CANADA,13,4,1,0,1
871,1569,D,56,1,1,7,9,1612,18,3,4,5:30,9:20,230,3,2,,1,1,2,1,2,1,1,4,6,5,3,5,4,6,6,6,6,6,6,6,4,5,6,6,6,6,5,5,2,,24,5,4,4,2,3,,CANADA,13,6,2,1,1
1026,1656,F,69,3,3,7,33,6366,29,4,1,18:15,20:00,105,2,3,,2,1,2,2,2,1,2,4,6,5,5,5,5,6,6,6,6,6,6,6,4,4,6,6,6,6,4,5,2,,11,6,5,6,2,4,,CANADA,13,4,2,2,1
1027,1657,F,69,3,3,7,33,6366,29,4,1,18:30,20:00,90,2,3,,2,2,2,2,2,1,1,6,6,6,4,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,4,5,2,,11,4,4,6,2,4,,CANADA,13,3,2,0,1
1028,1658,F,69,3,3,7,33,6366,29,4,1,9:00,20:00,660,2,3,,1,2,2,2,2,1,1,6,6,6,5,5,5,5,2,6,6,6,6,6,4,5,6,6,6,6,4,5,1,5,11,5,4,5,2,4,,CANADA,13,2,1,1,1
1030,1660,F,69,3,3,7,33,6366,29,4,1,17:00,20:00,180,3,3,,2,1,1,1,1,1,1,6,3,3,4,5,5,6,6,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,11,4,5,5,2,4,,CANADA,13,5,1,0,1
1031,1661,F,69,3,3,7,33,6366,29,4,1,18:00,20:00,120,3,9,,1,1,1,1,2,3,1,5,6,4,4,4,4,6,6,4,6,5,6,3,4,3,6,4,3,4,3,4,2,,5,3,5,5,2,3,,CANADA,13,5,2,0,1
1033,1663,F,69,3,3,7,33,6366,29,4,1,N,20:00,N,2,2,,1,1,1,2,2,1,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,1,4,5,0,5,5,2,3,T8N GNS,CANADA,13,3,1,3,1
1034,1664,F,69,3,3,7,33,6366,29,4,1,18:10,20:00,110,3,2,,1,2,1,1,2,1,2,3,2,3,4,4,4,3,2,4,6,6,6,6,3,5,6,6,6,4,4,4,1,3,17,4,3,3,1,3,,CANADA,13,5,2,0,1
1036,1666,F,69,3,3,7,33,6366,29,4,1,18:15,20:00,105,2,3,,2,1,1,2,2,1,2,3,4,4,4,5,4,4,4,6,6,6,6,6,4,5,5,6,6,5,5,4,2,,11,6,5,6,2,4,,CANADA,13,3,2,4,1
1037,1667,F,69,3,3,7,33,6366,29,4,1,N,20:00,N,1,9,,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,,12,3,3,3,2,3,,CANADA,13,5,2,0,1
1038,1668,F,69,3,3,7,33,6366,29,4,1,16:49,20:00,191,5,3,,2,0,0,1,1,1,2,3,3,0,4,4,4,0,4,6,6,6,6,6,4,4,6,6,0,3,3,4,2,,11,0,5,0,2,4,,CANADA,13,7,2,0,1
1039,1669,F,69,3,3,7,33,6366,29,4,1,18:00,20:00,120,8,3,,0,0,1,2,2,1,2,5,4,4,4,4,4,6,6,6,6,6,6,6,4,5,6,6,6,5,6,5,2,,11,6,4,6,2,4,,CANADA,13,3,2,2,1
1040,1670,F,69,3,3,7,33,6366,29,4,1,18:45,20:00,75,1,3,,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,4,5,5,6,6,5,4,4,3,,11,0,5,5,2,4,,CANADA,13,2,1,2,1
1041,1671,F,69,3,3,7,33,6366,29,4,1,18:10,20:00,110,8,4,,2,1,1,2,2,3,2,4,4,3,3,3,4,3,3,4,4,5,4,3,4,4,4,5,5,5,4,5,2,,1,3,3,0,1,3,T8C1H6,CANADA,13,6,0,3,1
1042,1672,F,69,3,3,7,33,6366,29,4,1,17:00,20:00,180,2,3,,0,0,1,1,2,1,2,3,3,3,5,5,4,6,6,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,11,6,5,6,1,4,,CANADA,13,3,1,2,1
1043,1673,F,69,3,3,7,33,6366,29,4,1,18:30,20:00,90,2,3,,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,4,4,5,2,,11,0,0,0,0,4,,CANADA,13,5,2,4,1
1044,1674,F,69,3,3,7,33,6366,29,4,1,10:55,20:00,545,6,3,,1,0,1,1,1,1,2,4,3,2,3,3,4,0,3,5,6,6,6,6,3,4,6,6,6,4,3,3,2,,11,6,4,4,2,4,,CANADA,13,6,2,4,1
1045,1675,F,69,3,3,7,33,6366,29,4,1,17:30,20:00,150,1,7,,1,2,1,2,2,3,2,3,4,4,4,4,4,4,6,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,5,5,5,5,2,3,,CANADA,13,5,2,4,1
1046,1676,F,69,3,3,7,33,6366,29,4,1,16:00,20:00,240,2,2,,2,1,1,1,1,1,2,4,3,2,1,3,2,2,2,3,2,5,1,1,2,3,2,2,2,3,4,3,2,,13,3,3,2,3,3,,CANADA,13,6,2,4,1
1047,1677,F,69,3,3,7,33,6366,29,4,1,17:00,20:00,180,2,7,,1,2,1,2,1,1,2,4,3,4,4,4,5,4,4,4,4,6,6,6,4,5,6,6,6,3,4,5,2,,5,4,4,4,2,3,,CANADA,13,6,2,0,1
1049,1679,F,69,3,3,7,33,6366,29,4,1,11:00,20:00,540,8,9,,1,2,2,2,2,2,2,4,6,4,3,3,4,0,0,4,6,0,6,4,4,4,6,4,4,6,4,4,2,,5,3,3,3,2,3,,CANADA,13,4,2,4,1
1050,1680,F,69,3,3,7,33,6366,29,4,1,17:45,20:00,135,3,2,,1,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,,12,0,4,0,2,3,,CANADA,13,6,1,4,1
1100,1883,A,2,2,3,9,37,1563,14,4,2,0:00,14:00,840,1,4,,2,1,1,2,2,4,1,4,3,4,4,4,2,6,6,5,6,4,6,6,4,4,6,4,6,4,3,5,1,5,5,5,5,4,2,3,,CANADA,13,3,1,0,1
1102,1885,A,2,2,3,9,37,1563,14,4,2,11:50,14:00,130,2,12,,1,1,1,1,2,1,2,4,3,4,4,5,5,3,4,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,5,5,3,4,2,3,,CANADA,13,2,2,3,1
1104,1887,A,2,2,3,9,37,1563,14,4,2,13:15,14:00,45,2,2,,1,1,2,2,2,3,2,6,4,4,5,5,4,6,6,3,4,4,6,6,4,5,6,6,6,6,5,5,2,,7,5,5,3,2,3,,CANADA,13,4,1,0,1
1105,1888,A,2,2,3,9,37,1563,14,4,2,11:30,14:00,150,2,4,,1,2,1,2,2,1,2,3,4,6,4,5,5,6,6,6,6,6,6,6,4,4,6,6,6,5,3,4,2,,4,5,4,3,2,3,,CANADA,13,3,2,0,1
1108,1891,A,2,2,3,9,37,1563,14,4,2,11:00,14:00,180,5,6,,1,2,1,2,2,1,2,0,0,0,3,4,3,3,3,4,6,4,4,4,0,5,6,5,5,5,5,5,2,,5,5,4,4,2,3,,CANADA,13,6,2,1,1
1109,1892,A,2,2,3,9,37,1563,14,4,2,12:10,14:00,110,8,9,,1,2,1,2,2,1,2,3,3,3,4,4,4,3,3,4,4,4,6,4,4,5,6,5,5,5,5,5,2,,4,3,4,5,2,3,,CANADA,13,5,1,4,1
1110,1893,A,2,2,3,9,37,1563,14,4,2,12:00,14:00,120,3,9,,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2,,14,5,5,5,2,3,,CANADA,13,3,0,2,1
