Year,Month,Airline Code,Airline,Number of Power Run-ups,Number of Power Run-ups per 1000 Departures,Percentage of Power Run-ups for the Period
2005,10,DAL,DELTA AIR LINES,1,1.6,3%
2005,10,ASA,ALASKA AIRLINES,2,3.6,6%
2005,10,AAL,AMERICAN AIRLINES,10,9.6,28%
2005,10,UAL,UNITED AIR LINES,22,5.1,61%
2005,11,DHL,DHL,1,24.4,2%
2005,11,AAL,AMERICAN AIRLINES,20,19.4,49%
2005,11,UAL,UNITED AIR LINES,20,4.8,49%
2005,12,ASA,ALASKA AIRLINES,1,1.7,2%
2005,12,AAL,AMERICAN AIRLINES,20,19.5,45%
2005,12,UAL,UNITED AIR LINES,23,5.3,52%
2006,1,DAL,DELTA AIR LINES,1,2.2,3%
2006,1,AAL,AMERICAN AIRLINES,11,11.1,32%
2006,1,UAL,UNITED AIR LINES,22,5.2,65%
2006,2,AAL,AMERICAN AIRLINES,8,9.2,31%
2006,2,UAL,UNITED AIR LINES,18,4.7,69%
2006,3,ASA,ALASKA AIRLINES,1,1.6,3%
2006,3,UAL,UNITED AIR LINES,17,4,45%
2006,3,AAL,AMERICAN AIRLINES,20,20.4,53%
2006,4,ASA,ALASKA AIRLINES,1,1.7,3%
2006,4,COA,CONTINENTAL AIR LINES,1,2.8,3%
2006,4,AAL,AMERICAN AIRLINES,9,8.4,26%
2006,4,UAL,UNITED AIR LINES,24,5.6,69%
2006,5,AAL,AMERICAN AIRLINES,15,13.3,44%
2006,5,UAL,UNITED AIR LINES,19,4.4,56%
2006,6,ASA,ALASKA AIRLINES,1,1,4%
2006,6,AAL,AMERICAN AIRLINES,11,20.5,42%
2006,6,UAL,UNITED AIR LINES,14,3.3,54%
2006,7,USA,US AIRWAYS,1,3.5,3%
2006,7,AAL,AMERICAN AIRLINES,11,10.1,29%
2006,7,UAL,UNITED AIR LINES,26,5.9,68%
2006,8,COA,CONTINENTAL AIR LINES,1,2.1,2%
2006,8,DAL,DELTA AIR LINES,1,2,2%
2006,8,AAL,AMERICAN AIRLINES,14,12.4,29%
2006,8,UAL,UNITED AIR LINES,32,6.8,67%
2006,9,AAL,AMERICAN AIRLINES,9,8.8,26%
2006,9,UAL,UNITED AIR LINES,25,5.9,74%
2006,10,COA,CONTINENTAL AIR LINES,1,2.6,3%
2006,10,DAL,DELTA AIR LINES,2,5.3,5%
2006,10,AAL,AMERICAN AIRLINES,14,13.2,36%
2006,10,UAL,UNITED AIR LINES,22,5,56%
2006,11,AAL,AMERICAN AIRLINES,9,8.8,26%
2006,11,UAL,UNITED AIR LINES,26,6,74%
2006,12,COA,CONTINENTAL AIR LINES,1,2.5,3%
2006,12,EJA,NETJETS AVIATION,1,4.4,3%
2006,12,AAL,AMERICAN AIRLINES,11,10.5,32%
2006,12,UAL,UNITED AIR LINES,21,4.8,62%
2007,1,ABX,AIRBORNE EXPRESS,1,13.7,4%
2007,1,AAL,AMERICAN AIRLINES,7,6.7,26%
2007,1,UAL,UNITED AIR LINES,19,4.5,70%
2007,2,DAL,DELTA AIR LINES,2,6.5,6%
2007,2,UAL,UNITED AIR LINES,15,3.9,44%
2007,2,AAL,AMERICAN AIRLINES,17,18.8,50%
2007,3,COA,CONTINENTAL AIR LINES,1,2.7,3%
2007,3,DAL,DELTA AIR LINES,1,2.9,3%
2007,3,VIR,VIRGIN ATLANTIC,1,32.3,3%
2007,3,AAL,AMERICAN AIRLINES,9,8.6,24%
2007,3,UAL,UNITED AIR LINES,26,5.9,68%
2007,4,COA,CONTINENTAL AIR LINES,1,2.7,2%
2007,4,DAL,DELTA AIR LINES,1,2.8,2%
2007,4,USA,US AIRWAYS,1,5,2%
2007,4,AAL,AMERICAN AIRLINES,10,9.8,24%
2007,4,UAL,UNITED AIR LINES,28,6.5,68%
2007,5,COA,CONTINENTAL AIR LINES,1,2.3,2%
2007,5,DAL,DELTA AIR LINES,1,2.3,2%
2007,5,SIA,SINGAPORE AIRLINES,1,16.1,2%
2007,5,USA,US AIRWAYS,3,14.9,6%
2007,5,AAL,AMERICAN AIRLINES,15,14.1,32%
2007,5,UAL,UNITED AIR LINES,26,5.8,55%
2007,6,MEP,MIDWEST AIRLINES,1,11,2%
2007,6,USA,US AIRWAYS,1,3.9,2%
2007,6,DAL,DELTA AIR LINES,2,4.1,5%
2007,6,AAL,AMERICAN AIRLINES,19,18.9,44%
2007,6,UAL,UNITED AIR LINES,20,4.5,47%
2007,7,COA,CONTINENTAL AIR LINES,1,2,3%
2007,7,HAL,HAWAIIAN AIRLINES,1,32.3,3%
2007,7,SKW,SKYWEST,1,0.3,3%
2007,7,ASA,ALASKA AIRLINES,4,5.2,11%
2007,7,AAL,AMERICAN AIRLINES,11,10.1,29%
2007,7,UAL,UNITED AIR LINES,20,4.4,53%
2007,8,COA,CONTINENTAL AIR LINES,1,2.1,2%
2007,8,DAL,DELTA AIR LINES,1,1.8,2%
2007,8,USA,US AIRWAYS,1,3.7,2%
2007,8,VRD,VIRGIN AMERICA,1,5.5,2%
2007,8,ASA,ALASKA AIRLINES,2,2.7,5%
2007,8,AAL,AMERICAN AIRLINES,15,14,36%
2007,8,UAL,UNITED AIR LINES,21,4.6,50%
2007,9,VRD,VIRGIN AMERICA,1,3.8,3%
2007,9,HAL,HAWAIIAN AIRLINES,2,61.5,5%
2007,9,AAL,AMERICAN AIRLINES,15,14.3,38%
2007,9,UAL,UNITED AIR LINES,21,5,54%
2007,10,HAL,HAWAIIAN AIRLINES,1,29.9,2%
2007,10,SWA,SOUTHWEST AIRLINES ,1,1.9,2%
2007,10,VRD,VIRGIN AMERICA,1,2.7,2%
2007,10,AAL,AMERICAN AIRLINES,17,16,40%
2007,10,UAL,UNITED AIR LINES,22,5.2,52%
2007,11,COA,CONTINENTAL AIR LINES,1,2.9,2%
2007,11,VRD,VIRGIN AMERICA,2,4.9,5%
2007,11,AAL,AMERICAN AIRLINES,17,16.7,40%
2007,11,UAL,UNITED AIR LINES,23,5.6,53%
2007,12,COA,CONTINENTAL AIR LINES,1,2.6,3%
2007,12,HAL,HAWAIIAN AIRLINES,1,29.9,3%
2007,12,SKW,SKYWEST,1,0.3,3%
2007,12,AAL,AMERICAN AIRLINES,12,11.9,36%
2007,12,UAL,UNITED AIR LINES,18,4.2,55%
2008,1,SKW,SKYWEST,1,0.3,2%
2008,1,UAL,UNITED AIR LINES,23,5.7,44%
2008,1,AAL,AMERICAN AIRLINES,28,30.6,54%
2008,2,COA,CONTINENTAL AIR LINES,1,3.1,3%
2008,2,HAL,HAWAIIAN AIRLINES,1,30.8,3%
2008,2,UAL,UNITED AIR LINES,14,3.6,38%
2008,2,AAL,AMERICAN AIRLINES,21,24.7,57%
2008,3,ASA,ALASKA AIRLINES,1,1.6,5%
2008,3,EJA,NETJETS AVIATION,1,3.1,5%
2008,3,USA,US AIRWAYS,1,5.4,5%
2008,3,UAL,UNITED AIR LINES,6,1.4,27%
2008,3,AAL,AMERICAN AIRLINES,13,13.9,59%
2008,4,VRD,VIRGIN AMERICA,1,1.3,3%
2008,4,COA,CONTINENTAL AIR LINES,2,5.6,5%
2008,4,DAL,DELTA AIR LINES,2,5.5,5%
2008,4,UAL,UNITED AIR LINES,17,3.8,44%
2008,4,AAL,AMERICAN AIRLINES,17,17.3,44%
2008,5,USA,US AIRWAYS,1,4.9,2%
2008,5,NWA,NORTHWEST AIRLINES ,2,5.3,4%
2008,5,DAL,DELTA AIR LINES,4,11.1,8%
2008,5,AAL,AMERICAN AIRLINES,18,17.6,35%
2008,5,UAL,UNITED AIR LINES,26,6,51%
2008,6,ASA,ALASKA AIRLINES,1,1.9,3%
2008,6,USA,US AIRWAYS,1,5.1,3%
2008,6,VRD,VIRGIN AMERICA,1,1.3,3%
2008,6,DAL,DELTA AIR LINES,2,4.8,6%
2008,6,AAL,AMERICAN AIRLINES,13,12.9,41%
2008,6,UAL,UNITED AIR LINES,14,3.2,44%
2008,7,COA,CONTINENTAL AIR LINES,1,2.4,2%
2008,7,DAL,DELTA AIR LINES,2,4.8,5%
2008,7,AAL,AMERICAN AIRLINES,19,18.8,45%
2008,7,UAL,UNITED AIR LINES,20,4.6,48%
2008,8,HAL,HAWAIIAN AIRLINES,1,30.3,3%
2008,8,DAL,DELTA AIR LINES,4,9.3,10%
2008,8,AAL,AMERICAN AIRLINES,9,8.9,23%
2008,8,UAL,UNITED AIR LINES,26,5.8,65%
2008,9,ASA,ALASKA AIRLINES,1,2.2,4%
2008,9,DAL,DELTA AIR LINES,2,5.7,8%
2008,9,UAL,UNITED AIR LINES,10,2.6,38%
2008,9,AAL,AMERICAN AIRLINES,13,13.5,50%
2008,10,COA,CONTINENTAL AIR LINES,1,2.7,3%
2008,10,AAL,AMERICAN AIRLINES,15,14.8,38%
2008,10,UAL,UNITED AIR LINES,23,5.8,59%
2008,11,ASA,ALASKA AIRLINES,1,2.2,3%
2008,11,DAL,DELTA AIR LINES,1,2.9,3%
2008,11,AAL,AMERICAN AIRLINES,14,15.4,45%
2008,11,UAL,UNITED AIR LINES,15,4.1,48%
2008,12,NWA,NORTHWEST AIRLINES ,1,3.3,4%
2008,12,SWA,SOUTHWEST AIRLINES ,1,0.9,4%
2008,12,AAL,AMERICAN AIRLINES,7,7.5,28%
2008,12,UAL,UNITED AIR LINES,16,4.2,64%
2009,1,COA,CONTINENTAL AIR LINES,1,2.9,3%
2009,1,CPA,CATHAY PACIFIC AIRWAYS,1,14.9,3%
2009,1,DAL,DELTA AIR LINES,1,2.8,3%
2009,1,QXE,HORIZON AIR,1,11.7,3%
2009,1,AAL,AMERICAN AIRLINES,12,13,34%
2009,1,UAL,UNITED AIR LINES,19,5.3,54%
2009,2,AAL,AMERICAN AIRLINES,14,16.7,38%
2009,2,UAL,UNITED AIR LINES,23,6.8,62%
2009,3,VRD,VIRGIN AMERICA,1,1.1,2%
2009,3,AAL,AMERICAN AIRLINES,16,16.7,39%
2009,3,UAL,UNITED AIR LINES,24,6,59%
2009,4,DAL,DELTA AIR LINES,1,2.9,3%
2009,4,COA,CONTINENTAL AIR LINES,2,5.5,6%
2009,4,AAL,AMERICAN AIRLINES,12,13,36%
2009,4,UAL,UNITED AIR LINES,18,5,55%
2009,5,DLH,LUFTHANSA,1,16.1,3%
2009,5,SKW,SKYWEST,1,0.3,3%
2009,5,VRD,VIRGIN AMERICA,1,1,3%
2009,5,SWA,SOUTHWEST AIRLINES ,2,1.6,5%
2009,5,AAL,AMERICAN AIRLINES,12,12.4,30%
2009,5,UAL,UNITED AIR LINES,23,6.2,58%
2009,6,COA,CONTINENTAL AIR LINES,1,2.3,2%
2009,6,DAL,DELTA AIR LINES,1,2.3,2%
2009,6,VRD,VIRGIN AMERICA,1,1,2%
2009,6,AAL,AMERICAN AIRLINES,15,16.4,36%
2009,6,UAL,UNITED AIR LINES,24,6.2,57%
2009,7,VRD,VIRGIN AMERICA,1,1,3%
2009,7,AAL,AMERICAN AIRLINES,13,13.9,45%
2009,7,UAL,UNITED AIR LINES,15,3.7,52%
2009,8,COA,CONTINENTAL AIR LINES,1,2.1,3%
2009,8,SWA,SOUTHWEST AIRLINES ,1,0.8,3%
2009,8,UAL,UNITED AIR LINES,18,4.5,45%
2009,8,AAL,AMERICAN AIRLINES,20,21,50%
2009,9,AWE,US AIRWAYS,1,1.8,3%
2009,9,DAL,DELTA AIR LINES,1,2.7,3%
2009,9,VRD,VIRGIN AMERICA,1,1.1,3%
2009,9,UAL,UNITED AIR LINES,12,3.3,36%
2009,9,AAL,AMERICAN AIRLINES,18,19.4,55%
2009,10,COA,CONTINENTAL AIR LINES,1,2.5,3%
2009,10,USA,US AIRWAYS,1,1.8,3%
2009,10,UAL,UNITED AIR LINES,11,3,37%
2009,10,AAL,AMERICAN AIRLINES,17,17.6,57%
2009,11,ASA,ALASKA AIRLINES,1,3.1,3%
2009,11,DAL,DELTA AIR LINES,1,2.7,3%
2009,11,UAL,UNITED AIR LINES,13,3.7,43%
2009,11,AAL,AMERICAN AIRLINES,15,16.2,50%
2009,12,AAL,AMERICAN AIRLINES,11,11.5,41%
2009,12,UAL,UNITED AIR LINES,16,4.4,59%
2010,1,AAL,AMERICAN AIRLINES,9,9.6,31%
2010,1,UAL,UNITED AIR LINES,20,5.7,69%
2010,2,COA,CONTINENTAL AIR LINES,1,3.1,3%
2010,2,AAL,AMERICAN AIRLINES,12,14.3,40%
2010,2,UAL,UNITED AIR LINES,17,5.3,57%
2010,3,AWE,US AIRWAYS,1,3,3%
2010,3,DAL,DELTA AIR LINES,1,1.4,3%
2010,3,EJA,NETJETS AVIATION,1,4.5,3%
2010,3,HAL,HAWAIIAN AIRLINES,2,60.6,6%
2010,3,SKW,SKYWEST,2,0.5,6%
2010,3,AAL,AMERICAN AIRLINES,11,11.5,31%
2010,3,UAL,UNITED AIR LINES,17,4.6,49%
2010,4,HAL,HAWAIIAN AIRLINES,1,33.3,3%
2010,4,AWE,US AIRWAYS,1,2.8,3%
2010,4,COA,CONTINENTAL AIR LINES,2,5.5,6%
2010,4,UAL,UNITED AIR LINES,15,4,42%
2010,4,AAL,AMERICAN AIRLINES,17,18.1,47%
2010,5,DAL,DELTA AIR LINES,1,1.3,5%
2010,5,AAL,AMERICAN AIRLINES,7,7.4,33%
2010,5,UAL,UNITED AIR LINES,13,3.4,62%
2010,6,ASA,ALASKA AIRLINES,1,3,3%
2010,6,AWE,US AIRWAYS,1,2.4,3%
2010,6,DAL,DELTA AIR LINES,1,1.1,3%
2010,6,AAL,AMERICAN AIRLINES,13,14.1,37%
2010,6,UAL,UNITED AIR LINES,19,5.1,54%
2010,7,DAL,DELTA AIR LINES,1,1,3%
2010,7,AWE,US AIRWAYS,2,4.5,7%
2010,7,AAL,AMERICAN AIRLINES,13,13.3,45%
2010,7,UAL,UNITED AIR LINES,13,3.3,45%
2010,8,AWE,US AIRWAYS,1,2.2,5%
2010,8,COA,CONTINENTAL AIR LINES,1,2.2,5%
2010,8,AAL,AMERICAN AIRLINES,8,8.1,36%
2010,8,UAL,UNITED AIR LINES,12,3.1,55%
2010,9,DAL,DELTA AIR LINES,1,1.1,3%
2010,9,HAL,HAWAIIAN AIRLINES,1,31.3,3%
2010,9,JBU,JETBLUE,1,3.1,3%
2010,9,SKW,SKYWEST,1,0.3,3%
2010,9,VRD,VIRGIN AMERICA,1,1.2,3%
2010,9,AAL,AMERICAN AIRLINES,10,10.6,30%
2010,9,UAL,UNITED AIR LINES,18,4.9,55%
2010,10,DAL,DELTA AIR LINES,2,2.2,9%
2010,10,AAL,AMERICAN AIRLINES,10,10.3,43%
2010,10,UAL,UNITED AIR LINES,11,2.9,48%
2010,11,JBU,JETBLUE,1,3.3,8%
2010,11,AAL,AMERICAN AIRLINES,4,4.4,24%
2010,11,UAL,UNITED AIR LINES,12,3.4,71%
2010,12,AWE,US AIRWAYS,1,2.2,3%
2010,12,DAL,DELTA AIR LINES,1,1.3,3%
2010,12,TRS,AIRTRAN AIRWAYS,1,9.2,3%
2010,12,SKW,SKYWEST,2,0.5,6%
2010,12,AAL,AMERICAN AIRLINES,6,6.7,18%
2010,12,UAL,UNITED AIR LINES,23,6.3,68%
2011,1,ACA,AIR CANADA,1,4.5,4%
2011,1,ASA,ALASKA AIRLINES,1,2.8,4%
2011,1,DAL,DELTA AIR LINES,1,1.4,4%
2011,1,SKW,SKYWEST,1,0.2,4%
2011,1,AWE,US AIRWAYS,2,4.9,8%
2011,1,AAL,AMERICAN AIRLINES,6,6.7,24%
2011,1,UAL,UNITED AIR LINES,13,3.8,52%
2011,2,DAL,DELTA AIR LINES,1,1.6,5%
2011,2,HAL,HAWAIIAN AIRLINES,1,37,5%
2011,2,SWA,SOUTHWEST AIRLINES ,1,0.9,5%
2011,2,AAL,AMERICAN AIRLINES,3,3.8,16%
2011,2,UAL,UNITED AIR LINES,13,4.2,68%
2011,3,ASA,ALASKA AIRLINES,2,5.4,8%
2011,3,VRD,VIRGIN AMERICA,2,1.9,8%
2011,3,DAL,DELTA AIR LINES,3,4.2,12%
2011,3,AAL,AMERICAN AIRLINES,4,4.4,15%
2011,3,UAL,UNITED AIR LINES,15,4.2,58%
2011,4,ABX,AIRBORNE EXPRESS,1,15.6,5%
2011,4,DAL,DELTA AIR LINES,2,2.9,11%
2011,4,AAL,AMERICAN AIRLINES,3,3.3,16%
2011,4,UAL,UNITED AIR LINES,13,3.8,68%
2011,5,HAL,HAWAIIAN AIRLINES,1,32.3,4%
2011,5,AAL,AMERICAN AIRLINES,3,3.2,11%
2011,5,DAL,DELTA AIR LINES,6,8.5,21%
2011,5,UAL,UNITED AIR LINES,18,4.9,64%
2011,6,ASA,ALASKA AIRLINES,1,2.6,3%
2011,6,AWE,US AIRWAYS,1,1.9,3%
2011,6,COA,CONTINENTAL AIR LINES,1,1.9,3%
2011,6,DAL,DELTA AIR LINES,2,2.5,5%
2011,6,HAL,HAWAIIAN AIRLINES,3,100,8%
2011,6,AAL,AMERICAN AIRLINES,8,8.8,21%
2011,6,UAL,UNITED AIR LINES,22,5.7,58%
2011,7,DAL,DELTA AIR LINES,1,1.2,4%
2011,7,VRD,VIRGIN AMERICA,1,0.8,4%
2011,7,AAL,AMERICAN AIRLINES,9,9.7,35%
2011,7,UAL,UNITED AIR LINES,15,3.8,58%
2011,8,HAL,HAWAIIAN AIRLINES,1,30.3,3%
2011,8,DAL,DELTA AIR LINES,2,2.4,6%
2011,8,JBU,JETBLUE,2,6.7,6%
2011,8,AAL,AMERICAN AIRLINES,7,7.6,22%
2011,8,UAL,UNITED AIR LINES,20,5.1,63%
2011,9,HAL,HAWAIIAN AIRLINES,1,32.3,3%
2011,9,DAL,DELTA AIR LINES,6,7.3,20%
2011,9,AAL,AMERICAN AIRLINES,8,8.7,27%
2011,9,UAL,UNITED AIR LINES,15,4,50%
2011,10,HAL,HAWAIIAN AIRLINES,2,66.7,7%
2011,10,AAL,AMERICAN AIRLINES,6,6.5,21%
2011,10,DAL,DELTA AIR LINES,7,8.8,25%
2011,10,UAL,UNITED AIR LINES,13,3.3,46%
2011,11,COA,CONTINENTAL AIR LINES,1,1.9,5%
2011,11,HAL,HAWAIIAN AIRLINES,1,31.3,5%
2011,11,AAL,AMERICAN AIRLINES,3,3.5,14%
2011,11,DAL,DELTA AIR LINES,4,5.6,19%
2011,11,UAL,UNITED AIR LINES,12,3.3,57%
2011,12,DAL,DELTA AIR LINES,2,2.9,7%
2011,12,AAL,AMERICAN AIRLINES,4,4.8,14%
2011,12,UAL,UNITED AIR LINES,22,5.1,79%
2012,1,SKW,SKYWEST,1,0.2,3%
2012,1,SWA,SOUTHWEST AIRLINES ,1,0.8,3%
2012,1,DAL,DELTA AIR LINES,3,4.6,8%
2012,1,AAL,AMERICAN AIRLINES,15,17.8,39%
2012,1,UAL,UNITED AIR LINES,18,4.1,47%
2012,2,DAL,DELTA AIR LINES,2,3.4,6%
2012,2,AAL,AMERICAN AIRLINES,12,15.2,34%
2012,2,UAL,UNITED AIR LINES,21,5.1,60%
2012,3,AAL,AMERICAN AIRLINES,15,17.6,44%
2012,3,UAL,UNITED AIR LINES,19,4.4,56%
2012,4,CPA,CATHAY PACIFIC AIRWAYS,1,15.6,3%
2012,4,VRD,VIRGIN AMERICA,1,0.7,3%
2012,4,DAL,DELTA AIR LINES,2,2.9,7%
2012,4,UAL,UNITED AIR LINES,11,2.5,37%
2012,4,AAL,AMERICAN AIRLINES,15,16.2,50%
2012,5,DAL,DELTA AIR LINES,2,2.7,9%
2012,5,UAL,UNITED AIR LINES,8,1.7,36%
2012,5,AAL,AMERICAN AIRLINES,12,12.2,55%
2012,6,JBU,JETBLUE,1,2.9,2%
2012,6,DAL,DELTA AIR LINES,2,2.2,4%
2012,6,UAL,UNITED AIR LINES,20,4,43%
2012,6,AAL,AMERICAN AIRLINES,23,25.1,50%
2012,7,DAL,DELTA AIR LINES,1,1,3%
2012,7,EJA,NETJETS AVIATION,1,6.3,3%
2012,7,VRD,VIRGIN AMERICA,1,0.6,3%
2012,7,AAL,AMERICAN AIRLINES,14,14.4,38%
2012,7,UAL,UNITED AIR LINES,20,3.9,54%
2012,8,DAL,DELTA AIR LINES,1,1.1,4%
2012,8,VRD,VIRGIN AMERICA,2,1.2,7%
2012,8,UAL,UNITED AIR LINES,11,2.1,41%
2012,8,AAL,AMERICAN AIRLINES,13,13.6,48%
2012,9,DAL,DELTA AIR LINES,2,2.5,9%
2012,9,AAL,AMERICAN AIRLINES,8,9.5,36%
2012,9,UAL,UNITED AIR LINES,12,2.5,55%
2012,10,AWE,US AIRWAYS,1,2.2,3%
2012,10,DAL,DELTA AIR LINES,1,1.2,3%
2012,10,UAL,UNITED AIR LINES,13,2.7,42%
2012,10,AAL,AMERICAN AIRLINES,16,17.9,52%
2012,11,DAL,DELTA AIR LINES,2,2.8,13%
2012,11,AAL,AMERICAN AIRLINES,4,4.7,27%
2012,11,UAL,UNITED AIR LINES,9,2.1,60%
2012,12,SKW,SKYWEST,1,0.2,3%
2012,12,SWA,SOUTHWEST AIRLINES ,1,0.8,3%
2012,12,AAL,AMERICAN AIRLINES,14,15.9,42%
2012,12,UAL,UNITED AIR LINES,17,3.9,52%
2013,1,AAL,AMERICAN AIRLINES,10,11.6,38%
2013,1,UAL,UNITED AIR LINES,16,3.8,62%
2013,2,VRD,VIRGIN AMERICA,1,0.8,3%
2013,2,AAL,AMERICAN AIRLINES,14,17.7,47%
2013,2,UAL,UNITED AIR LINES,15,3.9,50%
2013,3,AWE,US AIRWAYS,1,2.3,4%
2013,3,DAL,DELTA AIR LINES,2,3,7%
2013,3,UAL,UNITED AIR LINES,11,2.5,41%
2013,3,AAL,AMERICAN AIRLINES,13,14.4,48%
2013,4,AWE,US AIRWAYS,1,2.4,4%
2013,4,EJA,NETJETS AVIATION,1,6.3,4%
2013,4,AAL,AMERICAN AIRLINES,9,10.2,35%
2013,4,UAL,UNITED AIR LINES,15,3.3,58%
2013,5,HAL,HAWAIIAN AIRLINES,1,32.3,3%
2013,5,DAL,DELTA AIR LINES,2,2.8,6%
2013,5,AAL,AMERICAN AIRLINES,14,15.5,41%
2013,5,UAL,UNITED AIR LINES,17,3.5,50%
2013,6,DAL,DELTA AIR LINES,4,4.8,13%
2013,6,AAL,AMERICAN AIRLINES,11,12.3,37%
2013,6,UAL,UNITED AIR LINES,15,2.9,50%
2013,7,DAL,DELTA AIR LINES,2,2.2,9%
2013,7,AAL,AMERICAN AIRLINES,6,6.8,26%
2013,7,UAL,UNITED AIR LINES,15,2.8,65%
2013,8,AAL,AMERICAN AIRLINES,11,11.7,35%
2013,8,UAL,UNITED AIR LINES,20,3.6,65%
2013,9,SWA,SOUTHWEST AIRLINES ,1,0.8,5%
2013,9,VRD,VIRGIN AMERICA,1,0.7,5%
2013,9,DAL,DELTA AIR LINES,2,2.6,10%
2013,9,AAL,AMERICAN AIRLINES,5,5.5,24%
2013,9,UAL,UNITED AIR LINES,12,2.4,57%
2013,10,JBU,JETBLUE,1,2.7,3%
2013,10,EJA,NETJETS AVIATION,1,5.2,3%
2013,10,SKW,SKYWEST,3,0.7,10%
2013,10,AAL,AMERICAN AIRLINES,6,6.4,21%
2013,10,UAL,UNITED AIR LINES,18,3.6,62%
2013,11,VRD,VIRGIN AMERICA,1,0.7,5%
2013,11,AAL,AMERICAN AIRLINES,5,5.7,26%
2013,11,UAL,UNITED AIR LINES,13,2.8,68%
2013,12,EJA,NETJETS AVIATION,1,5.3,9%
2013,12,AAL,AMERICAN AIRLINES,4,4.6,36%
2013,12,UAL,UNITED AIR LINES,6,1.3,55%
2014,1,VRD,VIRGIN AMERICA,1,0.7,7%
2014,1,AAL,AMERICAN AIRLINES,4,4.6,29%
2014,1,UAL,UNITED AIR LINES,9,2,64%
2014,2,UAL,UNITED AIR LINES,9,2.2,43%
2014,2,AAL,AMERICAN AIRLINES,12,15.9,57%
2014,3,AAL,AMERICAN AIRLINES,12,13.6,50%
2014,3,UAL,UNITED AIR LINES,12,2.5,50%
2014,4,CPZ,COMPASS AIRLINES,1,1.4,7%
2014,4,AAL,AMERICAN AIRLINES,6,6.9,43%
2014,4,UAL,UNITED AIR LINES,7,1.4,50%
2014,5,SWA,SOUTHWEST AIRLINES ,1,0.8,4%
2014,5,AAL,AMERICAN AIRLINES,8,9.1,35%
2014,5,UAL,UNITED AIR LINES,14,2.7,61%
2014,6,VRD,VIRGIN AMERICA,1,0.6,5%
2014,6,UAL,UNITED AIR LINES,9,1.7,43%
2014,6,AAL,AMERICAN AIRLINES,11,11.9,52%
2014,7,AAL,AMERICAN AIRLINES,15,15.5,63%
2014,7,UAL,UNITED AIR LINES,9,1.6,38%
2014,8,VRD,VIRGIN AMERICA,1,0.7,3%
2014,8,DAL,DELTA AIR LINES,3,3.3,9%
2014,8,UAL,UNITED AIR LINES,13,2.4,39%
2014,8,AAL,AMERICAN AIRLINES,16,16.5,48%
2014,9,DAL,DELTA AIR LINES,1,1.3,3%
2014,9,VRD,VIRGIN AMERICA,1,0.7,3%
2014,9,UAL,UNITED AIR LINES,5,1,16%
2014,9,AAL,AMERICAN AIRLINES,25,26.6,78%
2014,10,AAL,AMERICAN AIRLINES,18,18.5,69%
2014,10,UAL,UNITED AIR LINES,8,1.5,31%
2014,11,AAL,AMERICAN AIRLINES,7,7.8,47%
2014,11,UAL,UNITED AIR LINES,6,1.3,40%
2014,11,EJA,NETJETS AVIATION,2,11.1,13%
2014,12,SKW,SKYWEST,1,0.3,6%
2014,12,UAL,UNITED AIR LINES,3,0.6,19%
2014,12,AAL,AMERICAN AIRLINES,12,13.2,75%
2015,1,AAL,AMERICAN AIRLINES,16,18.5,76%
