Spot ID,Spot Name,Start Date,End Date,Type,Configuration,Category,Status,Creation Date,Modification Date
484,41-03A,01/01/1980,,Hardstand,Dependent,E,Active,01/27/2009,
403,41-04,01/01/1980,,Hardstand,Multi-Large,I,Active,01/20/2009,
485,41-04A,01/01/1980,,Hardstand,Dependent,E,Active,01/27/2009,
486,41-04B,01/01/1980,,Hardstand,Dependent,E,Active,01/27/2009,
404,41-05,01/01/1980,,Hardstand,Multi-Large,I,Active,01/20/2009,
487,41-05A,01/01/1980,,Hardstand,Dependent,E,Active,01/27/2009,
405,41-06,01/01/1980,,Hardstand,Independent,M,Active,01/20/2009,
406,41-07,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,
407,41-08,01/01/1980,,Hardstand,Independent,M,Active,01/20/2009,
408,41-09,01/01/1980,,Hardstand,Multi-Large,M,Active,01/20/2009,
409,41-09A,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
410,41-09B,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
411,41-09C,01/01/1980,,Hardstand,Dependent,E,Active,01/20/2009,
412,41-10,01/01/1980,,Hardstand,Multi-Large,M,Active,01/20/2009,
413,41-10A,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
414,41-10B,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
415,41-10C,01/01/1980,,Hardstand,Dependent,E,Active,01/20/2009,
416,41-11,01/01/1980,,Hardstand,Independent,E,Active,01/20/2009,
417,41-12,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,
418,41-13,01/01/1980,,Hardstand,Independent,E,Active,01/20/2009,
420,41-15,01/01/1980,,Hardstand,Independent,M,Active,01/20/2009,
421,41-16,01/01/1980,,Hardstand,Independent,M,Active,01/20/2009,
423,41-18,01/01/1980,,Hardstand,Independent,E,Active,01/20/2009,02/10/2010
424,41-19,01/01/1980,,Hardstand,Multi-Large,F,Active,01/20/2009,
488,41-19A,01/01/1980,,Hardstand,Dependent,B,Active,01/27/2009,
489,41-19B,01/01/1980,,Hardstand,Dependent,B,Active,01/27/2009,
425,41-20,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,
426,41-21,01/01/1980,,Hardstand,Multi-Large,M,Active,01/20/2009,
427,41-21A,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
428,41-21B,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,
429,41-22,01/01/1980,,Hardstand,Independent,L,Active,01/20/2009,
430,41-23,01/01/1980,,Hardstand,Independent,M,Active,01/20/2009,
1035,41-24A,09/01/2015,10/31/2020,Hardstand,Independent,B,Active,10/09/2015,
1036,41-24B,09/01/2015,10/31/2020,Hardstand,Independent,B,Active,10/09/2015,
437,50-01,01/01/1980,,Hardstand,Independent,L,Active,01/20/2009,02/26/2009
438,50-02,01/01/1980,,Hardstand,Multi-Large,L,Active,01/20/2009,02/26/2009
758,50-02A,01/01/1980,,Hardstand,Dependent,A,Active,06/13/2013,
759,50-02B,01/01/1980,,Hardstand,Dependent,A,Active,06/13/2013,
760,50-02C,01/01/1980,,Hardstand,Dependent,A,Active,06/13/2013,
436,50-03,01/01/1980,,Hardstand,Independent,U,Active,01/20/2009,02/11/2010
435,50-04,01/01/1980,,Hardstand,Independent,I,Active,01/20/2009,02/26/2009
434,50-05,01/01/1980,,Hardstand,Independent,I,Active,01/20/2009,02/26/2009
433,50-06,01/01/1980,,Hardstand,Independent,L,Active,01/20/2009,02/11/2010
432,50-07,01/01/1980,,Hardstand,Independent,U,Active,01/20/2009,02/26/2009
431,50-08,01/01/1980,,Hardstand,Independent,U,Active,01/20/2009,02/11/2010
495,A-001,01/01/1980,,Gate,Multi-Large,U,Active,01/29/2009,
540,A-001A,01/01/1980,,Hardstand,Dependent,U,Active,03/03/2009,
541,A-001B,01/01/1980,,Hardstand,Dependent,U,Active,03/03/2009,
496,A-002,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
497,A-003,01/01/1980,,Gate,Multi-Large,U,Active,01/29/2009,
542,A-003A,01/01/1980,,Hardstand,Dependent,U,Active,03/03/2009,
543,A-003B,01/01/1980,,Hardstand,Dependent,U,Active,03/03/2009,
498,A-004,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
499,A-005,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
500,A-006,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
501,A-007,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
502,A-008,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
503,A-009,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
504,A-010,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
505,A-011,01/01/1980,,Hardstand,Multi-Large,U,Active,01/29/2009,
506,A-011A,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
507,A-011B,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
474,A-012,01/01/1980,,Gate,Independent,U,Active,01/26/2009,01/27/2009
473,A-018,01/01/1980,,Hardstand,Independent,L,Active,01/26/2009,01/27/2009
472,A-019,01/01/1980,,Hardstand,Independent,M,Active,01/26/2009,12/15/2015
897,B-020,08/20/2014,,Hardstand,Independent,C,Active,08/15/2014,
635,B-021,07/01/2011,,Gate,Independent,F,Active,06/29/2011,01/11/2016
898,B-022,08/20/2014,12/31/2016,Hardstand,Independent,C,Active,08/15/2014,
855,B-024,09/21/2014,,Hardstand,Independent,D,Active,07/07/2014,10/03/2014
1015,B-025,09/04/2015,,Hardstand,Independent,C,Active,09/04/2015,
675,B-027,08/01/2011,,Hardstand,Independent,G,Active,08/11/2011,01/01/2016
636,B-032,07/01/2011,,Gate,Independent,C,Active,06/29/2011,07/03/2011
615,B-033,01/01/1980,,Hardstand,Independent,E,Active,05/18/2011,
595,B-034,01/01/1980,,Hardstand,Independent,C,Active,05/13/2011,07/18/2014
596,B-035,01/01/1980,,Hardstand,Independent,C,Active,05/13/2011,07/18/2014
597,B-036,01/01/1980,,Gate,Independent,C,Active,05/13/2011,06/08/2012
575,C-041,01/01/1980,,Gate,Independent,E,Active,05/10/2011,06/08/2012
456,C-043,01/01/1980,,Gate,Independent,E,Active,01/21/2009,11/10/2014
895,C-045B,06/01/2014,,Gate,Independent,C,Active,08/13/2014,03/15/2015
896,C-047,06/01/2014,,Gate,Independent,E,Active,08/14/2014,03/15/2015
655,D-059,07/01/2011,,Gate,Independent,C,Active,07/03/2011,07/22/2015
775,E-060,01/01/1980,,Gate,Independent,D,Active,11/06/2013,01/01/2016
776,E-061,01/01/1980,,Gate,Independent,D,Active,11/06/2013,01/01/2016
778,E-062,01/01/1980,,Gate,Independent,F,Active,11/06/2013,01/01/2016
777,E-062A,01/01/1980,,Gate,Independent,B,Active,11/06/2013,01/01/2016
779,E-063,01/01/1980,,Gate,Independent,F,Active,11/06/2013,01/01/2016
781,E-064,01/01/1980,,Gate,Independent,E,Active,11/06/2013,01/01/2016
780,E-064A,01/01/1980,,Gate,Independent,J,Active,11/06/2013,01/01/2016
783,E-065,01/01/1980,,Gate,Independent,C,Active,11/06/2013,01/01/2016
782,E-065A,01/01/1980,,Gate,Independent,B,Active,11/06/2013,01/01/2016
784,E-066,01/01/1980,,Gate,Independent,J,Active,11/06/2013,01/01/2016
786,E-067,01/01/1980,,Gate,Independent,C,Active,11/06/2013,01/01/2016
785,E-067A,01/01/1980,,Gate,Independent,J,Active,11/06/2013,01/01/2016
787,E-068,01/01/1980,,Gate,Independent,C,Active,11/06/2013,01/01/2016
788,E-069,01/01/1980,,Gate,Independent,C,Active,11/06/2013,01/01/2016
508,G-091,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
509,G-092,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
475,G-093,01/01/1980,,Gate,Independent,U,Active,01/26/2009,01/28/2009
510,G-094,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
511,G-095,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
512,G-096,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
513,G-097,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
514,G-098,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
518,G-099,01/01/1980,,Gate,Multi-Large,U,Active,01/29/2009,01/01/2016
519,G-099A,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
520,G-099B,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
515,G-100,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
521,G-101,01/01/1980,,Hardstand,Multi-Large,U,Active,01/29/2009,
522,G-101A,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
523,G-101B,01/01/1980,,Hardstand,Dependent,U,Active,01/29/2009,
516,G-102,01/01/1980,,Gate,Independent,U,Active,01/29/2009,
476,G-103,01/01/1980,,Hardstand,Independent,L,Active,01/26/2009,02/26/2009
477,G-104,01/01/1980,,Hardstand,Independent,L,Active,01/26/2009,01/28/2009
517,G-105,01/01/1980,,Hardstand,Independent,J,Active,01/29/2009,02/26/2009
382,06-01,01/01/1980,06/12/2014,Hardstand,Independent,B,Inactive,01/20/2009,06/12/2014
383,06-02,01/01/1980,06/12/2014,Hardstand,Independent,B,Inactive,01/20/2009,06/12/2014
384,08-01,01/01/1980,07/10/2014,Hardstand,Multi-Dependent,D,Inactive,01/20/2009,07/11/2014
387,08-01A,01/01/1980,07/10/2014,Hardstand,Dependent,B,Inactive,01/20/2009,07/11/2014
385,08-02,01/01/1980,07/10/2014,Hardstand,Multi-Large,N,Inactive,01/20/2009,07/11/2014
388,08-02A,01/01/1980,07/10/2014,Hardstand,Dependent,B,Inactive,01/20/2009,07/11/2014
386,08-03,01/01/1980,07/10/2014,Hardstand,Multi-Dependent,I,Inactive,01/20/2009,07/11/2014
389,08-03A,01/01/1980,07/10/2014,Hardstand,Dependent,B,Inactive,01/20/2009,07/11/2014
478,09-01A,01/01/1980,06/12/2014,Hardstand,Dependent,D,Inactive,01/27/2009,06/12/2014
479,09-01B,01/01/1980,06/12/2014,Hardstand,Dependent,F,Inactive,01/27/2009,06/12/2014
480,09-02A,01/01/1980,06/12/2014,Hardstand,Dependent,F,Inactive,01/27/2009,06/12/2014
481,09-02B,01/01/1980,06/12/2014,Hardstand,Dependent,D,Inactive,01/27/2009,06/12/2014
695,12-02A,03/27/2012,04/11/2014,Hardstand,Independent,A,Inactive,03/26/2012,04/11/2014
955,50-5A,12/24/2014,06/30/2015,Hardstand,Independent,A,Inactive,12/24/2014,12/24/2014
956,50-5B,12/24/2014,06/30/2015,Hardstand,Independent,A,Inactive,12/24/2014,12/24/2014
995,B-023,06/12/2015,12/31/2015,Hardstand,Independent,C,Inactive,06/12/2015,06/19/2015
996,B-026,06/12/2015,12/31/2015,Hardstand,Independent,C,Inactive,06/12/2015,06/19/2015
616,B-033A,01/01/1980,06/29/2011,Hardstand,Multi-Dependent,M,Inactive,05/18/2011,06/29/2011
617,B-033B,01/01/1980,06/29/2011,Hardstand,Multi-Dependent,H,Inactive,05/18/2011,06/29/2011
935,C45A,11/01/2014,12/31/2015,Hardstand,Independent,C,Inactive,12/08/2014,03/15/2015
715,D-055,06/01/2012,06/30/2013,Gate,Independent,F,Inactive,08/06/2012,09/17/2012
555,TWY E,06/21/2010,08/31/2015,Hardstand,Independent,N,Inactive,06/24/2010,
745,TWY E-2,10/28/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/29/2012,
744,TWY E-3,10/28/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/29/2012,
743,TWY E-4,10/28/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/29/2012,02/05/2014
742,TWY E-5,10/28/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/29/2012,02/05/2014
746,TWY L,10/29/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/30/2012,
748,TWY L-2,10/29/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/30/2012,
749,TWY L-3,10/29/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/30/2012,
750,TWY L-4,10/29/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/30/2012,
751,TWY L-5,10/29/2012,12/31/2015,Hardstand,Independent,N,Inactive,10/30/2012,
556,TWY U,06/24/2010,12/31/2015,Hardstand,Independent,N,Inactive,06/24/2010,
