Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS,Year,Month
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,910003,412.7773608,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Cargo,Passenger,2504,1.1358144,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Mail,Passenger,24380,11.058768,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Cargo,Passenger,3448,1.5640128,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Mail,Passenger,25840,11.721024,2005,July
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,2276370,1032.561432,2005,July
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Mail,Freighter,63461,28.7859096,2005,July
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,2152702,976.4656272,2005,July
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,281619,127.7423784,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Cargo,Freighter,54209,24.5892024,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Cargo,Passenger,54209,24.5892024,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Mail,Freighter,355,0.161028,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Mail,Passenger,355,0.161028,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Cargo,Freighter,122801,55.7025336,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Cargo,Passenger,122801,55.7025336,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Cargo,Freighter,128320,58.205952,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Cargo,Passenger,641601,291.0302136,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Mail,Freighter,16651,7.5528936,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Mail,Passenger,83254,37.7640144,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Cargo,Freighter,83517,37.8833112,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Cargo,Passenger,417586,189.4170096,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Mail,Freighter,8747,3.9676392,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Mail,Passenger,43733,19.8372888,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Cargo,Passenger,552352,250.5468672,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,6072,2.7542592,2005,July
