url,nombre,address,ciudad,bicisDisponibles,anclajesDisponibles,longitud,latitud,descripcion
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=121,Estacion11,C/ Eduardo Ibarra - C/ Violante de Hungría,Zaragoza,3,18,674849.903485189,4612042.595863729,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=125,Estacion12,Via Univérsitas - C/ Hermanos Gambra,Zaragoza,8,12,674209.1338063633,4613140.443152811,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=127,Estacion13,Avda. Navarra - C/ Rioja,Zaragoza,6,15,674246.1387059671,4613850.8095116075,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=129,Estacion14,C/ Graus - C/ Unceta,Zaragoza,11,10,674776.6682624074,4613537.967226235,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=130,Estacion15,C/ Corona de Aragón - C/ Lorente,Zaragoza,9,12,675169.6621584316,4612596.989091256,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=1,Estacion16,Avda. Pablo Ruiz Picasso - Torre del Agua,Zaragoza,6,18,674531.7776761394,4615518.329386774,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=2,Estacion17,Avda. Ranillas - Avda. Pablo Ruiz Picasso,Zaragoza,6,14,675082.8512086545,4615741.954081438,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=3,Estacion18,Pasarela del Voluntariado - Avda. Ranillas,Zaragoza,7,17,675469.635585876,4615158.24649585,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=4,Estacion19,Avda. Ranillas - Puente de La Almozara,Zaragoza,10,11,675887.9946791041,4614631.435627686,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=5,Estacion20,Pº de la Ribera - Puente de Santiago,Zaragoza,0,17,676521.483524982,4614439.010262394,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 0</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=6,Estacion21,Pº de la Ribera - Puente del Pilar,Zaragoza,13,8,677458.6056386359,4614044.937332258,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=7,Estacion22,Pº Echegaray y Caballero - Pasarela del Huerva,Zaragoza,6,13,677769.8830778005,4613631.346063166,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=8,Estacion23,Pº Echegaray y Caballero - Puente del Pilar,Zaragoza,7,14,677403.1636507643,4613776.593027227,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=9,Estacion24,Pº Echegaray y Caballero - Puente de Piedra,Zaragoza,9,20,676982.2461119632,4613971.405242417,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 20</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=10,Estacion25,Pº Echegaray y Caballero - Puente de Santiago,Zaragoza,4,17,676504.2527290656,4614170.725479681,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=11,Estacion26,Pº Echegaray y Caballero - Puente de La Almozara,Zaragoza,14,7,675643.0073561185,4614306.693232718,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=12,Estacion27,Pasarela del Voluntariado - Avda. Almozara,Zaragoza,9,12,675258.2438197444,4614764.45746837,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=13,Estacion28,C/ Francia - Pabellón Puente,Zaragoza,0,24,674353.7498153094,4614541.783660298,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 0</li><li>Anclajes disponibles: 24</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=14,Estacion29,Estación Intermodal Delicias (Salidas),Zaragoza,7,23,674227.3492706296,4614154.64966946,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 23</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=15,Estacion30,Estación de Cercanías El Portillo ,Zaragoza,16,5,675329.9923329047,4613409.474988687,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 16</li><li>Anclajes disponibles: 5</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=16,Estacion31,Plaza España,Zaragoza,9,17,676582.2035544008,4613504.823403645,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=17,Estacion32,Pº Constitución - Plaza Aragón ,Zaragoza,14,15,676293.4849388119,4613036.333235371,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=18,Estacion33,C/ Asalto - Edificio Trovador,Zaragoza,6,15,677485.1699573445,4613408.545050463,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=19,Estacion34,C/ Asalto - C/ Miguel Servet ,Zaragoza,5,16,677009.1305011907,4613188.480893311,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=20,Estacion35,"Plaza Salamero, 14",Zaragoza,13,8,676280.2924439493,4613553.287068226,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=21,Estacion36,Avda. César Augusto - Avda. Conde Aranda,Zaragoza,6,15,676275.2698373196,4613774.806717717,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=22,Estacion37,Estación Intermodal Delicias (Llegadas),Zaragoza,10,20,673760.3177675647,4614266.757959997,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 20</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=23,Estacion38,Pº de La Ribera - Pasarela Azud,Zaragoza,8,13,678460.7452327413,4613654.374655051,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=24,Estacion39,Plaza San Pedro Nolasco,Zaragoza,10,11,676875.6737743317,4613589.483909276,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=25,Estacion40,Plaza de los Sitios ,Zaragoza,7,14,676648.6412621725,4613117.609568934,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=26,Estacion41,Pº Pamplona - Puerta del Carmen,Zaragoza,14,7,676049.8715700008,4613211.22537717,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=27,Estacion42,Pº Mª Agustín - Colegio Joaquín Costa,Zaragoza,12,9,675682.3195447342,4613483.302453537,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=28,Estacion43,Plaza del Portillo - Plaza de Toros,Zaragoza,5,16,675620.8765705475,4613838.870355027,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=29,Estacion44,Avda. Madrid - Aljafería,Zaragoza,9,12,675242.2729886677,4613893.277580566,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=30,Estacion45,Avda. Pablo Gargallo - Avda. Puerta Sancho,Zaragoza,8,13,674828.098925371,4614498.440154144,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=31,Estacion46,Avda. Pablo Gargallo - C/ Ignacio Menaya,Zaragoza,9,12,675300.9241561615,4614364.322915688,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=32,Estacion47,C/ Ramón y Cajal - C/ Madre Rafols,Zaragoza,15,6,676094.9231835532,4613477.412387599,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 6</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=33,Estacion48,Plaza del Pilar - Edificio Turismo ,Zaragoza,4,17,676787.9508470903,4613916.956013001,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=34,Estacion49,Plaza Magdalena,Zaragoza,3,17,677195.2331748571,4613545.258063194,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=35,Estacion50,Pº Echegaray y Caballero - C/ Salvador Minguijón,Zaragoza,10,11,678253.8887429056,4613481.584281914,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 15:01</p>
