Community,App SRs Count,From Contact Us App Count,Web SRs Count,From Contact Us Web Count,Total App Web and Contact US,"Total Other Methods (Phone, Linked SRs, Email, etc)",Total SRs ,LONGITUDE,LATITUDE
DIAMOND COVE,1,0,1,1,3,5,8,-114.0211706227,50.9464586310
DISCOVERY RIDGE,6,0,6,2,14,86,100,-114.2152424169,51.0141956074
DOUGLASDALE/GLEN,22,7,21,3,53,259,312,-114.0003745858,50.9425175591
DOVER,4,2,17,3,26,309,335,-113.9910063200,51.0233359424
DOWNTOWN COMMERCIAL CORE,83,7,67,14,171,896,1067,-114.0699570819,51.0471968673
DOWNTOWN EAST VILLAGE,8,1,7,0,16,73,89,-114.0502128463,51.0462727846
DOWNTOWN WEST END,27,3,7,0,37,57,94,-114.0883195132,51.0469572064
EAGLE RIDGE,1,0,1,0,2,12,14,-114.0970684867,50.9850797539
EAST FAIRVIEW INDUSTRIAL,4,2,5,1,12,40,52,-114.0403299599,50.9845959547
EAST SHEPARD INDUSTRIAL,4,3,6,2,15,133,148,-113.9478633318,50.9492062738
EASTFIELD,1,0,1,0,2,21,23,-113.9700909841,51.0118675543
EAU CLAIRE,11,3,4,2,20,74,94,-114.0734503567,51.0530775760
EDGEMONT,15,2,25,2,44,235,279,-114.1446294779,51.1273894945
ELBOW PARK,13,6,11,1,31,183,214,-114.0829773053,51.0212788630
ELBOYA,4,1,5,2,12,62,74,-114.0743821494,51.0123256883
ERIN WOODS,0,0,10,3,13,145,158,-113.9683934864,51.0197603780
ERLTON,5,1,6,0,12,58,70,-114.0610705597,51.0294957098
EVANSTON,11,5,34,0,50,372,422,-114.1126936750,51.1725811255
EVERGREEN,4,2,18,0,24,228,252,-114.1170646754,50.9152977545
FAIRVIEW,3,1,8,0,12,135,147,-114.0603060721,50.9843614445
FAIRVIEW INDUSTRIAL,2,0,1,0,3,46,49,-114.0656388749,50.9907038116
FALCONRIDGE,11,7,12,0,30,214,244,-113.9450466432,51.1023724081
FISH CREEK PARK,1,0,0,0,1,16,17,-114.0266922657,50.9097395823
FOOTHILLS,4,0,8,0,12,153,165,-113.9757898960,50.9951629410
FOREST HEIGHTS,1,0,5,0,6,135,141,-113.9687523855,51.0490683077
FOREST LAWN,6,0,7,1,14,232,246,-113.9712787551,51.0383944512
FOREST LAWN INDUSTRIAL,0,0,1,0,1,58,59,-113.9518686091,51.0341916161
FRANKLIN,0,0,7,0,7,59,66,-113.9876955011,51.0588588206
GLAMORGAN,3,0,17,0,20,158,178,-114.1519057288,51.0141339799
GLENBROOK,9,2,15,1,27,156,183,-114.1537135283,51.0247358223
GLENDALE,1,1,7,4,13,114,127,-114.1525066598,51.0339779401
GLENDEER BUSINESS PARK,0,0,0,0,0,7,7,-114.0316073966,50.9893035448
GLENMORE PARK,2,0,2,1,5,84,89,-114.1249292964,50.9819766485
GOLDEN TRIANGLE,0,0,0,0,0,54,54,-113.9862017876,51.0119594485
GREAT PLAINS,5,1,10,0,16,39,55,-113.9393777221,50.9869208325
GREENVIEW,0,0,4,0,4,38,42,-114.0563696298,51.0957834011
GREENVIEW INDUSTRIAL PARK,6,1,14,2,23,92,115,-114.0468658015,51.0876384205
GREENWOOD/GREENBRIAR,0,0,0,0,0,14,14,-114.2226936743,51.0902827330
HAMPTONS,1,1,3,1,6,86,92,-114.1490469584,51.1451310632
HARVEST HILLS,10,0,5,0,15,128,143,-114.0541028707,51.1481423428
HAWKWOOD,2,0,15,3,20,132,152,-114.1755722989,51.1305976310
HAYSBORO,7,3,20,1,31,255,286,-114.0833354743,50.9722955498
HIDDEN VALLEY,6,0,9,0,15,144,159,-114.1121780789,51.1510190597
HIGHFIELD,4,3,4,0,11,58,69,-114.0385406336,51.0170897480
HIGHLAND PARK,4,1,13,4,22,172,194,-114.0650108899,51.0879720045
HIGHWOOD,5,2,8,0,15,84,99,-114.0792331521,51.0922530966
HILLHURST,58,5,23,1,87,258,345,-114.0932330887,51.0563237913
HORIZON,4,0,5,0,9,88,97,-113.9918850518,51.0889559480
HOUNSFIELD HEIGHTS/BRIAR HILL,15,3,7,1,26,125,151,-114.1054189766,51.0636246501
HUNTINGTON HILLS,14,2,28,2,46,348,394,-114.0676545195,51.1183393146
INGLEWOOD,53,2,27,1,83,241,324,-114.0197870338,51.0355537721
KELVIN GROVE,1,0,3,0,4,42,46,-114.0888867104,50.9900453776
KILLARNEY/GLENGARRY,82,14,30,1,127,333,460,-114.1324543422,51.0314551167
KINCORA,5,2,12,0,19,64,83,-114.1340689778,51.1601595788
KINGSLAND,8,0,3,1,12,133,145,-114.0773381984,50.9868927026
LAKE BONAVISTA,10,4,14,3,31,243,274,-114.0520596715,50.9394878397
LAKEVIEW,7,0,5,0,12,142,154,-114.1305464457,50.9978126482
LEGACY,0,0,16,0,16,167,183,-114.0047918018,50.8560060976
LINCOLN PARK,2,2,10,2,16,56,72,-114.1295593963,51.0098513180
LIVINGSTON,0,0,2,0,2,4,6,-114.0637266880,51.1870302348
LOWER MOUNT ROYAL,24,2,7,0,33,86,119,-114.0858659539,51.0366887812
MACEWAN GLEN,9,7,5,0,21,89,110,-114.1150090414,51.1373827727
MAHOGANY,7,3,33,1,44,298,342,-113.9245331727,50.8961202488
MANCHESTER,3,0,6,1,10,19,29,-114.0665532330,51.0070831474
MANCHESTER INDUSTRIAL,13,4,17,0,34,196,230,-114.0567317456,51.0108946459
MAPLE RIDGE,5,3,1,0,9,57,66,-114.0333933410,50.9582209646
MARLBOROUGH,2,0,15,2,19,217,236,-113.9697985866,51.0597329022
MARLBOROUGH PARK,3,1,13,2,19,188,207,-113.9462582948,51.0600459812
MARTINDALE,15,11,12,0,38,234,272,-113.9588834223,51.1176686896
MAYFAIR,1,0,2,0,3,31,34,-114.0889744430,50.9958155129
MAYLAND,1,0,6,0,7,41,48,-114.0107242323,51.0514512140
MAYLAND HEIGHTS,6,1,19,2,28,159,187,-114.0127300274,51.0615129642
MCKENZIE LAKE,15,6,14,1,36,213,249,-113.9856282867,50.9133249705
MCKENZIE TOWNE,16,3,36,1,56,320,376,-113.9649097901,50.9154516419
MEADOWLARK PARK,3,0,4,0,7,55,62,-114.0773269690,50.9977593306
MERIDIAN,1,0,4,0,5,50,55,-113.9975092533,51.0563756505
MIDNAPORE,0,0,4,0,4,164,168,-114.0575741919,50.9147674091
MILLRISE,1,0,9,0,10,100,110,-114.0842339164,50.9173561319
MISSION,28,7,31,0,66,187,253,-114.0663216947,51.0310903247
MONTEREY PARK,3,0,3,0,6,111,117,-113.9275329616,51.0818334145
MONTGOMERY,22,8,16,2,48,219,267,-114.1618205951,51.0732063924
MOUNT PLEASANT,17,4,20,1,42,355,397,-114.0757862626,51.0739252448
NEW BRIGHTON,7,2,24,0,33,277,310,-113.9462171454,50.9216235124
NOLAN HILL,1,0,14,0,15,145,160,-114.1655177771,51.1755055753
NORTH AIRWAYS,1,0,2,0,3,50,53,-114.0088402109,51.0877103583
NORTH GLENMORE PARK,1,0,4,0,5,119,124,-114.1127991212,51.0019152941
NORTH HAVEN,2,0,1,0,3,36,39,-114.0895473496,51.0966617625
NORTH HAVEN UPPER,2,0,2,0,4,16,20,-114.0858524895,51.1035492569
NOSE HILL PARK,1,0,5,2,8,24,32,-114.1108287231,51.1127164651
OAKRIDGE,9,2,7,0,18,140,158,-114.1302704131,50.9685730298
OGDEN,14,4,11,2,31,247,278,-114.0125601681,50.9903565995
OGDEN SHOPS,0,0,0,0,0,4,4,-113.9972390285,50.9942631032
PALLISER,1,1,11,1,14,59,73,-114.1121687108,50.9667792214
PANORAMA HILLS,5,1,35,8,49,348,397,-114.0850276390,51.1612126772
PARKDALE,9,1,10,1,21,63,84,-114.1374539012,51.0601050932
PARKHILL,4,0,6,0,10,85,95,-114.0686054569,51.0157869400
PARKLAND,1,0,3,0,4,74,78,-114.0299357294,50.9215382834
PATTERSON,4,2,10,2,18,92,110,-114.1780331007,51.0643575352
PEGASUS,0,0,0,0,0,7,7,-114.0067114509,51.0943009421
PENBROOKE MEADOWS,7,5,9,4,25,158,183,-113.9480772698,51.0462287727
PINERIDGE,8,4,12,0,24,184,208,-113.9467654761,51.0742453325
POINT MCKAY,1,0,6,0,7,28,35,-114.1461436094,51.0594624401
PUMP HILL,0,0,2,0,2,35,37,-114.1007928827,50.9668362666
QUEENS PARK VILLAGE,0,0,1,0,1,2,3,-114.0778030796,51.0846042286
QUEENSLAND,3,1,2,0,6,93,99,-114.0229164690,50.9371344894
RAMSAY,60,4,7,1,72,122,194,-114.0432780689,51.0360588833
RANCHLANDS,22,5,13,0,40,150,190,-114.1841292930,51.1196678751
RED CARPET,2,1,0,0,3,36,39,-113.9400139762,51.0409862680
REDSTONE,4,1,14,2,21,103,124,-113.9579852837,51.1703898075
RENFREW,8,4,26,4,42,293,335,-114.0375931222,51.0626785711
RICHMOND,25,4,18,1,48,261,309,-114.1163934907,51.0304233414
RIDEAU PARK,0,0,1,0,1,40,41,-114.0738397766,51.0250491393
RIVERBEND,13,7,16,2,38,131,169,-114.0179017282,50.9741852634
ROCKY RIDGE,9,2,17,1,29,138,167,-114.2446737682,51.1462709436
ROSEDALE,3,1,5,0,9,79,88,-114.0790802178,51.0635624714
ROSEMONT,1,1,3,0,5,59,64,-114.0910143258,51.0782914848
ROSSCARROCK,7,2,11,1,21,90,111,-114.1453717785,51.0420388089
ROXBORO,0,0,5,1,6,28,34,-114.0679172307,51.0264953143
ROYAL OAK,6,0,15,3,24,148,172,-114.2228069258,51.1439371897
ROYAL VISTA,1,0,0,0,1,16,17,-114.2030291756,51.1509733076
RUNDLE,10,1,7,0,18,233,251,-113.9700581497,51.0742355512
RUTLAND PARK,1,1,4,0,6,77,83,-114.1373545380,51.0193824726
SADDLE RIDGE,9,2,20,0,31,275,306,-113.9456639345,51.1323256618
SADDLE RIDGE INDUSTRIAL,6,1,5,0,12,23,35,-113.9760029607,51.1257195037
SAGE HILL,13,4,23,2,42,159,201,-114.1411142069,51.1759163134
SANDSTONE VALLEY,1,0,5,0,6,76,82,-114.0969805548,51.1375954362
SCARBORO,6,0,2,0,8,30,38,-114.1067791052,51.0401575224
SCARBORO/ SUNALTA WEST,6,0,2,0,8,30,38,-114.1153016322,51.0420413679
SCENIC ACRES,11,1,21,1,34,134,168,-114.2190310049,51.1144422704
SECTION 23,3,0,1,0,4,29,33,-113.9431260216,50.9737295684
SETON,0,0,2,0,2,25,27,-113.9517604624,50.8802480071
SHAGANAPPI,24,3,12,1,40,83,123,-114.1261345182,51.0436839280
SHAWNEE SLOPES,0,0,2,0,2,16,18,-114.0846119670,50.9249615754
SHAWNESSY,6,0,14,1,21,174,195,-114.0772322040,50.9079290434
SHEPARD INDUSTRIAL,2,0,2,0,4,42,46,-113.9924119511,50.9604341271
SHERWOOD,4,0,51,1,56,204,260,-114.1531762077,51.1594992494
SIGNAL HILL,20,1,21,3,45,324,369,-114.1765933234,51.0227553217
SILVER SPRINGS,9,1,20,1,31,165,196,-114.1946440941,51.1055688166
SILVERADO,3,0,12,0,15,158,173,-114.0717490342,50.8847905374
SKYLINE EAST,1,0,0,0,1,11,12,-114.0393159670,51.1002784264
SKYLINE WEST,1,0,2,0,3,34,37,-114.0487231450,51.1014418427
SKYVIEW RANCH,3,0,13,0,16,167,183,-113.9581898837,51.1597804834
SOMERSET,1,0,7,0,8,107,115,-114.0822960436,50.8979637051
SOUTH AIRWAYS,6,1,3,0,10,92,102,-114.0097549319,51.0782259836
SOUTH CALGARY,24,6,30,3,63,174,237,-114.1027383144,51.0266271107
SOUTH FOOTHILLS,3,2,3,0,8,28,36,-113.9737181738,50.9725358852
SOUTHVIEW,4,2,5,0,11,96,107,-113.9961322233,51.0341760627
SOUTHWOOD,11,4,8,3,26,192,218,-114.0832344883,50.9577673500
SPRINGBANK HILL,37,1,17,2,57,205,262,-114.2080206352,51.0286431240
SPRUCE CLIFF,7,2,6,1,16,98,114,-114.1362307096,51.0493824582
ST. ANDREWS HEIGHTS,4,0,2,0,6,59,65,-114.1273806987,51.0641592877
STARFIELD,0,0,2,0,2,20,22,-113.9393674146,51.0014734265
STONEGATE LANDING,0,0,0,0,0,6,6,-113.9882845862,51.1632219140
STONEY 1,0,0,4,0,4,24,28,-114.0247170335,51.1611837983
STONEY 2,4,0,2,0,6,55,61,-114.0189988618,51.1439596916
STONEY 3,1,0,1,0,2,2,4,-113.9758335339,51.1470348042
STONEY 4,0,0,0,0,0,5,5,-114.0196226040,51.1789711355
STRATHCONA PARK,9,4,12,0,25,112,137,-114.1759078232,51.0469461847
SUNALTA,87,7,12,0,106,152,258,-114.0996581859,51.0435348686
SUNDANCE,7,4,12,0,23,180,203,-114.0410375557,50.9001159991
SUNNYSIDE,78,15,17,3,113,168,281,-114.0742028457,51.0590697809
SUNRIDGE,5,0,8,0,13,77,90,-113.9917003534,51.0742237744
TARADALE,3,2,12,0,17,194,211,-113.9336211506,51.1177487075
TEMPLE,8,5,14,4,31,228,259,-113.9467689292,51.0887577041
THORNCLIFFE,10,0,26,1,37,248,285,-114.0679149138,51.1036792559
TUSCANY,15,4,35,2,56,262,318,-114.2437669996,51.1223078228
TUXEDO PARK,14,3,13,0,30,188,218,-114.0616177619,51.0744025291
UNIVERSITY HEIGHTS,3,0,8,1,12,57,69,-114.1338388859,51.0708193714
UNIVERSITY OF CALGARY,3,1,1,0,5,74,79,-114.1350603285,51.0779275395
UPPER MOUNT ROYAL,10,2,12,0,24,77,101,-114.0870771208,51.0307624697
VALLEY RIDGE,5,2,7,1,15,90,105,-114.2534411611,51.0942520819
VALLEYFIELD,1,0,0,0,1,35,36,-114.0007118677,51.0102962239
VARSITY,8,3,28,3,42,367,409,-114.1593178714,51.0925949152
VISTA HEIGHTS,2,0,4,0,6,82,88,-114.0178609691,51.0711352810
WALDEN,3,0,22,2,27,126,153,-114.0334557479,50.8721641210
WEST HILLHURST,33,5,27,0,65,251,316,-114.1145111381,51.0543095506
WEST SPRINGS,1,1,25,1,28,244,272,-114.2067401189,51.0597369437
WESTGATE,3,1,6,1,11,75,86,-114.1587371238,51.0442173929
WESTWINDS,6,0,6,1,13,121,134,-113.9758863138,51.1033299279
WHITEHORN,9,4,11,8,32,295,327,-113.9700728661,51.0887754253
WILDWOOD,11,1,11,0,23,100,123,-114.1564370669,51.0574865594
WILLOW PARK,9,1,19,0,29,170,199,-114.0568936725,50.9563575721
WINDSOR PARK,8,0,11,1,20,136,156,-114.0815940056,51.0048616823
WINSTON HEIGHTS/MOUNTVIEW,7,1,12,3,23,168,191,-114.0414226872,51.0726572432
WOODBINE,4,0,16,1,21,179,200,-114.1293714906,50.9416813962
WOODLANDS,12,0,13,2,27,131,158,-114.1071811097,50.9426958277
