CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,WHL,WEST HILLHURST,CENTRE,BUILT-OUT,INNER CITY,2009,,5656,2857,432,0,1468,1567,486,25,334,155,0,282,0,7,0,0,0,1,0,0,314,55,401,19,0,1,0,219,14,358,18,1,44,0,444,301,1048,24,18,0,0,0,0,0,0,0,0,0,25,1,44,0,0,0,0,7,2,107,1,0,0,0,140,84,264,15,0,0,4,1437,1011,3434,100,21,5,8,857,952,398,369,10,2898,2758,197,248,99,246,636,510,485,273,126,78,152,208,108,229,592,479,442,261,136,151,349,456,207,475,1228,989,927,534,262,229,2362234.79093000000,7089.66080798000
Residential,1,BEL,BEL-AIRE,CENTRE,BUILT-OUT,1960s/1970s,2009,,430,159,13,0,135,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,135,430,16,1,0,0,16,51,19,51,5,218,212,6,22,35,17,11,8,45,36,19,19,5,27,15,18,9,14,54,33,15,22,11,49,50,35,20,22,99,69,34,41,336947.17839900000,2577.34296607000
Residential,1,EYA,ELBOYA,CENTRE,BUILT-OUT,1950s,2009,,1698,779,133,0,412,478,10,0,249,20,0,21,0,0,0,0,0,1,0,1,201,8,368,37,10,0,0,19,0,37,0,0,2,0,10,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,28,3,0,0,1,449,403,1243,13,12,3,1,187,245,106,147,11,894,804,44,112,44,61,149,138,175,95,42,34,57,91,62,43,108,145,133,78,41,46,101,203,106,104,257,283,308,173,83,80,721242.59825400000,3891.75645633000
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,BUILT-OUT,1980s/1990s,2009,,11749,3963,824,0,3716,3735,144,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,139,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,65,171,1,0,0,0,3689,3512,11349,43,2,1,0,370,1353,762,1282,146,5926,5823,308,923,464,342,547,984,1178,761,311,108,308,895,408,307,564,1082,1172,673,295,119,616,1818,872,649,1111,2066,2350,1434,606,227,6027543.98045000000,13861.84914810000
Residential,1,MAN,MANCHESTER,CENTRE,BUILT-OUT,EMPLOYMENT,2009,,611,345,11,0,32,28,4,0,304,0,0,6,0,1,0,1,0,1,0,1,275,29,367,27,0,1,0,5,0,8,0,1,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,188,0,0,0,0,0,0,0,0,0,0,6,20,3,38,2,0,0,3,210,74,15,5,2,398,213,3,2,6,23,93,92,77,73,23,6,8,6,1,30,68,39,20,23,10,8,11,8,7,53,161,131,97,96,33,14,474122.19256000000,4015.64552504000
Residential,1,CFL,CFB - LINCOLN PARK PMQ,WEST,BUILT-OUT,BUILDING OUT,2009,,1376,696,160,0,449,240,72,0,252,131,0,0,0,0,0,1,0,0,0,2,245,154,340,5,0,0,0,0,0,0,0,0,0,0,70,24,186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,122,106,266,3,6,0,4,204,165,559,9,23,0,1,227,237,91,78,9,654,722,62,52,18,45,209,141,72,36,6,13,71,53,22,60,252,140,58,42,11,13,133,105,40,105,461,281,130,78,17,26,339343.88011000000,2728.18770432000
Residential,1,BOW,BOWNESS,NORTHWEST,BUILT-OUT,1950s,2009,,10945,5274,711,0,2567,2392,835,64,677,844,0,446,4,2,6,1,0,3,0,0,651,125,930,17,0,9,0,368,29,636,38,2,38,0,800,337,1975,30,4,1,0,0,0,0,0,0,0,0,59,10,91,5,0,0,0,14,0,249,2,0,0,1,783,225,1714,46,8,6,2,2301,1841,5350,76,8,5,16,1635,1899,761,615,66,5496,5449,276,467,308,476,1008,867,996,569,321,208,281,428,297,440,935,807,844,595,399,423,557,895,605,916,1943,1674,1840,1164,720,631,5609293.05407000000,14421.00686360000
Residential,1,WHI,WHITEHORN,NORTHEAST,BUILT-OUT,1960s/1970s,2009,,11807,3770,948,0,2495,2544,665,1,60,117,0,382,0,0,0,1,0,0,0,1,35,25,54,0,24,0,0,291,13,694,18,0,73,0,639,392,2022,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,178,0,0,0,0,110,66,264,7,0,0,0,2471,1999,8594,69,1,3,1,406,1013,714,1063,352,6114,5693,396,799,435,495,1092,889,862,667,310,169,341,757,390,467,936,797,844,594,294,273,737,1556,825,962,2028,1686,1706,1261,604,442,2645928.50700000000,6504.84339261000
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,BUILT-OUT,1960s/1970s,2009,,975,371,65,0,312,368,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,364,312,968,4,0,0,1,44,159,75,83,6,523,452,27,54,36,40,88,74,81,70,40,13,22,42,27,35,60,68,89,60,37,12,49,96,63,75,148,142,170,130,77,25,537815.14622300000,3363.76891015000
Residential,1,SCE,SCENIC ACRES,NORTHWEST,BUILT-OUT,1980s/1990s,2009,,9072,2920,427,0,2794,2667,162,0,0,75,0,2,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,161,160,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,194,1,0,0,0,75,73,131,0,0,0,0,2650,2561,8453,17,0,0,14,279,913,526,1090,92,4454,4618,151,546,528,402,273,496,958,656,314,130,147,619,417,360,285,641,1092,519,277,261,298,1165,945,762,558,1137,2050,1175,591,391,4344000.37964000000,10809.68173700000
Residential,1,RUT,RUTLAND PARK,WEST,BUILT-OUT,1950s,2009,,2301,976,122,0,779,312,40,0,95,492,0,36,0,0,0,1,0,0,0,0,94,0,96,1,0,0,0,30,1,49,6,0,0,0,36,19,93,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135,0,0,0,0,491,475,1184,1,0,0,0,310,284,744,1,0,1,1,308,332,164,144,14,1023,1278,47,108,62,59,149,139,162,122,87,88,50,118,56,67,134,142,185,170,148,208,97,226,118,126,283,281,347,292,235,296,681040.59399000000,4322.96295718000
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2009,,5142,1991,812,0,1599,1650,78,0,72,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,4,43,34,101,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,168,152,328,3,16,0,12,1551,1413,4713,28,58,1,0,175,633,391,506,57,2631,2511,371,354,81,147,830,541,189,92,24,2,312,357,76,173,838,457,177,95,23,3,683,711,157,320,1668,998,366,187,47,5,2864275.48244000000,6834.04799365000
Residential,1,SNA,SUNALTA,CENTRE,BUILT-OUT,INNER CITY,2009,,3361,2130,115,0,538,257,2,0,1648,63,0,149,2,6,2,0,0,1,0,4,1528,386,2386,100,1,15,1,122,6,179,13,0,13,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,179,0,0,0,0,58,33,102,5,0,0,3,231,113,513,19,0,4,11,1035,681,151,78,5,1903,1458,51,69,30,193,737,456,231,94,27,15,49,55,35,203,628,279,116,54,27,12,100,124,65,396,1365,735,347,148,54,27,940817.82272800000,4680.77112423000
Residential,1,PUM,PUMP HILL,SOUTH,BUILT-OUT,1960s/1970s,2009,,1619,562,38,0,410,382,50,0,61,66,0,1,0,0,0,2,0,0,0,0,60,0,70,1,0,0,0,1,0,1,0,0,0,0,50,49,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,242,0,0,0,0,64,0,100,2,0,0,0,367,361,1125,12,3,0,2,128,204,71,120,21,727,892,13,69,55,54,40,58,104,140,81,113,15,55,52,59,43,64,138,113,91,262,28,124,107,113,83,122,242,253,172,375,942290.77429900000,3966.77068879000
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,BUILDING OUT,2009,,3385,1180,544,0,1025,1118,39,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,39,38,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,14,0,16,0,8,1029,985,3297,19,60,2,0,52,348,273,357,45,1711,1674,214,245,69,74,369,414,192,91,34,9,228,213,77,48,419,368,176,100,29,16,442,458,146,122,788,782,368,191,63,25,2184229.80954000000,6622.75902101000
Residential,1,LKV,LAKEVIEW,WEST,BUILT-OUT,1960s/1970s,2009,,5467,2336,310,0,1850,1689,75,0,333,230,0,9,0,0,0,0,0,0,0,1,250,0,480,82,0,0,0,7,2,9,0,0,2,0,73,56,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,199,391,7,0,0,0,1659,1593,4411,25,4,1,0,474,886,363,464,25,2701,2766,129,308,212,150,219,342,517,314,278,232,115,311,193,160,216,368,496,353,306,248,244,619,405,310,435,710,1013,667,584,480,2221433.57018000000,6830.19101831000
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,DEVELOPING,BUILDING OUT,2009,,6882,2768,718,0,2429,1626,190,0,366,585,0,1,0,0,0,0,0,0,0,0,353,302,506,13,0,0,0,0,0,0,0,0,1,0,187,167,428,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,464,1007,30,16,1,0,1573,1496,4941,25,22,6,0,598,899,449,642,63,3322,3560,260,463,172,184,569,680,468,287,155,84,325,434,154,206,609,717,475,337,162,141,585,897,326,390,1178,1397,943,624,317,225,2805897.52512000000,6955.04366640000
Residential,1,TUS,TUSCANY,NORTHWEST,BUILT-OUT,2000s,2009,,18272,6383,2975,0,5832,5368,101,0,523,389,0,2,0,0,0,0,0,0,0,6,476,425,762,11,30,0,0,1,0,2,1,0,0,2,96,90,191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,324,728,9,0,0,4,5275,4993,16589,63,25,1,0,809,1909,1250,2094,166,8931,9341,1212,1453,346,325,1695,2158,947,431,231,133,1184,1488,339,323,2047,2168,892,478,269,153,2396,2941,685,648,3742,4326,1839,909,500,286,6878005.25149000000,11828.95610200000
Residential,1,PKD,PARKDALE,CENTRE,BUILT-OUT,1950s,2009,,2247,1185,110,0,478,508,129,20,347,35,0,144,0,0,1,1,0,0,0,0,310,78,396,12,24,1,0,109,1,157,6,0,29,0,107,72,265,4,15,3,0,0,0,0,0,0,0,0,20,0,33,0,0,0,0,2,0,234,0,0,0,0,24,16,37,2,9,0,1,473,311,1125,26,4,4,2,453,356,126,102,8,1120,1127,50,74,38,94,186,161,157,78,44,238,46,79,37,90,209,156,132,90,50,238,96,153,75,184,395,317,289,168,94,476,1050300.42452000000,5240.32381404000
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,BUILT-OUT,1950s,2009,,6047,2689,511,0,827,929,446,20,500,343,0,449,0,2,0,0,0,0,0,0,449,21,824,44,0,7,1,352,17,660,52,0,44,0,416,151,1192,26,2,2,0,0,0,0,0,0,0,0,18,5,40,1,0,0,0,2,0,6,0,0,0,2,324,2,939,13,0,4,1,886,631,2386,30,0,12,2,683,821,423,442,78,3222,2825,201,345,172,262,597,583,552,256,181,73,208,302,149,236,526,481,354,266,194,109,409,647,321,498,1123,1064,906,522,375,182,2506200.49884000000,8227.62531065000
Residential,1,ACA,ACADIA,SOUTH,BUILT-OUT,1960s/1970s,2009,,10574,5043,508,0,2748,2281,133,0,2025,384,140,73,0,0,4,1,0,2,0,20,1866,389,3301,138,0,1,0,60,4,101,2,0,11,0,126,85,300,7,0,0,0,113,97,186,0,0,27,0,0,0,0,0,0,0,0,6,1,255,1,0,0,0,376,264,935,8,0,0,0,2229,1908,5496,45,1,6,7,1547,1861,703,595,70,5342,5232,214,393,233,442,1002,906,918,477,393,364,199,411,249,388,804,774,794,493,544,576,413,804,482,830,1806,1680,1712,970,937,940,3906035.86949000000,9130.98273827000
Residential,1,HAM,HAMPTONS,NORTHWEST,BUILT-OUT,1980s/1990s,2009,,8086,2470,334,0,2380,2095,160,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,157,289,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,183,393,7,0,0,1,2075,2040,7404,15,3,1,0,172,698,414,1013,144,3990,4096,109,507,427,323,259,448,966,578,237,136,113,549,403,311,253,602,994,485,256,130,222,1056,830,634,512,1050,1960,1063,493,266,3486144.62706000000,8344.33763483000
Residential,1,RID,RIDEAU PARK,CENTRE,BUILT-OUT,INNER CITY,2009,,641,343,24,0,256,132,2,0,184,23,0,2,0,0,0,0,0,0,0,4,163,119,226,15,0,2,0,2,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,45,0,0,0,0,127,116,365,3,2,0,0,131,113,26,47,0,299,342,4,38,23,18,17,29,66,52,29,23,13,23,25,11,19,41,65,65,34,46,17,61,48,29,36,70,131,117,63,69,267082.54123800000,2265.32087371000
Residential,1,LPK,LINCOLN PARK,WEST,BUILT-OUT,1950s,2009,,2612,1425,94,0,540,8,7,0,964,445,0,0,0,0,0,1,0,0,0,5,943,444,1492,16,0,0,0,0,0,0,0,0,0,0,6,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,2,405,86,1036,38,0,0,0,8,7,24,0,0,0,1,715,340,105,192,11,1037,1575,36,72,148,271,216,125,44,29,36,60,36,55,233,402,276,141,78,35,75,244,72,127,381,673,492,266,122,64,111,304,1522942.38939000000,5861.48882287000
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT,2009,,267,197,21,0,83,195,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,95,83,263,1,82,0,0,6,49,19,20,3,141,126,7,13,8,16,46,22,17,9,3,0,11,11,8,12,44,22,10,5,3,0,18,24,16,28,90,44,27,14,6,0,3756391.28096000000,8845.46823683000
Residential,1,ROX,ROXBORO,CENTRE,BUILT-OUT,INNER CITY,2009,,428,161,23,0,147,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,147,428,3,4,0,0,28,50,24,49,3,214,214,6,33,18,18,7,21,49,34,14,14,10,29,26,12,9,22,47,33,11,15,16,62,44,30,16,43,96,67,25,29,271809.57503300000,2330.94158357000
Residential,1,FAL,FALCONRIDGE,NORTHEAST,BUILT-OUT,1980s/1990s,2009,,10130,3406,1012,0,1955,1858,544,0,212,597,0,195,0,0,0,0,0,0,0,0,183,22,388,13,0,16,0,141,10,311,15,0,39,0,516,263,1658,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,306,1695,36,0,0,1,1793,1354,6078,58,1,5,0,393,895,723,904,279,5206,4924,405,836,378,410,895,910,739,410,171,52,403,735,362,398,868,832,714,380,174,58,808,1571,740,808,1763,1742,1453,790,345,110,2156335.97253000000,6000.05457463000
Residential,1,TAR,TARADALE,NORTHEAST,DEVELOPING,BUILDING OUT,2009,,14515,4183,2040,0,3127,3154,212,0,273,371,0,173,0,0,0,0,0,0,0,1,234,97,642,9,29,0,0,147,13,437,16,0,10,0,209,184,731,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,338,271,867,13,19,0,2,2958,2562,11838,73,120,1,0,273,786,813,1444,570,7411,7104,838,1304,432,562,1478,1395,754,368,217,63,772,1201,434,519,1620,1236,651,411,192,68,1610,2505,866,1081,3098,2631,1405,779,409,131,2957141.02341000000,6905.22655165000
Residential,1,EVN,EVANSTON,NORTH,DEVELOPING,BUILDING OUT,2009,,4599,1626,759,0,1363,1481,42,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,40,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23,97,0,56,0,14,1387,1300,4380,19,61,0,0,129,456,342,470,79,2327,2272,318,304,95,118,666,520,185,76,31,14,319,326,88,96,698,455,165,76,33,16,637,630,183,214,1364,975,350,152,64,30,5047843.16366000000,11354.03538360000
Residential,1,QLD,QUEENSLAND,SOUTH,BUILT-OUT,1960s/1970s,2009,,4962,1889,328,0,1480,1186,206,0,60,391,0,46,0,0,0,0,0,0,0,0,58,47,91,2,0,0,0,33,3,58,3,0,10,0,200,133,493,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,265,884,12,0,0,0,1167,1032,3436,18,0,1,0,337,629,361,454,56,2493,2469,135,269,205,190,451,366,440,250,137,50,130,291,192,167,373,372,463,285,139,57,265,560,397,357,824,738,903,535,276,107,1556436.96796000000,4982.20905637000
