Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,MAX ANS DELAY,ABANDONED
22/02/2014,ccc_311_calgary_combined,1188,1154,0:00:18,,34
23/02/2014,ccc_priority_script,30,29,0:00:19,,1
23/02/2014,ccc_tax_script,1,1,0:00:06,,0
23/02/2014,ccc_311_calgary_combined,805,799,0:00:07,,6
24/02/2014,ccc_priority_script,43,43,0:00:17,,0
24/02/2014,ccc_tax_script,23,20,0:01:38,,3
24/02/2014,ccc_311_calgary_combined,3600,3265,0:01:07,,335
25/02/2014,ccc_priority_script,29,28,0:00:09,,1
25/02/2014,ccc_tax_script,17,17,0:00:13,,0
25/02/2014,ccc_311_calgary_combined,3202,3111,0:00:23,,91
26/02/2014,ccc_priority_script,24,24,0:00:07,,0
26/02/2014,ccc_tax_script,10,10,0:00:23,,0
26/02/2014,ccc_311_calgary_combined,3318,3197,0:00:28,,121
27/02/2014,ccc_priority_script,26,26,0:00:09,,0
27/02/2014,ccc_tax_script,10,9,0:00:22,,1
27/02/2014,ccc_311_calgary_combined,3160,3082,0:00:17,,78
28/02/2014,ccc_priority_script,31,31,0:00:06,,0
28/02/2014,ccc_tax_script,12,11,0:00:07,,1
28/02/2014,ccc_311_calgary_combined,2943,2850,0:00:16,,93
1/3/2014,ccc_priority_script,31,30,0:00:19,,1
1/3/2014,ccc_tax_script,2,2,0:00:07,,0
1/3/2014,ccc_311_calgary_combined,1234,1184,0:00:15,,50
2/3/2014,ccc_priority_script,22,22,0:00:07,,0
2/3/2014,ccc_tax_script,1,1,0:00:06,,0
2/3/2014,ccc_311_calgary_combined,1024,1004,0:00:09,,20
3/3/2014,ccc_priority_script,31,29,0:00:09,,2
3/3/2014,ccc_tax_script,22,18,0:02:01,,4
3/3/2014,ccc_311_calgary_combined,3542,3220,0:01:05,,322
4/3/2014,ccc_priority_script,27,26,0:00:09,,1
4/3/2014,ccc_tax_script,20,20,0:01:11,,0
4/3/2014,ccc_311_calgary_combined,3343,3093,0:00:58,,250
5/3/2014,ccc_priority_script,37,37,0:00:06,,0
5/3/2014,ccc_tax_script,27,26,0:00:15,,1
5/3/2014,ccc_311_calgary_combined,3290,3235,0:00:13,,55
6/3/2014,ccc_priority_script,24,23,0:00:05,,1
6/3/2014,ccc_tax_script,22,22,0:00:08,,0
6/3/2014,ccc_311_calgary_combined,2963,2925,0:00:10,,38
7/3/2014,ccc_priority_script,27,27,0:00:08,,0
7/3/2014,ccc_tax_script,19,19,0:00:06,,0
7/3/2014,ccc_311_calgary_combined,2881,2819,0:00:19,,62
8/3/2014,ccc_priority_script,25,22,0:00:41,,3
8/3/2014,ccc_311_calgary_combined,1942,1651,0:02:30,,291
9/3/2014,ccc_priority_script,68,59,0:00:25,,9
9/3/2014,ccc_311_calgary_combined,2883,1534,0:01:38,,1349
10/3/2014,ccc_priority_script,50,45,0:00:24,,5
10/3/2014,ccc_tax_script,26,21,0:04:38,,5
10/3/2014,ccc_311_calgary_combined,4878,3803,0:04:02,,1075
11/3/2014,ccc_priority_script,46,45,0:00:17,,1
11/3/2014,ccc_tax_script,10,9,0:00:39,,1
11/3/2014,ccc_311_calgary_combined,4113,3686,0:01:19,,427
12/3/2014,ccc_priority_script,46,43,0:00:20,,3
12/3/2014,ccc_tax_script,13,10,0:02:02,,3
12/3/2014,ccc_311_calgary_combined,4282,3646,0:02:02,,636
13/03/2014,ccc_priority_script,30,27,0:00:21,,3
13/03/2014,ccc_tax_script,21,14,0:02:34,,7
13/03/2014,ccc_311_calgary_combined,3867,3186,0:02:19,,681
14/03/2014,ccc_priority_script,54,51,0:00:18,,3
14/03/2014,ccc_tax_script,22,20,0:01:55,,2
14/03/2014,ccc_311_calgary_combined,3580,3126,0:01:45,,454
15/03/2014,ccc_priority_script,39,36,0:00:07,,3
15/03/2014,ccc_tax_script,1,1,0:00:05,,0
15/03/2014,ccc_311_calgary_combined,1621,1567,0:00:16,,54
16/03/2014,ccc_priority_script,23,22,0:00:09,,1
16/03/2014,ccc_311_calgary_combined,1394,1334,0:00:27,,60
17/03/2014,ccc_priority_script,27,27,0:00:14,,0
17/03/2014,ccc_tax_script,9,8,0:02:33,,1
17/03/2014,ccc_311_calgary_combined,4025,3467,0:02:11,,558
18/03/2014,ccc_priority_script,44,44,0:00:22,,0
18/03/2014,ccc_tax_script,16,15,0:02:26,,1
18/03/2014,ccc_311_calgary_combined,3678,3250,0:01:29,,428
19/03/2014,ccc_priority_script,31,29,0:00:08,,2
19/03/2014,ccc_tax_script,18,14,0:04:05,,4
19/03/2014,ccc_311_calgary_combined,3577,3098,0:01:57,,479
20/03/2014,ccc_priority_script,63,61,0:00:07,,2
20/03/2014,ccc_tax_script,23,19,0:00:08,,4
20/03/2014,ccc_311_calgary_combined,3064,2993,0:00:11,,71
21/03/2014,ccc_priority_script,39,37,0:00:07,,2
21/03/2014,ccc_tax_script,21,20,0:00:09,,1
21/03/2014,ccc_311_calgary_combined,2806,2747,0:00:14,,59
22/03/2014,ccc_priority_script,17,16,0:00:06,,1
22/03/2014,ccc_tax_script,3,3,0:00:03,,0
22/03/2014,ccc_311_calgary_combined,945,927,0:00:09,,18
23/03/2014,ccc_priority_script,12,12,0:00:15,,0
23/03/2014,ccc_311_calgary_combined,757,751,0:00:07,,6
24/03/2014,ccc_priority_script,15,15,0:00:07,,0
24/03/2014,ccc_tax_script,27,24,0:00:44,,3
24/03/2014,ccc_311_calgary_combined,3306,3132,0:00:38,,174
25/03/2014,ccc_priority_script,22,21,0:00:07,,1
25/03/2014,ccc_tax_script,19,18,0:00:23,,1
25/03/2014,ccc_311_calgary_combined,2955,2835,0:00:28,,120
26/03/2014,ccc_priority_script,43,42,0:00:06,,1
26/03/2014,ccc_tax_script,23,23,0:00:09,,0
26/03/2014,ccc_311_calgary_combined,2922,2859,0:00:10,,63
27/03/2014,ccc_priority_script,16,16,0:00:07,,0
27/03/2014,ccc_tax_script,20,20,0:00:10,,0
27/03/2014,ccc_311_calgary_combined,2863,2833,0:00:08,,30
28/03/2014,ccc_priority_script,19,19,0:00:17,,0
28/03/2014,ccc_tax_script,25,24,0:00:17,,1
28/03/2014,ccc_311_calgary_combined,2752,2698,0:00:12,,54
29/03/2014,ccc_priority_script,28,28,0:00:08,,0
29/03/2014,ccc_tax_script,3,3,0:00:06,,0
29/03/2014,ccc_311_calgary_combined,1116,1082,0:00:12,,34
30/03/2014,ccc_priority_script,15,14,0:00:14,,1
30/03/2014,ccc_311_calgary_combined,806,788,0:00:09,,18
31/03/2014,ccc_priority_script,22,21,0:00:09,,1
31/03/2014,ccc_tax_script,21,21,0:00:07,,0
31/03/2014,ccc_311_calgary_combined,3242,3182,0:00:11,,60
1/4/2014,ccc_priority_script,28,28,0:00:13,,0
1/4/2014,ccc_tax_script,29,26,0:00:28,,3
1/4/2014,ccc_311_calgary_combined,3540,3268,0:00:51,,272
2/4/2014,ccc_priority_script,23,21,0:00:06,,2
2/4/2014,ccc_tax_script,22,22,0:00:14,,0
2/4/2014,ccc_311_calgary_combined,3388,3268,0:00:16,,120
3/4/2014,ccc_priority_script,26,24,0:00:06,,2
3/4/2014,ccc_tax_script,24,23,0:00:05,,1
3/4/2014,ccc_311_calgary_combined,3072,3005,0:00:11,,67
4/4/2014,ccc_priority_script,26,25,0:00:15,,1
4/4/2014,ccc_tax_script,15,14,0:00:39,,1
4/4/2014,ccc_311_calgary_combined,3276,3105,0:00:40,,171
5/4/2014,ccc_priority_script,16,16,0:00:07,,0
5/4/2014,ccc_tax_script,3,3,0:00:04,,0
5/4/2014,ccc_311_calgary_combined,1440,1391,0:00:16,,49
6/4/2014,ccc_priority_script,13,13,0:00:05,,0
6/4/2014,ccc_311_calgary_combined,1211,1196,0:00:08,,15
7/4/2014,ccc_priority_script,36,32,0:00:15,,4
7/4/2014,ccc_tax_script,20,14,0:05:14,,6
7/4/2014,ccc_311_calgary_combined,4566,3225,0:04:41,,1341
8/4/2014,ccc_priority_script,34,34,0:00:12,,0
8/4/2014,ccc_tax_script,15,14,0:01:44,,1
8/4/2014,ccc_311_calgary_combined,4126,3748,0:01:16,,378
9/4/2014,ccc_priority_script,34,34,0:00:12,,0
9/4/2014,ccc_tax_script,17,15,0:00:40,,2
9/4/2014,ccc_311_calgary_combined,3925,3625,0:01:02,,300
10/4/2014,ccc_priority_script,29,29,0:00:20,,0
10/4/2014,ccc_tax_script,19,17,0:01:20,,2
10/4/2014,ccc_311_calgary_combined,3731,3425,0:01:15,,306
11/4/2014,ccc_priority_script,25,23,0:00:17,,2
11/4/2014,ccc_tax_script,17,15,0:00:54,,2
11/4/2014,ccc_311_calgary_combined,3562,3265,0:01:06,,297
12/4/2014,ccc_priority_script,26,24,0:00:07,,2
12/4/2014,ccc_tax_script,1,1,0:00:07,,0
12/4/2014,ccc_311_calgary_combined,1537,1430,0:00:37,,107
13/04/2014,ccc_priority_script,24,23,0:00:14,,1
13/04/2014,ccc_311_calgary_combined,1263,1175,0:00:34,,88
14/04/2014,ccc_priority_script,18,17,0:00:17,,1
14/04/2014,ccc_tax_script,22,18,0:00:54,,4
14/04/2014,ccc_311_calgary_combined,4238,3836,0:01:06,,402
15/04/2014,ccc_priority_script,48,47,0:00:11,,1
15/04/2014,ccc_tax_script,15,14,0:03:47,,1
15/04/2014,ccc_311_calgary_combined,3999,3394,0:01:57,,605
16/04/2014,ccc_priority_script,43,39,0:00:09,,4
16/04/2014,ccc_tax_script,17,16,0:00:30,,1
16/04/2014,ccc_311_calgary_combined,3326,3169,0:00:38,,157
17/04/2014,ccc_priority_script,30,29,0:00:08,,1
17/04/2014,ccc_tax_script,14,13,0:00:12,,1
17/04/2014,ccc_311_calgary_combined,3691,3567,0:00:17,,124
18/04/2014,ccc_priority_script,18,18,0:00:11,,0
18/04/2014,ccc_tax_script,1,1,0:00:03,,0
18/04/2014,ccc_311_calgary_combined,1507,1484,0:00:09,,23
19/04/2014,ccc_priority_script,20,19,0:00:13,,1
19/04/2014,ccc_tax_script,1,1,0:00:03,,0
19/04/2014,ccc_311_calgary_combined,1375,1312,0:00:22,,63
20/04/2014,ccc_priority_script,24,22,0:00:05,,2
20/04/2014,ccc_tax_script,1,1,0:00:11,,0
20/04/2014,ccc_311_calgary_combined,1023,996,0:00:13,,27
21/04/2014,ccc_priority_script,29,28,0:00:18,,1
21/04/2014,ccc_tax_script,11,8,0:00:35,,3
21/04/2014,ccc_311_calgary_combined,3911,3451,0:01:25,,460
22/04/2014,ccc_priority_script,41,39,0:00:11,,2
22/04/2014,ccc_tax_script,20,16,0:02:49,,4
22/04/2014,ccc_311_calgary_combined,4408,3670,0:02:21,,738
23/04/2014,ccc_priority_script,37,35,0:00:16,,2
23/04/2014,ccc_tax_script,14,11,0:02:03,,3
23/04/2014,ccc_311_calgary_combined,4328,3835,0:01:43,,493
24/04/2014,ccc_priority_script,36,35,0:00:09,,1
24/04/2014,ccc_tax_script,18,15,0:01:46,,3
24/04/2014,ccc_311_calgary_combined,4098,3693,0:01:19,,405
25/04/2014,ccc_priority_script,28,24,0:00:15,,4
25/04/2014,ccc_tax_script,15,14,0:00:08,,1
25/04/2014,ccc_311_calgary_combined,3686,3526,0:00:31,,160
26/04/2014,ccc_priority_script,25,25,0:00:12,,0
26/04/2014,ccc_tax_script,2,2,0:00:45,,0
26/04/2014,ccc_311_calgary_combined,1435,1380,0:00:17,,55
27/04/2014,ccc_priority_script,20,20,0:00:11,,0
27/04/2014,ccc_311_calgary_combined,1350,1301,0:00:20,,49
28/04/2014,ccc_priority_script,24,24,0:00:08,,0
28/04/2014,ccc_tax_script,14,13,0:00:53,,1
28/04/2014,ccc_311_calgary_combined,4515,4155,0:00:56,,360
29/04/2014,ccc_priority_script,39,34,0:00:11,,5
29/04/2014,ccc_tax_script,24,19,0:03:53,,5
29/04/2014,ccc_311_calgary_combined,4480,3783,0:02:17,,697
30/04/2014,ccc_priority_script,36,35,0:00:11,,1
30/04/2014,ccc_tax_script,23,19,0:01:14,,4
30/04/2014,ccc_311_calgary_combined,4619,3916,0:02:02,,703
1/5/2014,ccc_priority_script,42,39,0:00:11,,3
1/5/2014,ccc_tax_script,19,16,0:00:44,,3
1/5/2014,ccc_311_calgary_combined,4273,3966,0:00:48,,307
2/5/2014,ccc_priority_script,53,52,0:00:10,,1
2/5/2014,ccc_tax_script,19,19,0:00:07,,0
2/5/2014,ccc_311_calgary_combined,3903,3785,0:00:20,,118
3/5/2014,ccc_priority_script,29,28,0:00:10,,1
3/5/2014,ccc_tax_script,2,2,0:00:15,,0
3/5/2014,ccc_311_calgary_combined,1455,1415,0:00:19,,40
4/5/2014,ccc_priority_script,22,22,0:00:16,,0
4/5/2014,ccc_tax_script,1,1,0:00:03,,0
4/5/2014,ccc_311_calgary_combined,1086,1056,0:00:18,,30
5/5/2014,ccc_priority_script,27,26,0:00:11,,1
5/5/2014,ccc_tax_script,18,16,0:01:03,,2
5/5/2014,ccc_311_calgary_combined,4087,3876,0:00:39,,211
6/5/2014,ccc_priority_script,37,37,0:00:09,,0
6/5/2014,ccc_tax_script,17,15,0:00:27,,2
6/5/2014,ccc_311_calgary_combined,4067,3910,0:01:17,,157
7/5/2014,ccc_priority_script,34,34,0:00:09,,0
7/5/2014,ccc_tax_script,21,21,0:00:24,,0
7/5/2014,ccc_311_calgary_combined,4201,3992,0:00:34,,209
8/5/2014,ccc_priority_script,27,22,0:00:09,,5
8/5/2014,ccc_tax_script,20,19,0:00:44,,1
8/5/2014,ccc_311_calgary_combined,3937,3678,0:00:45,,259
9/5/2014,ccc_priority_script,40,40,0:00:06,,0
9/5/2014,ccc_tax_script,20,16,0:00:57,,4
9/5/2014,ccc_311_calgary_combined,3536,3323,0:00:42,,213
10/5/2014,ccc_priority_script,18,18,0:00:07,,0
10/5/2014,ccc_tax_script,1,1,0:00:28,,0
10/5/2014,ccc_311_calgary_combined,1505,1449,0:00:31,,56
11/5/2014,ccc_priority_script,27,26,0:00:10,,1
11/5/2014,ccc_tax_script,1,0,0:00:00,,1
11/5/2014,ccc_311_calgary_combined,1155,1114,0:00:16,,41
12/5/2014,ccc_priority_script,30,27,0:00:13,,3
12/5/2014,ccc_tax_script,23,21,0:02:21,,2
12/5/2014,ccc_311_calgary_combined,4715,4012,0:02:24,,703
13/05/2014,ccc_priority_script,30,30,0:00:09,,0
13/05/2014,ccc_tax_script,28,24,0:01:26,,4
13/05/2014,ccc_311_calgary_combined,4380,4019,0:01:06,,361
14/05/2014,ccc_priority_script,26,24,0:00:14,,2
14/05/2014,ccc_tax_script,23,20,0:00:35,,3
14/05/2014,ccc_311_calgary_combined,4234,3909,0:00:59,,325
15/05/2014,ccc_priority_script,35,32,0:00:11,,3
15/05/2014,ccc_tax_script,12,11,0:01:53,,1
15/05/2014,ccc_311_calgary_combined,3888,3576,0:02:10,,312
16/05/2014,ccc_priority_script,39,37,0:00:11,,2
16/05/2014,ccc_tax_script,17,17,0:01:17,,0
16/05/2014,ccc_311_calgary_combined,3624,3393,0:00:52,,231
17/05/2014,ccc_priority_script,23,22,0:00:10,,1
17/05/2014,ccc_311_calgary_combined,1399,1352,0:00:15,,47
18/05/2014,ccc_priority_script,25,23,0:00:13,,2
18/05/2014,ccc_311_calgary_combined,1166,1152,0:00:09,,14
19/05/2014,ccc_priority_script,25,23,0:00:06,,2
19/05/2014,ccc_tax_script,1,1,0:00:03,,0
19/05/2014,ccc_311_calgary_combined,1440,1412,0:00:13,,28
20/05/2014,ccc_priority_script,52,51,0:00:18,,1
20/05/2014,ccc_tax_script,18,16,0:02:12,,2
20/05/2014,ccc_311_calgary_combined,5260,4514,0:01:56,,746
21/05/2014,ccc_priority_script,38,36,0:00:14,,2
21/05/2014,ccc_tax_script,23,19,0:00:38,,4
21/05/2014,ccc_311_calgary_combined,4650,3984,0:01:53,,666
22/05/2014,ccc_priority_script,42,41,0:00:17,,1
22/05/2014,ccc_tax_script,25,22,0:01:58,,3
22/05/2014,ccc_311_calgary_combined,4651,4016,0:01:58,,635
23/05/2014,ccc_priority_script,48,46,0:00:12,,2
23/05/2014,ccc_tax_script,11,9,0:01:29,,2
23/05/2014,ccc_311_calgary_combined,4395,3907,0:01:32,,488
24/05/2014,ccc_priority_script,38,37,0:00:17,,1
24/05/2014,ccc_tax_script,1,1,0:00:07,,0
24/05/2014,ccc_311_calgary_combined,1841,1626,0:01:17,,215
25/05/2014,ccc_priority_script,14,14,0:00:05,,0
25/05/2014,ccc_311_calgary_combined,1418,1342,0:00:28,,76
26/05/2014,ccc_priority_script,26,25,0:00:25,,1
26/05/2014,ccc_tax_script,20,13,0:08:23,,7
26/05/2014,ccc_311_calgary_combined,6199,4011,0:05:53,,2188
27/05/2014,ccc_priority_script,41,40,0:00:15,,1
27/05/2014,ccc_tax_script,15,12,0:05:45,,3
27/05/2014,ccc_311_calgary_combined,6306,4523,0:04:58,,1783
28/05/2014,ccc_priority_script,28,28,0:00:19,,0
28/05/2014,ccc_tax_script,18,12,0:08:08,,6
28/05/2014,ccc_311_calgary_combined,5379,3589,0:06:44,,1790
29/05/2014,ccc_priority_script,35,33,0:00:16,,2
29/05/2014,ccc_tax_script,10,6,0:02:47,,4
29/05/2014,ccc_311_calgary_combined,5019,4050,0:03:10,,969
30/05/2014,ccc_priority_script,60,54,0:00:25,,6
30/05/2014,ccc_tax_script,23,14,0:05:23,,9
30/05/2014,ccc_311_calgary_combined,4769,3635,0:04:16,,1134
31/05/2014,ccc_priority_script,27,25,0:00:14,,2
31/05/2014,ccc_tax_script,1,1,0:00:04,,0
31/05/2014,ccc_311_calgary_combined,1901,1691,0:01:09,,210
1/6/2014,ccc_priority_script,32,30,0:00:29,,2
1/6/2014,ccc_tax_script,2,1,0:07:42,,1
1/6/2014,ccc_311_calgary_combined,1649,1304,0:02:33,,345
2/6/2014,ccc_priority_script,41,40,0:00:25,,1
2/6/2014,ccc_tax_script,17,8,0:10:16,,9
2/6/2014,ccc_311_calgary_combined,6166,3990,0:07:51,,2176
3/6/2014,ccc_priority_script,42,41,0:00:18,,1
3/6/2014,ccc_tax_script,32,14,0:06:18,,18
3/6/2014,ccc_help_script,1,1,0:00:37,,0
3/6/2014,ccc_311_calgary_combined,5844,3823,0:06:43,,2021
