CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,BLN,BELTLINE,2004,,16119,11278,337,11090,0,2542,174,15,5,10552,327,0,126,21,46,1,2,0,9,0,74,9628,2277,14694,848,0,2,5,102,6,159,19,0,0,1,12,4,20,2,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,59,4,488,19,0,0,7,291,211,492,28,0,1,20,112,40,261,41,0,1,79,5779,3579,621,204,26,8903,7216,150,196,173,937,3206,1893,1161,548,397,242,129,212,213,1049,2439,1067,745,486,455,421,279,408,386,1986,5645,2960,1906,1034,852,663,2944590.25150000000,9694.22450135000
Residential,1,SCA,SCARBORO,2004,,889,344,63,604,0,298,334,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,298,879,13,2,0,0,52,122,54,92,6,438,451,22,69,25,21,44,76,82,48,27,24,24,71,33,15,43,82,87,39,28,29,46,140,58,36,87,158,169,87,55,53,453685.27209900000,3058.96749666000
Residential,1,PKD,PARKDALE,2004,,2032,1079,82,1491,0,439,545,62,24,275,18,0,153,0,0,1,1,0,0,0,0,270,46,318,5,0,0,0,121,4,184,28,0,4,1,53,33,125,5,3,0,0,0,0,0,0,0,0,0,18,0,26,2,4,4,0,2,0,207,0,0,0,0,10,0,17,0,8,0,0,511,356,1155,30,3,1,2,462,325,104,86,8,1018,1014,30,75,53,91,167,135,110,59,51,247,30,69,32,91,186,130,126,50,67,233,60,144,85,182,353,265,236,109,118,480,1050300.50110000000,5240.32401000000
Residential,1,POI,POINT MCKAY,2004,,1339,846,30,1083,0,659,0,24,0,312,510,0,0,0,0,0,0,0,0,0,1,296,227,429,15,0,0,0,0,0,0,0,0,0,0,21,20,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,412,868,14,0,0,0,0,0,0,0,0,0,0,397,332,61,22,1,629,710,11,25,19,39,97,88,143,111,61,35,11,18,22,59,95,80,147,119,79,80,22,43,41,98,192,168,290,230,140,115,383870.29305800000,2503.66356291000
Residential,1,SSD,SUNNYSIDE,2004,,3625,2350,116,2359,0,674,538,36,16,1450,192,0,111,0,5,0,0,0,2,0,14,1386,193,1993,50,0,0,0,97,3,131,13,0,1,0,35,18,73,1,0,0,0,0,0,0,0,0,0,0,13,3,20,3,0,0,0,5,0,8,2,0,0,1,179,131,348,9,3,0,3,506,326,1052,26,2,1,7,1154,821,174,71,1,1791,1834,48,63,28,215,660,366,248,88,42,33,51,51,52,315,656,299,209,94,47,60,99,114,80,530,1316,665,457,182,89,93,1022201.30510000000,5850.78674070000
Residential,1,EAU,EAU CLAIRE,2004,,1568,1074,62,827,0,556,1,0,0,1049,23,0,0,0,0,0,0,0,1,0,14,919,538,1522,48,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,18,44,1,0,0,0,1,0,2,0,0,0,1,432,428,58,22,2,792,776,31,23,15,32,85,141,191,134,102,38,21,12,15,41,106,119,164,143,105,50,52,35,30,73,191,260,355,277,207,88,516055.74500800000,3221.64393304000
Residential,1,CHN,CHINATOWN,2004,,1199,760,40,757,0,114,0,0,0,759,0,0,0,1,0,0,0,0,0,0,3,723,114,1189,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388,234,76,24,2,490,709,17,29,10,12,45,61,57,35,61,163,16,21,12,20,51,74,49,41,116,309,33,50,22,32,96,135,106,76,177,472,247558.48302100000,2670.20464203000
Residential,1,SPR,SPRUCE CLIFF,2004,,2976,1550,223,1742,0,534,324,88,0,950,124,0,62,0,0,0,1,0,1,0,6,780,209,1234,87,72,5,0,54,4,78,8,0,0,0,83,34,196,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,269,0,0,0,0,120,22,479,4,0,0,1,317,265,720,4,1,1,2,600,453,137,126,40,1344,1632,94,164,66,96,263,232,172,90,76,91,89,149,58,138,329,231,164,110,114,250,183,313,124,234,592,463,336,200,190,341,1081282.34020000000,4695.31014920000
Residential,1,FHT,FOREST HEIGHTS,2004,,6248,2130,514,3751,0,1448,944,468,0,31,572,0,114,0,0,0,1,0,0,0,0,31,1,42,0,0,0,0,96,11,190,14,0,4,0,446,281,1429,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,242,0,0,0,1,529,334,1470,41,0,1,1,927,821,2875,16,0,0,1,309,647,391,558,125,3140,3108,150,479,200,243,451,617,458,226,185,131,236,417,205,223,429,554,370,244,200,230,386,896,405,466,880,1171,828,470,385,361,1502426.84126000000,5192.34425423000
Residential,1,WGT,WESTGATE,2004,,3218,1353,192,2344,0,1027,923,54,0,165,192,0,19,0,0,0,0,0,0,0,0,158,82,268,7,0,0,0,14,2,22,5,0,0,0,51,26,116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,58,455,0,0,1,0,914,859,2357,9,0,0,0,329,483,244,254,18,1549,1669,75,176,104,98,204,247,261,138,146,100,75,199,93,83,224,283,254,156,181,121,150,375,197,181,428,530,515,294,327,221,1150950.80277000000,4551.83099229000
Residential,1,GRE,GREENWOOD/GREENBRIAR,2004,,972,501,67,722,0,441,1,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,440,971,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,147,204,60,51,4,483,489,21,36,24,24,45,78,79,77,70,29,28,43,20,27,45,71,89,82,48,36,49,79,44,51,90,149,168,159,118,65,1161083.69885000000,4768.21495514000
Industrial,2,NAW,NORTH AIRWAYS,2004,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209898.42603000000,5098.83875306000
Residential,1,COL,COLLINGWOOD,2004,,2286,956,105,1561,0,711,732,96,0,121,0,0,6,0,0,1,0,0,0,0,0,112,0,178,9,0,0,0,6,2,9,0,0,0,0,91,57,197,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,709,652,1902,23,0,0,1,194,377,130,204,13,1149,1137,49,151,78,89,134,154,203,81,99,111,32,125,75,85,99,188,184,96,135,118,81,276,153,174,233,342,387,177,234,229,1558978.72551000000,5580.25059678000
Residential,1,CAM,CAMBRIAN HEIGHTS,2004,,2008,912,106,1427,0,567,608,135,20,32,56,0,61,0,0,0,0,0,0,0,0,31,0,42,1,0,0,0,48,2,79,11,0,2,0,121,29,274,14,0,0,0,0,0,0,0,0,0,0,18,0,30,2,0,0,0,0,0,0,0,0,0,0,56,0,147,0,0,0,1,597,536,1436,10,0,0,0,226,361,134,142,8,980,1028,36,98,61,71,145,174,177,87,71,60,46,113,56,78,138,177,168,79,89,84,82,211,117,149,283,351,345,166,160,144,864001.18381800000,5162.65214973000
Residential,1,CRM,CRESTMONT,2004,,485,183,69,319,0,165,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,168,165,485,5,2,0,0,8,74,40,39,7,261,224,32,31,11,12,82,59,23,6,5,0,30,20,7,9,73,54,19,6,5,1,62,51,18,21,155,113,42,12,10,1,637397.74426400000,3194.15031221000
Residual Sub Area,4,01C,01C,2004,Y,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804738.14639000000,6776.52557481000
Residential,1,QPK,QUEENS PARK VILLAGE,2004,,357,188,9,260,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179,0,357,8,0,0,0,0,0,0,0,0,0,0,51,96,21,8,3,200,157,6,14,11,18,65,44,25,13,4,0,2,10,10,39,38,33,18,6,1,0,8,24,21,57,103,77,43,19,5,0,621438.82544100000,3372.98689694000
Major Park,3,COP,CANADA OLYMPIC PARK,2004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881358.93703700000,4107.58187484000
Residual Sub Area,4,01E,01E,2004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492941.66085800000,3058.33419179000
Residential,1,BNF,BANFF TRAIL,2004,,3515,1753,111,2482,0,750,1053,145,0,60,4,0,476,1,1,1,0,0,12,0,0,57,0,93,3,0,0,1,401,17,668,63,0,11,2,134,47,311,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,13,9,0,0,0,4,0,10,0,0,0,1,1021,686,2420,30,1,0,15,496,636,292,182,16,1801,1714,45,90,98,452,393,232,219,97,74,101,48,96,118,411,317,198,200,77,103,146,93,186,216,863,710,430,419,174,177,247,1451656.03686000000,5869.15123698000
Residential,1,RMT,ROSEMONT,2004,,1265,540,67,958,0,343,311,169,0,19,0,0,40,0,0,1,0,0,0,0,0,19,1,29,0,0,0,0,33,0,47,7,0,0,0,166,64,390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,305,278,797,5,0,0,1,134,199,73,112,6,607,658,28,63,38,79,72,97,109,35,47,39,21,95,38,64,87,97,97,48,66,45,49,158,76,143,159,194,206,83,113,84,449752.66437200000,2807.11494729000
Residual Sub Area,4,06B,06B,2004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720483.88450700000,3987.52660671000
Residential,1,MON,MONTGOMERY,2004,,3801,1668,229,2447,0,939,1136,273,0,43,51,0,151,0,7,0,2,0,5,0,0,42,0,48,1,0,0,0,126,5,213,13,0,12,0,258,131,646,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,264,2,0,0,0,50,0,139,1,0,0,3,1070,803,2491,58,1,4,14,434,608,273,219,22,1897,1904,95,164,106,191,353,336,281,150,105,116,80,154,99,152,323,316,239,136,125,280,175,318,205,343,676,652,520,286,230,396,2951500.78514000000,7352.52929254000
Residential,1,PIN,PINERIDGE,2004,,9862,3741,755,5695,0,2475,1732,604,0,714,628,0,63,0,0,0,0,0,0,0,1,690,216,1065,23,0,0,0,42,4,91,21,0,0,0,583,437,1765,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,588,315,1461,39,0,0,1,1690,1503,5480,41,0,0,0,812,1072,698,837,174,4919,4943,280,696,418,435,716,889,777,405,203,100,303,670,359,451,726,887,705,387,251,204,583,1366,777,886,1442,1776,1482,792,454,304,2640566.41814000000,6501.02476866000
Residential,1,TUX,TUXEDO PARK,2004,,4434,2534,217,3197,0,977,1184,266,23,518,198,0,338,3,2,1,0,0,1,0,5,479,52,659,30,0,4,2,267,4,410,53,0,16,2,240,105,575,21,2,1,0,0,0,0,0,0,0,0,20,4,36,3,0,0,0,6,1,37,1,0,0,0,189,71,355,7,2,0,12,1101,740,2362,65,6,0,7,956,857,293,177,19,2282,2152,96,119,98,215,606,512,337,140,92,67,80,134,86,237,499,410,263,117,143,183,176,253,184,452,1105,922,600,257,235,250,1322796.79934000000,4935.19350977000
Residential,1,RUN,RUNDLE,2004,,11157,3626,903,6534,0,2421,2225,174,0,0,1111,0,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,201,20,0,2,1,167,122,403,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,1049,365,2765,61,0,0,0,2184,1929,7783,41,0,0,1,391,1070,695,1034,304,5563,5594,339,823,429,560,832,905,812,514,255,94,363,851,433,530,846,912,810,469,250,130,702,1674,862,1090,1678,1817,1622,983,505,224,2641185.59181000000,6500.50722701000
Residential,1,CGR,COUGAR RIDGE,2004,,2147,983,294,1313,0,758,860,72,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,64,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,37,35,77,2,11,0,23,676,659,1886,17,144,0,1,77,330,173,195,10,1077,1070,126,138,42,33,362,229,101,32,13,1,121,128,25,58,397,201,93,31,15,1,247,266,67,91,759,430,194,63,28,2,2504180.70920000000,8123.43484810000
Residual Sub Area,4,06A,06A,2004,,50,13,2,32,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,50,1,0,0,0,0,1,3,7,1,33,17,1,7,7,5,0,2,8,1,1,1,0,1,4,1,1,2,7,0,1,0,1,8,11,6,1,4,15,1,2,1,3021333.08217000000,13791.56330420000
Residential,1,PAT,PATTERSON,2004,,4141,1992,275,2540,0,1394,542,165,0,668,617,0,0,0,0,0,0,0,0,0,0,539,187,996,94,0,35,0,0,0,0,0,0,0,0,158,145,330,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,551,1101,11,0,1,0,528,511,1714,14,0,0,0,544,728,236,292,30,2046,2095,108,199,121,150,319,357,393,225,106,68,114,212,103,139,343,421,356,204,114,89,222,411,224,289,662,778,749,429,220,157,1802021.16933000000,6613.11821887000
Residential,1,WLD,WILDWOOD,2004,,2586,1054,180,1850,0,941,1027,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,14,1,0,0,0,13,6,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,934,2545,22,0,0,0,218,396,161,241,12,1313,1273,68,191,98,68,116,244,219,107,100,102,69,142,73,47,138,250,205,104,126,119,137,333,171,115,254,494,424,211,226,221,2566063.48252000000,8641.18888147000
Residential,1,STA,ST. ANDREWS HEIGHTS,2004,,1500,718,69,854,0,367,405,0,0,178,132,0,1,0,0,0,2,0,0,0,70,100,0,137,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,123,0,0,0,0,91,23,212,41,0,0,0,391,344,1027,12,2,0,2,145,246,68,117,9,719,781,29,53,52,62,109,98,130,75,60,51,27,80,48,58,102,113,114,58,73,108,56,133,100,120,211,211,244,133,133,159,1160432.86400000000,4933.97528299000
Residential,1,WSP,WEST SPRINGS,2004,,3899,1623,514,2309,0,1325,1341,43,0,0,234,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,32,31,67,1,10,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,187,169,364,24,22,0,9,1148,1125,3461,44,140,0,1,162,469,309,401,28,1997,1902,250,287,92,83,436,499,214,78,49,9,197,251,88,74,518,467,175,72,50,10,447,538,180,157,954,966,389,150,99,19,4071173.00651000000,8272.16076155000
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2004,,2811,1107,103,2088,0,753,678,0,0,370,32,0,24,0,0,0,2,0,1,0,0,304,193,486,55,11,0,0,17,4,26,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,555,1,0,0,0,31,28,57,1,0,0,3,650,528,1687,23,2,0,3,296,389,127,186,6,1267,1544,32,137,55,94,133,168,205,101,103,239,40,131,44,73,140,182,187,112,135,500,72,268,99,167,273,350,392,213,238,739,1178022.00319000000,4704.71261117000
