id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,URL,Ward
14,104 SADDLELAKE DR NE,104 SADDLELAKE DR NE,SADDLE RIDGE,2014\/04\/07,2014\/04\/07,BP2013-16153,322,https:\/\/secondarysuites.calgary.ca,03
15,104 WESTMINSTER DR SW,104 WESTMINSTER DR SW,WESTGATE,2012\/12\/28,2012\/12\/27,BP2011-13440,96,https:\/\/secondarysuites.calgary.ca,08
16,105 THOMSON AV NE,105 THOMSON AV NE,BRIDGELAND\/RIVERSIDE,2015\/06\/30,2015\/06\/05,BP2014-16824,417,https:\/\/secondarysuites.calgary.ca,04
17,107R KINCORA GLEN RD NW,107 KINCORA GLEN RD NW,KINCORA,2014\/06\/25,2014\/06\/24,BP2012-17315,1,https:\/\/secondarysuites.calgary.ca,02
18,108 12A ST NE,108 12A ST NE,BRIDGELAND\/RIVERSIDE,2016\/03\/04,2016\/01\/27,BP2015-12407,468,https:\/\/secondarysuites.calgary.ca,04
19,108 EVANSVIEW RD NW,108 EVANSVIEW RD NW,EVANSTON,2016\/06\/16,2016\/06\/14,BP2015-16276,526,https:\/\/secondarysuites.calgary.ca,02
20,10804 5 ST SW,10804 5 ST SW,SOUTHWOOD,2011\/12\/22,2011\/12\/21,BP2011-03858,80,https:\/\/secondarysuites.calgary.ca,11
21,10821 5 ST SW,10821 5 ST SW,SOUTHWOOD,2016\/04\/25,2016\/04\/01,BP2015-05038,592,https:\/\/secondarysuites.calgary.ca,11
22,10823 5 ST SW,10823 5 ST SW,SOUTHWOOD,2016\/04\/25,2016\/04\/01,BP2015-05031,593,https:\/\/secondarysuites.calgary.ca,11
23,1089 BRIGHTONCREST CM SE,1089 BRIGHTONCREST CM SE,NEW BRIGHTON,2015\/04\/23,2015\/04\/01,BP2014-16984,419,https:\/\/secondarysuites.calgary.ca,12
24,1097 BRIGHTONCREST CM SE,1097 BRIGHTONCREST CM SE,NEW BRIGHTON,2015\/10\/16,2015\/09\/24,BP2014-19542,578,https:\/\/secondarysuites.calgary.ca,12
25,10G MURMANSK WY SW,10G MURMANSK WY SW,CFB - CURRIE,2011\/08\/23,2011\/08\/11,BP2010-11610,29,https:\/\/secondarysuites.calgary.ca,11
26,11 BRIGHTONWOODS CR SE,11 BRIGHTONWOODS CR SE,NEW BRIGHTON,2015\/03\/27,2015\/03\/27,BP2013-11962,298,https:\/\/secondarysuites.calgary.ca,12
27,1107 BERKLEY DR NW,1107 BERKLEY DR NW,BEDDINGTON HEIGHTS,2014\/04\/28,2014\/04\/28,BP2014-00146,337,https:\/\/secondarysuites.calgary.ca,04
28,111 SKYVIEW POINT RD NE,111 SKYVIEW POINT RD NE,SKYVIEW RANCH,2016\/05\/16,2016\/05\/16,BP2015-15128,524,https:\/\/secondarysuites.calgary.ca,03
29,1111 40 ST SE,1111 40 ST SE,FOREST LAWN,2015\/04\/08,2015\/03\/11,BP2014-15208,377,https:\/\/secondarysuites.calgary.ca,10
30,1112 38 ST SE,1112 38 ST SE,FOREST LAWN,2016\/02\/17,2015\/12\/04,BP2015-12652,449,https:\/\/secondarysuites.calgary.ca,10
31,1118 18 AV NW,1118 18 AV NW,CAPITOL HILL,2012\/10\/19,2012\/10\/19,BP2012-10140,174,https:\/\/secondarysuites.calgary.ca,07
32,1119 BERKLEY DR NW,1119 BERKLEY DR NW,BEDDINGTON HEIGHTS,2013\/07\/26,2013\/07\/26,BP2013-03689,255,https:\/\/secondarysuites.calgary.ca,04
33,111R KINCORA MR NW,111 KINCORA MR NW,SYMONS VALLEY,2012\/05\/18,2012\/05\/17,BP2011-15412,75,https:\/\/secondarysuites.calgary.ca,02
34,112 12 ST NW,112 12 ST NW,HILLHURST,2016\/08\/25,2016\/08\/25,BP2016-01898,575,https:\/\/secondarysuites.calgary.ca,07
35,112 SELKIRK DR SW,112 SELKIRK DR SW,SOUTHWOOD,2012\/04\/20,2012\/04\/18,BP2011-13482,97,https:\/\/secondarysuites.calgary.ca,11
36,1127 37 ST SE,1127 37 ST SE,FOREST LAWN,2014\/04\/03,2014\/04\/02,BP2013-18170,319,https:\/\/secondarysuites.calgary.ca,10
37,1129 MARTINDALE BV NE,1129 MARTINDALE BV NE,MARTINDALE,2015\/02\/19,2015\/01\/28,BP2014-12104,409,https:\/\/secondarysuites.calgary.ca,05
38,112R SILVERADO RANGE CL SW,112 SILVERADO RANGE CL SW,SILVERADO,2013\/04\/12,2013\/04\/11,BP2012-12700,189,https:\/\/secondarysuites.calgary.ca,13
39,113 EVANSBROOKE PA NW,113 EVANSBROOKE PA NW,EVANSTON,2016\/03\/10,2016\/03\/10,BP2016-00085,493,https:\/\/secondarysuites.calgary.ca,02
40,113 SADDLELAKE GR NE,113 SADDLELAKE GR NE,SADDLE RIDGE,2013\/04\/02,2013\/01\/31,BP2012-13182,206,https:\/\/secondarysuites.calgary.ca,03
41,1134 JAMIESON AV NE,1136 JAMIESON AV NE,BRIDGELAND\/RIVERSIDE,2015\/10\/09,2015\/10\/09,BP2011-15539,442,https:\/\/secondarysuites.calgary.ca,04
42,113G AUBURN CREST GR SE,113G AUBURN CREST GR SE,AUBURN BAY,2014\/07\/17,2014\/07\/11,BP2013-16822,317,https:\/\/secondarysuites.calgary.ca,12
43,1143 READER CR NE,1143 READER CR NE,RENFREW,2013\/10\/25,2013\/10\/23,BP2012-13936,216,https:\/\/secondarysuites.calgary.ca,04
44,114G ELGIN MEADOWS CI SE,114G ELGIN MEADOWS CI SE,MCKENZIE TOWNE,2011\/07\/05,2011\/06\/29,BP2010-11233,24,https:\/\/secondarysuites.calgary.ca,12
45,115 COPPERSTONE BV SE,115 COPPERSTONE BV SE,COPPERFIELD,2016\/09\/23,2016\/09\/23,BP2015-13464,,https:\/\/secondarysuites.calgary.ca,12
46,1152 RANCHLANDS BV NW,1152 RANCHLANDS BV NW,RANCHLANDS,2012\/12\/21,2012\/12\/21,BP2012-16226,221,https:\/\/secondarysuites.calgary.ca,02
47,116 6A ST NE,116 6A ST NE,BRIDGELAND\/RIVERSIDE,2011\/07\/05,2011\/06\/30,BP2011-02359,53,https:\/\/secondarysuites.calgary.ca,04
48,116 SADDLELAKE DR NE,116 SADDLELAKE DR NE,SADDLE RIDGE,2013\/03\/15,2013\/03\/15,BP2012-17550,237,https:\/\/secondarysuites.calgary.ca,03
49,1163 15 AV NE,1163 15 AV NE,RENFREW,2011\/03\/28,2011\/03\/25,BP2011-02531,54,https:\/\/secondarysuites.calgary.ca,04
50,1167 15 AV NE,1167 15 AV NE,RENFREW,2012\/09\/28,2012\/09\/26,BP2011-00239,44,https:\/\/secondarysuites.calgary.ca,04
51,116G PRESTWICK DR SE,116G PRESTWICK DR SE,MCKENZIE TOWNE,2010\/04\/26,2010\/04\/21,BP2009-13460,10,https:\/\/secondarysuites.calgary.ca,12
52,1171R RENFREW DR NE,1171 RENFREW DR NE,RENFREW,2012\/05\/22,2012\/05\/22,BP2012-02356,127,https:\/\/secondarysuites.calgary.ca,04
53,118G ELGIN MEADOWS CI SE,118G ELGIN MEADOWS CI SE,MCKENZIE TOWNE,2010\/05\/26,2010\/04\/16,BP2009-12795,9,https:\/\/secondarysuites.calgary.ca,12
54,118G QUARRY DR SE,118G QUARRY DR SE,DOUGLASDALE\/GLEN,2012\/02\/07,2012\/01\/17,BP2011-10310,440,https:\/\/secondarysuites.calgary.ca,12
55,1195R ABBEYDALE DR NE,1195 ABBEYDALE DR NE,ABBEYDALE,2012\/03\/27,2012\/02\/16,BP2011-06107,76,https:\/\/secondarysuites.calgary.ca,10
56,11G TOMMY PRINCE RD SW,11G TOMMY PRINCE RD SW,CFB - CURRIE,2012\/09\/14,2012\/09\/13,BP2012-02516,126,https:\/\/secondarysuites.calgary.ca,11
57,120 EVANSBROOKE LD NW,120 EVANSBROOKE LD NW,EVANSTON,2016\/04\/07,2016\/04\/07,BP2016-00154,507,https:\/\/secondarysuites.calgary.ca,02
58,1201 RENFREW DR NE,1201 RENFREW DR NE,RENFREW,2015\/02\/23,2015\/02\/23,BP2014-08258,367,https:\/\/secondarysuites.calgary.ca,09
59,1203 RENFREW DR NE,1203 RENFREW DR NE,RENFREW,2014\/08\/18,2014\/08\/18,BP2014-08259,368,https:\/\/secondarysuites.calgary.ca,09
60,1205 28 ST SE,1205 28 ST SE,ALBERT PARK\/RADISSON HEIGHTS,2016\/06\/06,2016\/05\/13,BP2016-01986,523,https:\/\/secondarysuites.calgary.ca,10
61,1216 RANCHLANDS BV NW,1216 RANCHLANDS BV NW,RANCHLANDS,2016\/05\/10,2016\/05\/06,BP2015-14914,520,https:\/\/secondarysuites.calgary.ca,02
62,1218R SANDPIPER RD NW,1218 SANDPIPER RD NW,SANDSTONE VALLEY,2014\/05\/26,2014\/05\/15,BP2013-03540,273,https:\/\/secondarysuites.calgary.ca,04
63,122 COVILLE CI NE,122 COVILLE CI NE,COVENTRY HILLS,2015\/05\/26,2015\/05\/01,BP2015-02318,424,https:\/\/secondarysuites.calgary.ca,03
64,122 QUARRY DR SE,122 QUARRY DR SE,DOUGLASDALE\/GLEN,2012\/06\/06,2012\/06\/06,BP2012-02316,129,https:\/\/secondarysuites.calgary.ca,12
65,1221 19 AV NW,1221 19 AV NW,CAPITOL HILL,2015\/02\/06,2015\/02\/06,BP2014-12098,415,https:\/\/secondarysuites.calgary.ca,07
66,1225 27 ST SE,1225 27 ST SE,ALBERT PARK\/RADISSON HEIGHTS,2015\/01\/14,2015\/01\/14,BP2013-16246,325,https:\/\/secondarysuites.calgary.ca,10
67,1231 COLGROVE AV NE,1231 COLGROVE AV NE,RENFREW,2014\/07\/14,2014\/07\/04,BP2014-04304,357,https:\/\/secondarysuites.calgary.ca,04
68,1238 3 ST NW,1238 3 ST NW,CRESCENT HEIGHTS,2013\/02\/12,2013\/02\/11,BP2012-12578,180,https:\/\/secondarysuites.calgary.ca,07
69,1238 RICHLAND RD NE,1238 RICHLAND RD NE,RENFREW,2015\/05\/20,2015\/04\/24,BP2014-19336,401,https:\/\/secondarysuites.calgary.ca,04
70,1243 MARDALE DR NE,1243 MARDALE DR NE,MARLBOROUGH,2010\/12\/07,2010\/11\/29,BP2010-10924,31,https:\/\/secondarysuites.calgary.ca,10
71,125 EVANSBROOKE WY NW,125 EVANSBROOKE WY NW,EVANSTON,2016\/07\/15,2016\/07\/15,BP2015-12394,552,https:\/\/secondarysuites.calgary.ca,02
72,125 SADDLELAKE GR NE,125 SADDLELAKE GR NE,SADDLE RIDGE,2014\/02\/13,2014\/02\/13,BP2013-11755,304,https:\/\/secondarysuites.calgary.ca,03
73,1252 FALCONRIDGE DR NE,1252 FALCONRIDGE DR NE,FALCONRIDGE,2015\/12\/09,2015\/12\/08,BP2015-02433,450,https:\/\/secondarysuites.calgary.ca,05
74,126 QUARRY DR SE,126 QUARRY DR SE,DOUGLASDALE\/GLEN,2012\/08\/21,2012\/08\/20,BP2012-02315,128,https:\/\/secondarysuites.calgary.ca,12
75,127 PRESTWICK LD SE,127 PRESTWICK LD SE,MCKENZIE TOWNE,2016\/09\/16,2016\/09\/16,BP2015-12991,585,https:\/\/secondarysuites.calgary.ca,14
76,129 SADDLELAKE GR NE,129 SADDLELAKE GR NE,SADDLE RIDGE,2013\/04\/02,2013\/01\/30,BP2012-13181,205,https:\/\/secondarysuites.calgary.ca,03
77,130 SHERWOOD MT NW,130 SHERWOOD MT NW,SHERWOOD,2015\/03\/20,2015\/02\/26,BP2014-10944,407,https:\/\/secondarysuites.calgary.ca,02
78,1304 4 ST NW,1304 4 ST NW,CRESCENT HEIGHTS,2013\/02\/15,2013\/02\/13,BP2012-10197,177,https:\/\/secondarysuites.calgary.ca,07
79,130G 7 AV NW,130G 7 AV NW,CRESCENT HEIGHTS,2016\/07\/19,2016\/07\/19,BP2015-14207,556,https:\/\/secondarysuites.calgary.ca,07
80,131 SADDLECREEK CO NE,131 SADDLECREEK CO NE,SADDLE RIDGE,2016\/06\/15,2016\/05\/24,BP2015-14003,528,https:\/\/secondarysuites.calgary.ca,03
81,1310 10 AV SE,1310 10 AV SE,INGLEWOOD,2016\/07\/29,2016\/07\/29,BP2015-15178,560,https:\/\/secondarysuites.calgary.ca,09
82,1336 37 ST SE,1336 37 ST SE,FOREST LAWN,2015\/08\/24,2015\/07\/31,BP2015-07793,433,https:\/\/secondarysuites.calgary.ca,10
83,134 COVINGTON RD NE,136 COVINGTON RD NE,COVENTRY HILLS,2015\/06\/01,2015\/05\/29,BP2015-02252,423,https:\/\/secondarysuites.calgary.ca,03
84,134G WESTOVER DR SW,134G WESTOVER DR SW,WESTGATE,2011\/02\/14,2011\/02\/11,BP2010-00461,12,https:\/\/secondarysuites.calgary.ca,08
85,135 19 AV NE,135 19 AV NE,TUXEDO PARK,2015\/07\/10,2015\/06\/22,BP2014-17741,420,https:\/\/secondarysuites.calgary.ca,04
86,135 FALSBY RD NE,135 FALSBY RD NE,FALCONRIDGE,2014\/07\/14,2014\/07\/04,BP2014-04968,358,https:\/\/secondarysuites.calgary.ca,05
87,137 PANAMOUNT PL NW,137 PANAMOUNT PL NW,PANORAMA HILLS,2015\/06\/03,2015\/05\/11,BP2014-17172,421,https:\/\/secondarysuites.calgary.ca,03
88,137R COUNTRY HILLS PL NW,137 COUNTRY HILLS PL NW,COUNTRY HILLS,2015\/03\/24,2015\/03\/24,BP2014-14058,388,https:\/\/secondarysuites.calgary.ca,04
89,138G ELGIN VW SE,138G ELGIN VW SE,MCKENZIE TOWNE,2015\/10\/09,2015\/10\/09,BP2013-01875,446,https:\/\/secondarysuites.calgary.ca,12
90,139 ELGIN MEADOWS WY SE,139 ELGIN MEADOWS WY SE,MCKENZIE TOWNE,2014\/10\/31,2014\/10\/08,BP2014-10572,412,https:\/\/secondarysuites.calgary.ca,12
91,139 MARTIN CROSSING GV NE,255 MARTINDALE DR NE,MARTINDALE,2013\/07\/23,2013\/07\/22,BP2013-03746,258,https:\/\/secondarysuites.calgary.ca,05
92,14 MONTROSE CR NE,14 MONTROSE CR NE,WINSTON HEIGHTS\/MOUNTVIEW,2011\/04\/11,2011\/02\/28,BP2010-14141,30,https:\/\/secondarysuites.calgary.ca,04
93,14 SKYVIEW RANCH ST NE,14 SKYVIEW RANCH ST NE,SKYVIEW RANCH,2013\/09\/17,2013\/09\/17,BP2013-07001,281,https:\/\/secondarysuites.calgary.ca,03
94,140 EVERHOLLOW ST SW,140 EVERHOLLOW ST SW,EVERGREEN,2016\/08\/02,2016\/04\/29,BP2015-06678,568,https:\/\/secondarysuites.calgary.ca,13
95,140 HENDON DR NW,140 HENDON DR NW,HIGHWOOD,2013\/04\/30,2013\/04\/30,BP2012-15891,191,https:\/\/secondarysuites.calgary.ca,04
96,1408 38 ST SW,1406 38 ST SW,ROSSCARROCK,2012\/07\/24,2012\/06\/29,BP2012-01389,123,https:\/\/secondarysuites.calgary.ca,08
97,141 EVEROAK PA SW,141 EVEROAK PA SW,EVERGREEN,2012\/02\/10,2012\/02\/08,BP2011-02416,55,https:\/\/secondarysuites.calgary.ca,13
98,141 SADDLELAKE GR NE,141 SADDLELAKE GR NE,SADDLE RIDGE,2013\/02\/08,2013\/02\/06,BP2012-13179,204,https:\/\/secondarysuites.calgary.ca,03
99,1411 18 ST NE,1411 18 ST NE,MAYLAND HEIGHTS,2011\/12\/05,2011\/12\/02,BP2011-08463,77,https:\/\/secondarysuites.calgary.ca,03
100,143 ABINGDON WY NE,143 ABINGDON WY NE,ABBEYDALE,2015\/11\/24,2015\/11\/24,BP2014-06260,448,https:\/\/secondarysuites.calgary.ca,10
101,1430G 11 AV SE,1430G 11 AV SE,INGLEWOOD,2014\/04\/10,2013\/06\/07,BP2009-12323,8,https:\/\/secondarysuites.calgary.ca,09
102,1439G CHILD AV NE,1439G CHILD AV NE,RENFREW,2015\/04\/23,2015\/04\/01,BP2013-09205,290,https:\/\/secondarysuites.calgary.ca,04
103,145 TARALAKE CM NE,145 TARALAKE CM NE,TARADALE,2014\/09\/19,2014\/09\/19,BP2014-06599,366,https:\/\/secondarysuites.calgary.ca,03
104,146 SKYVIEW SHORES CR NE,146 SKYVIEW SHORES CR NE,SKYVIEW RANCH,2013\/05\/17,2013\/05\/17,BP2012-07140,159,https:\/\/secondarysuites.calgary.ca,03
105,1465 RUSSELL RD NE,1465 RUSSELL RD NE,RENFREW,2013\/03\/22,2013\/03\/21,BP2012-16090,223,https:\/\/secondarysuites.calgary.ca,04
106,147 ST MORITZ TC SW,147 ST MORITZ TC SW,SPRINGBANK HILL,2015\/05\/25,2015\/05\/22,BP2014-16397,416,https:\/\/secondarysuites.calgary.ca,06
107,1479 BERKLEY DR NW,1479 BERKLEY DR NW,BEDDINGTON HEIGHTS,2016\/06\/09,2016\/06\/09,BP2016-00767,537,https:\/\/secondarysuites.calgary.ca,04
108,148 SKYVIEW RANCH ST NE,146 SKYVIEW RANCH ST NE,SKYVIEW RANCH,2015\/05\/11,2015\/05\/08,BP2015-00471,402,https:\/\/secondarysuites.calgary.ca,03
109,149 SADDLECREST PL NE,149 SADDLECREST PL NE,SADDLE RIDGE,2014\/02\/03,2014\/02\/03,BP2013-02867,267,https:\/\/secondarysuites.calgary.ca,03
110,1493 COPPERFIELD BV SE,1493 COPPERFIELD BV SE,COPPERFIELD,2013\/04\/09,2013\/04\/09,BP2013-00282,238,https:\/\/secondarysuites.calgary.ca,12
111,1496 PANATELLA BV NW,1496 PANATELLA BV NW,PANORAMA HILLS,2013\/05\/28,2013\/05\/27,BP2012-17287,234,https:\/\/secondarysuites.calgary.ca,03
112,14R ARBOUR LAKE PL NW,14 ARBOUR LAKE PL NW,ARBOUR LAKE,2016\/06\/02,2016\/06\/02,BP2016-03863,534,https:\/\/secondarysuites.calgary.ca,02
113,14R WALDEN CR SE,14 WALDEN CR SE,WALDEN,2013\/06\/21,2013\/06\/19,BP2013-03079,271,https:\/\/secondarysuites.calgary.ca,14
114,150 COVEMEADOW CL NE,150 COVEMEADOW CL NE,COVENTRY HILLS,2015\/10\/09,2015\/10\/09,BP2013-14957,434,https:\/\/secondarysuites.calgary.ca,03
115,1503 46 ST SE,1501 46 ST SE,FOREST LAWN,2016\/04\/25,2016\/04\/01,BP2016-01539,502,https:\/\/secondarysuites.calgary.ca,10
116,1506 40 ST SE,1506 40 ST SE,FOREST LAWN,2011\/01\/28,2011\/01\/21,BP2010-10096,22,https:\/\/secondarysuites.calgary.ca,10
117,150G ELGIN MEADOWS WY SE,150G ELGIN MEADOWS WY SE,MCKENZIE TOWNE,2012\/03\/27,2012\/03\/02,BP2011-12387,92,https:\/\/secondarysuites.calgary.ca,12
118,151 SKYVIEW SHORES CR NE,151 SKYVIEW SHORES CR NE,SKYVIEW RANCH,2012\/10\/19,2012\/10\/19,BP2012-01540,124,https:\/\/secondarysuites.calgary.ca,03
119,15136G PRESTWICK BV SE,15136G PRESTWICK BV SE,MCKENZIE TOWNE,2011\/04\/21,2011\/04\/18,BP2010-09782,21,https:\/\/secondarysuites.calgary.ca,14
120,15151G PRESTWICK BV SE,15151G PRESTWICK BV SE,MCKENZIE TOWNE,2013\/06\/21,2013\/06\/07,BP2012-16785,228,https:\/\/secondarysuites.calgary.ca,14
121,1519 48 ST SE,1519 48 ST SE,FOREST LAWN,2014\/11\/14,2014\/10\/23,BP2013-17130,321,https:\/\/secondarysuites.calgary.ca,10
122,152 COPPERFIELD CM SE,152 COPPERFIELD CM SE,COPPERFIELD,2013\/01\/18,2013\/01\/16,BP2011-06135,79,https:\/\/secondarysuites.calgary.ca,12
123,152G ELGIN TC SE,152G ELGIN TC SE,MCKENZIE TOWNE,2015\/02\/19,2015\/02\/19,BP2014-15359,418,https:\/\/secondarysuites.calgary.ca,12
124,1535 36 ST SE,1535 36 ST SE,ALBERT PARK\/RADISSON HEIGHTS,2012\/11\/30,2012\/11\/28,BP2012-12953,207,https:\/\/secondarysuites.calgary.ca,10
125,1536R 40 ST SE,1536 40 ST SE,FOREST LAWN,2016\/09\/07,2016\/09\/07,BP2016-01780,579,https:\/\/secondarysuites.calgary.ca,10
126,154 PANATELLA PR NW,154 PANATELLA PR NW,PANORAMA HILLS,2014\/08\/12,2014\/07\/22,BP2014-06626,369,https:\/\/secondarysuites.calgary.ca,03
127,154 SKYVIEW RANCH ST NE,154 SKYVIEW RANCH ST NE,SKYVIEW RANCH,2015\/07\/10,2015\/06\/18,BP2015-00210,394,https:\/\/secondarysuites.calgary.ca,03
128,154 SKYVIEW SHORES CR NE,154 SKYVIEW SHORES CR NE,SKYVIEW RANCH,2014\/04\/03,2014\/02\/12,BP2013-02421,253,https:\/\/secondarysuites.calgary.ca,03
129,1543 8 AV SE,1543 8 AV SE,INGLEWOOD,2014\/06\/03,2014\/05\/12,BP2013-11417,295,https:\/\/secondarysuites.calgary.ca,09
130,156 CEDARBROOK WY SW,156 CEDARBROOK WY SW,CEDARBRAE,2016\/04\/06,2016\/04\/06,BP2015-11763,506,https:\/\/secondarysuites.calgary.ca,11
131,156 SKYVIEW POINT RD NE,156 SKYVIEW POINT RD NE,SKYVIEW RANCH,2014\/12\/05,2014\/10\/02,BP2014-08630,371,https:\/\/secondarysuites.calgary.ca,03
132,157 EVEROAK PA SW,157 EVEROAK PA SW,EVERGREEN,2014\/04\/03,2014\/03\/12,BP2012-08809,172,https:\/\/secondarysuites.calgary.ca,13
133,158 SKYVIEW POINT CR NE,158 SKYVIEW POINT CR NE,SKYVIEW RANCH,2013\/09\/27,2013\/09\/26,BP2013-02859,251,https:\/\/secondarysuites.calgary.ca,03
134,159 BERMUDA WY NW,159 BERMUDA WY NW,BEDDINGTON HEIGHTS,2016\/02\/04,2016\/01\/29,BP2014-00676,480,https:\/\/secondarysuites.calgary.ca,04
135,15G TOMMY PRINCE RD SW,15G TOMMY PRINCE RD SW,CFB - CURRIE,2011\/10\/17,2011\/08\/10,BP2011-00300,43,https:\/\/secondarysuites.calgary.ca,11
136,15R COUGAR RIDGE RI SW,15 COUGAR RIDGE RI SW,COUGAR RIDGE,2014\/02\/05,2014\/02\/05,BP2013-04260,260,https:\/\/secondarysuites.calgary.ca,01
137,16 CEDARDALE ME SW,16 CEDARDALE ME SW,CEDARBRAE,2014\/01\/14,2014\/01\/14,BP2013-07816,287,https:\/\/secondarysuites.calgary.ca,11
138,16 FONDA ME SE,16 FONDA ME SE,FOREST HEIGHTS,2016\/04\/25,2016\/03\/31,BP2015-16244,500,https:\/\/secondarysuites.calgary.ca,10
139,1609 42 ST SW,1607 42 ST SW,ROSSCARROCK,2013\/09\/13,2013\/09\/12,BP2013-13272,302,https:\/\/secondarysuites.calgary.ca,08
140,161 HARVEST GOLD CI NE,161 HARVEST GOLD CI NE,HARVEST HILLS,2016\/01\/14,2016\/01\/14,BP2015-12569,463,https:\/\/secondarysuites.calgary.ca,03
141,1611 43 ST SW,1611 43 ST SW,ROSSCARROCK,2014\/10\/06,2014\/09\/12,BP2013-17430,326,https:\/\/secondarysuites.calgary.ca,08
142,165 HARVEST ROSE CI NE,165 HARVEST ROSE CI NE,HARVEST HILLS,2016\/04\/26,2016\/04\/04,BP2013-17426,586,https:\/\/secondarysuites.calgary.ca,03
143,169 BURMA STAR RD SW,169G BURMA STAR RD SW,CFB - CURRIE,2016\/08\/11,2016\/08\/11,BP2015-13133,566,https:\/\/secondarysuites.calgary.ca,11
144,16G DIEPPE DR SW,16G DIEPPE DR SW,CFB - CURRIE,2015\/08\/21,2015\/08\/21,BP2014-18988,397,https:\/\/secondarysuites.calgary.ca,11
145,16G HONG KONG RD SW,16G HONG KONG RD SW,CFB - CURRIE,2015\/03\/12,2015\/03\/12,BP2012-14983,190,https:\/\/secondarysuites.calgary.ca,11
146,16R WALDEN CO SE,16 WALDEN CO SE,WALDEN,2014\/02\/06,2014\/02\/06,BP2013-02649,256,https:\/\/secondarysuites.calgary.ca,14
147,16R WALDEN VW SE,16 WALDEN VW SE,WALDEN,2012\/10\/30,2012\/10\/29,BP2012-07031,158,https:\/\/secondarysuites.calgary.ca,14
148,171 COVERTON CL NE,171 COVERTON CL NE,COVENTRY HILLS,2016\/04\/20,2016\/04\/20,BP2016-01759,512,https:\/\/secondarysuites.calgary.ca,03
149,1726 45 ST SE,1726 45 ST SE,FOREST LAWN,2012\/01\/17,2012\/01\/11,BP2011-00133,41,https:\/\/secondarysuites.calgary.ca,10
150,1727 61 ST NE,1727 61 ST NE,PINERIDGE,2016\/06\/22,2016\/05\/31,BP2015-02056,532,https:\/\/secondarysuites.calgary.ca,05
151,173 RIVERGLEN DR SE,173 RIVERGLEN DR SE,RIVERBEND,2010\/10\/08,2010\/10\/07,BP2010-04204,13,https:\/\/secondarysuites.calgary.ca,09
152,1734G 32 ST SW,1734G 32 ST SW,SHAGANAPPI,2016\/03\/29,2016\/03\/29,BP2015-16199,497,https:\/\/secondarysuites.calgary.ca,08
153,174 NOLAN HILL DR NW,174 NOLAN HILL DR NW,NOLAN HILL,2014\/11\/26,2014\/11\/26,BP2014-13545,385,https:\/\/secondarysuites.calgary.ca,02
