"Date","Vehicle ID","Vehicle Type","KM Trvld"
"2016/04/11 00:00:00","RE9409 (11119-PC)","Sweeper","13"
"2016/04/09 00:00:00","RE9401 (11151-PC)","Sweeper","81"
"2016/05/03 00:00:00","RE9401 (11151-PC)","Sweeper","98"
"2016/05/06 00:00:00","RE9401 (11151-PC)","Sweeper","65"
"2016/04/05 00:00:00","RE9415 (11139-PC)","Sweeper","81"
"2016/04/10 00:00:00","RE9406 (11155-PC)","Sweeper","25"
"2016/04/28 00:00:00","RE9406 (11155-PC)","Sweeper","138"
"2016/04/14 00:00:00","RE9406 (11155-PC)","Sweeper","110"
"2016/04/06 00:00:00","RE9406 (11155-PC)","Sweeper","95"
"2016/04/05 00:00:00","RE9406 (11155-PC)","Sweeper","51"
"2016/04/27 00:00:00","RE9406 (11155-PC)","Sweeper","64"
"2016/05/02 00:00:00","RE9406 (11155-PC)","Sweeper","85"
"2016/05/09 00:00:00","RE9406 (11155-PC)","Sweeper","23"
"2016/05/04 00:00:00","RE9406 (11155-PC)","Sweeper","7"
"2016/04/28 00:00:00","RE9413 (11131-PC)","Sweeper","87"
"2016/04/05 00:00:00","RE9413 (11131-PC)","Sweeper","21"
"2016/05/03 00:00:00","RE9413 (11131-PC)","Sweeper","56"
"2016/04/14 00:00:00","RE9414 (11114-PC)","Sweeper","121"
"2016/04/27 00:00:00","RE9414 (11114-PC)","Sweeper","46"
"2016/04/14 00:00:00","RE9417 (11138-PC)","Sweeper","58"
"2016/04/18 00:00:00","RE9417 (11138-PC)","Sweeper","15"
"2016/05/03 00:00:00","RE9417 (11138-PC)","Sweeper","41"
"2016/04/23 00:00:00","RE9417 (11138-PC)","Sweeper","10"
"2016/04/25 00:00:00","RE9405 (11153-PC)","Sweeper","72"
"2016/04/10 00:00:00","RE9405 (11153-PC)","Sweeper","4"
"2016/04/14 00:00:00","RE9405 (11153-PC)","Sweeper","3"
"2016/04/22 00:00:00","RE9405 (11153-PC)","Sweeper","53"
"2016/04/30 00:00:00","RE9404 (11121-PC)","Sweeper","2"
"2016/04/25 00:00:00","RE9418 (11140-PC)","Sweeper","81"
"2016/04/10 00:00:00","RE9418 (11140-PC)","Sweeper","87"
"2016/04/26 00:00:00","RE9418 (11140-PC)","Sweeper","112"
"2016/04/14 00:00:00","RE9418 (11140-PC)","Sweeper","142"
"2016/04/04 00:00:00","RE9418 (11140-PC)","Sweeper","78"
"2016/05/04 00:00:00","RE9418 (11140-PC)","Sweeper","106"
"2016/05/05 00:00:00","RE9418 (11140-PC)","Sweeper","143"
"2016/04/07 00:00:00","RE9400 (11137-PC)","Sweeper","80"
"2016/04/06 00:00:00","RE9400 (11137-PC)","Sweeper","109"
"2016/04/22 00:00:00","RE9400 (11137-PC)","Sweeper","100"
"2016/04/30 00:00:00","RE9400 (11137-PC)","Sweeper","66"
"2016/05/09 00:00:00","RE9400 (11137-PC)","Sweeper","55"
"2016/04/26 00:00:00","RE9410 (11132-PC)","Sweeper","43"
"2016/04/13 00:00:00","RE9410 (11132-PC)","Sweeper","2"
"2016/05/10 00:00:00","RE9410 (11132-PC)","Sweeper","44"
"2016/05/05 00:00:00","RE9410 (11132-PC)","Sweeper","174"
"2016/04/26 00:00:00","RE9420 (11128-PC)","Sweeper","60"
"2016/04/20 00:00:00","RE9420 (11128-PC)","Sweeper","120"
"2016/04/08 00:00:00","RE9420 (11128-PC)","Sweeper","102"
"2016/04/05 00:00:00","RE9412 (11133-PC)","Sweeper","25"
"2016/04/19 00:00:00","RE9412 (11133-PC)","Sweeper","58"
"2016/04/12 00:00:00","RE9412 (11133-PC)","Sweeper","131"
"2016/04/18 00:00:00","RE9412 (11133-PC)","Sweeper","30"
"2016/04/14 00:00:00","RE9419 (11129-PC)","Sweeper","38"
"2016/04/22 00:00:00","RE9419 (11129-PC)","Sweeper","7"
"2016/04/22 00:00:00","HB13670","Sweeper","71"
"2016/04/09 00:00:00","HB13670","Sweeper","68"
"2016/04/08 00:00:00","HB13670","Sweeper","93"
"2016/05/07 00:00:00","HB13670","Sweeper","45"
"2016/04/04 00:00:00","RE9411 (11127-PC)","Sweeper","123"
"2016/04/05 00:00:00","RE9409 (11119-PC)","Sweeper","76"
"2016/04/04 00:00:00","RE9416 (11136-PC)","Sweeper","5"
"2016/04/25 00:00:00","RE9401 (11151-PC)","Sweeper","25"
"2016/04/26 00:00:00","RE9401 (11151-PC)","Sweeper","35"
"2016/05/07 00:00:00","RE9401 (11151-PC)","Sweeper","13"
"2016/04/10 00:00:00","RE9415 (11139-PC)","Sweeper","58"
"2016/04/21 00:00:00","RE9406 (11155-PC)","Sweeper","11"
"2016/04/11 00:00:00","RE9406 (11155-PC)","Sweeper","44"
"2016/05/10 00:00:00","RE9406 (11155-PC)","Sweeper","96"
"2016/05/07 00:00:00","RE9406 (11155-PC)","Sweeper","48"
"2016/04/23 00:00:00","RE9413 (11131-PC)","Sweeper","52"
"2016/04/04 00:00:00","RE9413 (11131-PC)","Sweeper","52"
"2016/04/22 00:00:00","RE9414 (11114-PC)","Sweeper","21"
"2016/05/09 00:00:00","RE9414 (11114-PC)","Sweeper","71"
"2016/04/25 00:00:00","RE9417 (11138-PC)","Sweeper","4"
"2016/04/29 00:00:00","RE9417 (11138-PC)","Sweeper","2"
"2016/05/06 00:00:00","RE9417 (11138-PC)","Sweeper","51"
