DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
25/07/2016;31/07/2016;BICICLETA PUBLICA;1.326;1.318;8;165;1.153;8;158;0;0
25/07/2016;31/07/2016;SEÑALIZACION ;50;50;0;50;0;0;1;0;4
25/07/2016;31/07/2016;SER;585;320;265;188;132;265;104;0;0
25/07/2016;31/07/2016;TOTAL;1.961;1.688;273;403;1.285;273;263;0;4
01/08/2016;07/08/2016;BICICLETA PUBLICA;1.335;1.329;6;159;1.170;6;141;0;0
01/08/2016;07/08/2016;SEÑALIZACION ;54;49;5;49;0;5;1;0;2
01/08/2016;07/08/2016;SER;373;366;7;121;245;7;63;0;0
01/08/2016;07/08/2016;TOTAL;1.762;1.744;18;329;1.415;18;205;0;2
08/08/2016;14/08/2016;BICICLETA PUBLICA;1.242;1.222;20;47;1.175;18;46;2;3
08/08/2016;14/08/2016;SEÑALIZACION ;62;43;19;42;1;18;1;1;5
08/08/2016;14/08/2016;SER;406;14;392;14;0;392;12;0;0
08/08/2016;14/08/2016;TOTAL;1.710;1.279;431;103;1.176;428;59;3;8
15/08/2016;21/08/2016;BICICLETA PUBLICA;1.414;1.399;15;120;1.279;15;114;0;2
15/08/2016;21/08/2016;SEÑALIZACION ;62;53;9;51;2;9;5;0;4
15/08/2016;21/08/2016;SER;329;19;310;10;9;310;6;0;0
15/08/2016;21/08/2016;TOTAL;1.805;1.471;334;181;1.290;334;125;0;6
22/08/2016;28/08/2016;BICICLETA PUBLICA;1.753;1.722;31;201;1.521;31;198;0;0
22/08/2016;28/08/2016;SEÑALIZACION ;71;64;7;63;1;7;5;0;3
22/08/2016;28/08/2016;SER;467;286;181;33;253;181;29;0;0
22/08/2016;28/08/2016;TOTAL;2.291;2.072;219;297;1.775;219;232;0;3
29/08/2016;04/09/2016;BICICLETA PUBLICA;2.278;2.264;14;481;1.783;14;461;0;1
29/08/2016;04/09/2016;SEÑALIZACION ;104;101;3;101;0;3;1;0;5
29/08/2016;04/09/2016;SER;425;422;3;117;305;1;37;2;1
29/08/2016;04/09/2016;TOTAL;2.807;2.787;20;699;2.088;18;499;2;7
05/09/2016;11/09/2016;BICICLETA PUBLICA;2.925;2.905;20;598;2.307;20;530;0;0
05/09/2016;11/09/2016;SEÑALIZACION ;137;137;0;137;0;0;3;0;7
05/09/2016;11/09/2016;SER;645;642;3;144;498;3;54;0;1
05/09/2016;11/09/2016;TOTAL;3.707;3.684;23;879;2.805;23;587;0;8
12/09/2016;18/09/2016;BICICLETA PUBLICA;2.786;2.753;33;530;2.223;33;508;0;1
12/09/2016;18/09/2016;SEÑALIZACION ;135;129;6;129;0;6;8;0;3
12/09/2016;18/09/2016;SER;669;668;1;177;491;1;53;0;0
12/09/2016;18/09/2016;TOTAL;3.590;3.550;40;836;2.714;40;569;0;4
19/09/2016;25/09/2016;BICICLETA PUBLICA;2.772;2.749;23;563;2.186;23;541;0;1
19/09/2016;25/09/2016;SEÑALIZACION ;106;106;0;106;0;0;4;0;10
19/09/2016;25/09/2016;SER;636;633;3;161;472;3;45;0;0
19/09/2016;25/09/2016;TOTAL;3.514;3.488;26;830;2.658;26;590;0;11
26/09/2016;02/10/2016;BICICLETA PUBLICA;2.645;2.624;21;687;1.937;20;535;1;0
26/09/2016;02/10/2016;SEÑALIZACION ;108;108;0;108;0;0;2;0;8
26/09/2016;02/10/2016;SER;769;493;276;178;315;276;60;0;0
26/09/2016;02/10/2016;TOTAL;3.522;3.225;297;973;2.252;296;597;1;8
03/10/2016;09/10/2016;BICICLETA PUBLICA;2.321;2.279;42;236;2.043;42;213;0;0
03/10/2016;09/10/2016;SEÑALIZACION ;135;135;0;135;0;0;0;0;7
03/10/2016;09/10/2016;SER;596;232;364;112;120;364;40;0;0
03/10/2016;09/10/2016;TOTAL;3.052;2.646;406;483;2.163;406;253;0;7
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
