Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Número de Plazas
130;440498,2;4476985,78;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;124;24
131;440293,58;4477026,74;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;BRAVO MURILLO, CALLE, DE;44;24
132;440334,34;4477541,61;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;168;24
133;440637,08;4477625,61;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;DULCINEA, CALLE, DE;3;24
134;441017,64;4477274,53;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;MARIA DE GUZMAN, CALLE, DE;58;24
135;441237,58;4476989,99;01/04/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;SAN JUAN DE LA CRUZ, PLAZA, DE;S/N;24
136;441417,02;4477410,33;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;106;24
137;441885,33;4477430,27;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;REPUBLICA ARGENTINA, PLAZA, DE LA;6;24
138;441352,15;4477455,81;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;CASTELLANA, PASEO, DE LA;S/N;24
139;441440,29;4476752,98;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;JOSE GUTIERREZ ABASCAL, CALLE, DE;S/N;24
140;442081,57;4476664,17;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;VELAZQUEZ, CALLE, DE;134;24
141;441537,59;4476315,08;01/07/2015;07  CHAMBERÍ;07-04 ALMAGRO;CASTELLANA, PASEO, DE LA;43;24
142;441641,97;4476103,45;01/07/2015;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;S/N;24
143;442474,52;4476217,99;01/07/2015;04  SALAMANCA;04-05 LISTA;DIEGO DE LEON, CALLE, DE;54;24
144;442707,06;4475962,33;20/06/2015;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;50;24
145;443050,8;4475674,99;01/07/2015;04  SALAMANCA;04-05 LISTA;JOSE ORTEGA Y GASSET, CALLE, DE;87;24
146;442434,99;4477286,31;20/06/2015;05  CHAMARTÍN;05-01 EL VISO;MARIA FRANCISCA, CALLE, DE;1;24
147;442372,1;4477741,71;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;DOCTOR ARCE, AVENIDA, DEL;45;24
148;442194,62;4478041,41;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;SERRANO, CALLE, DE;210;24
149;441672,37;4477914,72;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;LA HABANA, PASEO, DE;42;24
150;441444,05;4477840,59;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;S/N;24
151;441047,09;4477810,46;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;10;24
152;440733,5;4478240,82;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;24
153;441229,67;4478195,07;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;24
154;441096,52;4478466,6;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;36;24
155;440572,97;4478750,49;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL YAGÜE, CALLE, DEL;55;24
156;441385,88;4478959,93;01/07/2015;06  TETUÁN;06-03 CASTILLEJOS;SOR ANGELA DE LA CRUZ, CALLE, DE;S/N;24
157;441554,84;4478963,2;01/07/2015;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;CASTELLANA, PASEO, DE LA;S/N;24
158;441946,46;4478886,67;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;ALBERTO ALCOCER, AVENIDA, DE;22 A;24
159;442024,96;4478401,51;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;LA HABANA, PASEO, DE;63;24
160;442637,46;4478722,46;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;COLOMBIA, CALLE, DE;7;24
161;438754,04;4474852,84;01/07/2015;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;6;24
162;439688,47;4472787,76;01/07/2015;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;28;24
163;440055,04;4472797,85;01/07/2015;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;2a;24
164;441064,15;4472071,33;01/07/2015;02  ARGANZUELA;02-05 DELICIAS;DELICIAS, PASEO, DE LAS;92;24
165;440779,23;4471608,61;01/07/2015;02  ARGANZUELA;02-03 CHOPERA;CHOPERA, PASEO, DE LA;47;24
166;439477,71;4473947,39;23/06/2016;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;21;24
