COMMUNITY9,COMMUNIT_1,CLASS,CLASS_CODE,COMM_CODE,NAME,ID,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,FOIP_IND,OBJECTID,SHAPE_AREA,SHAPE_LEN
136,135,Residential,1,SHG,SHAGANAPPI,136,1999,1718,838,82,873,336,392,78,0,176,19,0,83,0,0,0,91,3,0,0,168,6,244,8,0,73,6,116,6,0,78,18,195,0,0,0,0,0,0,0,90,0,258,4,0,18,8,31,1,1,378,298,874,8,847,871,35,74,29,52,172,165,105,39,97,79,35,54,35,70,163,133,82,52,136,111,70,128,64,122,335,298,187,91,233,190,312,300,102,79,12,,135,1481735.92688000000,5717.87718806000
138,137,Residential,1,ESP,EAST SPRINGBANK,138,1999,153,55,7,71,40,52,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,39,146,2,78,75,2,7,10,4,9,15,7,7,14,3,4,8,6,2,10,17,4,12,9,3,6,15,16,6,19,32,11,19,23,6,6,21,7,15,3,,137,3811124.12542000000,8898.27710649000
140,139,Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,140,1999,6495,2516,649,3334,941,931,421,26,522,312,1,306,0,0,0,0,0,0,0,529,27,1035,19,1,265,14,539,29,1,403,178,1291,15,0,1,1,1,0,0,0,0,0,0,1,304,0,945,7,1,920,721,2684,9,3367,3128,252,420,219,331,727,621,344,226,149,78,267,399,200,275,613,509,316,231,199,119,519,819,419,606,1340,1130,660,457,348,197,527,795,479,503,118,,139,2506051.21200000000,8228.05994145000
91,90,Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,91,1999,3718,1694,164,1813,1078,874,212,4,130,111,183,176,0,0,5,0,0,1,0,134,1,149,0,0,144,9,218,17,0,208,85,534,4,0,180,172,315,0,0,4,0,302,2,0,110,100,265,1,0,858,711,1935,13,1798,1920,74,145,80,111,299,342,243,150,187,167,56,152,57,128,305,313,217,166,239,287,130,297,137,239,604,655,460,316,426,454,560,659,230,165,24,,90,3013875.23275000000,8243.81029693000
92,91,Residential,1,BNF,BANFF TRAIL,92,1999,3456,1673,148,1867,830,1064,126,0,60,4,0,406,5,1,3,0,0,11,0,59,4,90,1,0,331,13,555,61,1,124,38,281,1,0,0,0,0,0,1,8,2,14,11,0,3,0,6,1,1,1054,773,2510,8,1793,1663,76,106,100,337,406,277,167,81,128,115,51,124,93,290,332,227,144,87,152,163,127,230,193,627,738,504,311,168,280,278,461,660,258,180,20,,91,1451678.90162000000,5868.85466479000
93,92,Residential,1,UOC,UNIVERSITY OF CALGARY,93,1999,1895,708,160,385,0,0,0,0,456,250,0,0,0,0,2,0,0,0,0,447,0,475,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,671,0,0,245,0,749,5,0,0,0,0,0,891,1004,60,62,128,367,203,57,7,6,1,0,77,69,216,364,208,52,15,3,0,0,137,131,344,731,411,109,22,9,1,0,421,123,70,71,9,,92,2659623.13110000000,9062.31078562000
94,93,Residential,1,RMT,ROSEMONT,94,1999,1256,539,84,641,355,309,171,0,19,0,0,40,0,0,1,0,0,0,0,19,2,31,0,0,36,0,52,2,0,162,72,372,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,302,281,799,5,606,650,24,80,39,45,95,130,69,36,51,37,39,84,28,44,93,132,57,54,72,47,63,164,67,89,188,262,126,90,123,84,129,204,76,104,7,,93,449761.89635000000,2806.73173184000
95,94,Residential,1,MON,MONTGOMERY,95,1999,4056,1644,237,1977,1025,1136,255,0,43,51,0,148,0,7,1,1,0,5,0,43,0,58,0,0,140,15,259,7,0,251,146,690,4,0,0,0,0,0,0,8,1,264,6,0,49,0,134,2,2,1120,863,2651,10,2010,2046,85,196,130,176,360,385,260,143,180,95,101,189,105,147,320,369,225,153,301,136,186,385,235,323,680,754,485,296,481,231,384,654,302,245,26,,94,2951540.91663000000,7356.89078948000
98,97,Residential,1,TUX,TUXEDO PARK,98,1999,4500,2393,246,2811,974,1195,227,18,507,151,0,316,4,1,3,0,0,0,0,493,25,709,13,0,259,11,416,26,2,214,83,539,7,0,0,0,0,0,0,6,2,39,1,0,143,46,263,8,11,1143,807,2534,28,2311,2189,94,139,84,233,635,554,273,112,111,76,112,143,88,197,553,428,200,116,165,187,206,282,172,430,1188,982,473,228,276,263,904,819,305,203,27,,97,1322734.23302000000,4935.17773796000
99,98,Residential,1,RUN,RUNDLE,99,1999,11775,3570,1093,6367,2348,2223,175,0,0,1113,0,83,0,0,0,0,0,0,0,0,0,0,0,0,56,6,143,4,1,173,129,460,0,0,0,0,0,0,0,0,0,0,0,2,1022,215,2788,61,0,2207,1998,8384,12,6059,5716,457,926,504,628,958,1029,874,406,204,73,402,871,468,573,897,1006,835,350,220,94,859,1797,972,1201,1855,2035,1709,756,424,167,305,916,712,1165,360,,98,2641155.39385000000,6500.21963563000
100,99,Industrial,2,SUN,SUNRIDGE,100,1999,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,3,0,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,1,3,19,0,0,0,0,0,0,1,1,5,25,0,0,0,0,1,,99,2261595.84548000000,6030.34712684000
102,101,Residential,1,CGR,COUGAR RIDGE,102,1999,50,19,0,30,13,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,48,0,32,18,0,2,3,5,4,4,3,5,4,2,0,1,0,1,2,3,1,9,1,0,0,3,3,6,6,7,4,14,5,2,4,7,3,5,0,,101,2504978.14190000000,7978.30621102000
104,103,Residential,1,VIS,VISTA HEIGHTS,104,1999,2387,786,258,1190,350,381,22,0,0,371,1,8,0,0,0,0,0,3,0,0,0,0,0,0,8,3,17,0,0,21,3,56,1,0,0,0,0,1,0,2,0,2,1,0,356,5,1194,15,0,379,339,1118,2,1226,1161,107,191,94,132,212,232,135,72,38,13,98,209,81,92,184,246,135,74,32,10,205,400,175,224,396,478,270,146,70,23,80,223,176,241,46,,103,1140120.53583000000,4782.09869811000
105,104,Residential,1,PAT,PATTERSON,105,1999,3854,1835,215,2081,1175,530,133,0,640,578,0,0,0,0,0,0,0,0,0,458,81,904,10,0,0,0,0,0,1,119,112,263,11,0,0,0,0,0,0,0,0,0,0,0,525,478,955,14,0,515,504,1732,9,1872,1982,83,232,108,129,334,397,335,149,84,21,79,209,114,167,379,477,298,142,87,30,162,441,222,296,713,874,633,291,171,51,408,677,200,303,29,,104,1803263.94530000000,6614.21553936000
107,106,Residential,1,UNI,UNIVERSITY HEIGHTS,107,1999,2850,1369,117,1389,428,432,40,0,874,12,0,10,0,0,1,0,0,0,2,729,11,1380,142,0,9,0,18,0,0,39,10,134,1,0,0,0,0,0,0,1,0,2,0,0,12,0,40,0,0,431,407,1276,0,1438,1412,45,169,76,303,295,185,113,106,108,38,46,122,87,292,261,186,132,122,104,60,91,291,163,595,556,371,245,228,212,98,296,543,168,191,23,,106,811531.87867500000,4021.46433758000
108,107,Residential,1,WLD,WILDWOOD,108,1999,2706,1044,220,1278,966,1026,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,15,3,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,963,2662,8,1330,1376,82,214,67,51,128,290,161,114,136,87,77,191,63,46,137,307,158,133,170,94,159,405,130,97,265,597,319,247,306,181,186,405,149,280,13,,107,2566087.56175000000,8644.46420940000
110,109,Residential,1,WSP,WEST SPRINGS,110,1999,250,96,17,123,71,86,2,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,1,4,1,0,1,1,3,3,0,2,0,5,0,0,0,0,0,0,1,79,69,233,1,139,111,5,16,13,7,15,26,11,19,23,4,7,19,2,4,12,16,12,24,14,1,12,35,15,11,27,42,23,43,37,5,9,39,12,22,4,,109,4025934.55588000000,8271.79013398000
113,113,Residential,1,RDL,ROSEDALE,113,1999,1671,659,124,816,519,601,0,0,36,3,0,18,0,0,1,0,0,0,0,35,0,41,0,0,9,2,13,9,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,4,1,1,584,517,1607,14,821,850,37,128,51,43,84,185,161,57,40,35,56,127,48,41,108,173,153,46,42,56,93,255,99,84,192,358,314,103,82,91,140,200,116,161,14,,112,666359.18044900000,3717.94622919000
116,115,Residential,1,MPK,MARLBOROUGH PARK,116,1999,9109,2889,854,4950,2217,2059,76,0,0,630,0,157,0,0,1,0,0,0,0,0,0,0,0,0,101,8,213,17,0,75,28,198,1,0,0,0,0,0,0,0,0,0,1,0,609,376,1736,21,1,2039,1805,6962,19,4702,4407,336,748,356,407,773,925,661,314,130,52,296,721,358,308,693,863,650,294,147,77,632,1469,714,715,1466,1788,1311,608,277,129,289,757,612,971,195,,115,2486775.41740000000,6281.24041437000
117,116,Residential,1,ABB,ABBEYDALE,117,1999,6787,1979,754,3513,1529,1420,290,0,0,230,0,41,0,0,0,1,0,0,0,0,0,0,0,0,38,5,81,0,0,289,214,1000,1,0,0,0,0,0,0,1,0,13,0,0,229,103,733,1,0,1409,1207,4960,10,3432,3355,287,697,302,223,570,748,388,123,74,20,289,675,256,225,616,724,322,118,85,45,576,1372,558,448,1186,1472,710,241,159,65,155,398,466,800,147,,116,1668092.93833000000,5745.16522744000
118,117,Residential,1,MRL,MARLBOROUGH,118,1999,8999,3073,669,5048,2252,2259,125,0,378,193,0,125,0,0,1,0,0,0,1,372,0,681,5,0,100,16,212,10,0,123,79,424,2,0,0,0,0,0,0,1,1,3,0,1,181,142,526,5,0,2243,2014,7153,15,4659,4340,261,550,303,426,812,808,654,515,243,87,242,552,280,334,660,725,713,443,266,125,503,1102,583,760,1472,1533,1367,958,509,212,391,1044,615,766,204,,117,2654649.06177000000,6656.20455112000
119,118,Industrial,2,FRA,FRANKLIN,119,1999,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,118,1464568.43345000000,5267.82353310000
120,119,Residential,1,MAL,MAYLAND HEIGHTS,120,1999,6200,2707,434,3456,1337,1307,317,5,622,293,0,165,0,0,1,0,0,1,1,483,0,850,39,0,135,6,245,12,0,317,138,839,0,0,0,0,0,0,0,1,0,1,1,0,280,13,761,6,1,1301,1180,3504,5,3175,3025,160,355,185,374,584,640,336,260,216,65,173,365,159,273,510,548,313,324,256,104,333,720,344,647,1094,1188,649,584,472,169,542,993,468,478,36,,119,2021744.69658000000,6234.95932847000
121,120,Industrial,2,MER,MERIDIAN,121,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,120,1382384.18490000000,5945.49733128000
