CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residential,1,STR,STRATHCONA PARK,2002,,6572,2253,587,0,1997,1827,211,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192,168,443,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,140,416,10,0,0,4,1746,1689,5713,15,62,0,0,219,631,440,779,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2735106.24713000000,9076.76255029000
Residential,1,PEN,PENBROOKE MEADOWS,2002,,9130,2951,875,0,1992,1615,382,0,77,681,0,196,0,0,0,0,0,0,0,0,75,0,151,2,0,0,0,164,9,372,32,0,0,1,376,227,1317,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,383,2037,27,0,0,0,1597,1373,5253,18,0,0,0,329,814,637,852,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2045530.64722000000,5891.18692864000
Residential,1,FHT,FOREST HEIGHTS,2002,,6640,2090,604,0,1435,944,466,0,31,572,0,76,0,0,0,1,0,0,0,0,31,0,38,0,0,0,0,73,11,171,1,0,2,0,458,280,1576,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245,0,0,0,0,559,323,1618,13,0,0,1,939,821,2992,4,0,0,1,281,588,454,578,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1502394.71010000000,5191.93703611000
Residential,1,ASP,ASPEN WOODS,2002,,186,79,18,0,51,75,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,50,177,4,10,0,0,7,24,10,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3811124.12542000000,8898.27710649000
Residual Sub Area,4,06A,06A,2002,,56,15,5,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,56,2,0,0,0,0,1,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3021317.24649000000,13791.37977540000
Residential,1,UNI,UNIVERSITY HEIGHTS,2002,,2992,1373,126,0,428,430,41,0,875,12,0,14,0,0,1,0,0,0,0,0,816,16,1531,59,0,0,0,12,0,24,1,0,1,0,41,9,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,11,0,39,1,0,0,0,430,403,1269,0,0,0,1,343,576,185,193,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,811531.87867500000,4021.46433758000
Residential,1,STA,ST. ANDREWS HEIGHTS,2002,,1807,719,88,0,333,405,0,0,178,132,0,2,0,0,0,2,0,0,0,8,166,0,243,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,190,0,0,0,0,132,13,302,0,0,0,0,402,320,1069,3,0,0,2,182,305,87,117,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1160346.78738000000,4934.28730086000
Residential,1,REN,RENFREW,2002,,5671,3016,268,0,1591,1546,119,4,567,372,0,403,0,4,1,0,0,0,0,0,554,136,852,13,0,0,0,342,12,512,58,0,3,0,111,40,236,5,3,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,5,1,8,0,0,0,0,360,278,718,8,4,0,9,1483,1120,3338,51,3,0,5,1045,1179,368,248,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2658799.57311000000,7957.59355945000
Residential,1,CRE,CRESCENT HEIGHTS,2002,,5861,3552,231,0,1299,1196,40,6,1918,172,0,210,0,7,3,0,0,0,0,3,1806,322,2646,103,6,0,4,170,16,263,18,0,18,0,39,16,90,0,0,1,0,0,0,0,0,0,0,0,5,1,7,1,0,0,0,9,1,14,1,0,0,0,161,98,298,11,0,0,5,1153,845,2543,38,0,0,10,1602,1229,311,190,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1625050.39740000000,5801.21946272000
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,2002,,109,62,3,0,58,0,0,0,0,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,108,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,29,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1539029.35315000000,7472.83326905000
