IssuedYear,IssuedDate,Issued Within 21 Days,Completed Online,Permit Count,Issued Within 21 Days YTD,Completed Online YTD,Permit Count YTD
2008,2008-08-28,18,0,20,2232,0,2536
2008,2008-08-29,10,0,10,2242,0,2546
2008,2008-09-02,13,0,16,2255,0,2562
2008,2008-09-03,12,0,12,2267,0,2574
2008,2008-09-04,13,0,14,2280,0,2588
2008,2008-09-05,9,0,13,2289,0,2601
2008,2008-09-08,6,0,6,2295,0,2607
2008,2008-09-09,16,0,19,2311,0,2626
2008,2008-09-10,10,0,11,2321,0,2637
2008,2008-09-11,16,0,16,2337,0,2653
2008,2008-09-12,10,0,12,2347,0,2665
2008,2008-09-15,19,0,20,2366,0,2685
2008,2008-09-16,18,0,20,2384,0,2705
2008,2008-09-17,11,0,11,2395,0,2716
2008,2008-09-18,6,0,8,2401,0,2724
2008,2008-09-22,2,0,3,2403,0,2727
2008,2008-09-23,12,0,13,2415,0,2740
2008,2008-09-24,20,0,21,2435,0,2761
2008,2008-09-25,1,0,1,2436,0,2762
2008,2008-09-26,7,0,10,2443,0,2772
2008,2008-09-29,9,0,9,2452,0,2781
2008,2008-09-30,12,0,14,2464,0,2795
2008,2008-10-01,10,0,11,2474,0,2806
2008,2008-10-02,7,0,7,2481,0,2813
2008,2008-10-03,7,0,8,2488,0,2821
2008,2008-10-06,5,0,6,2493,0,2827
2008,2008-10-07,16,0,19,2509,0,2846
2008,2008-10-08,15,0,18,2524,0,2864
2008,2008-10-09,11,0,11,2535,0,2875
2008,2008-10-10,10,0,11,2545,0,2886
2008,2008-10-14,10,0,12,2555,0,2898
2008,2008-10-15,17,0,18,2572,0,2916
2008,2008-10-16,15,0,18,2587,0,2934
2008,2008-10-17,7,0,10,2594,0,2944
2008,2008-10-20,7,0,9,2601,0,2953
2008,2008-10-21,12,0,15,2613,0,2968
2008,2008-10-22,24,0,26,2637,0,2994
2008,2008-10-23,15,0,17,2652,0,3011
2008,2008-10-24,23,0,24,2675,0,3035
2008,2008-10-27,13,0,13,2688,0,3048
2008,2008-10-28,19,0,19,2707,0,3067
2008,2008-10-29,22,0,23,2729,0,3090
2008,2008-10-30,19,0,19,2748,0,3109
2008,2008-10-31,13,0,13,2761,0,3122
2008,2008-11-03,9,0,12,2770,0,3134
2008,2008-11-04,21,0,28,2791,0,3162
2008,2008-11-05,11,0,14,2802,0,3176
2008,2008-11-06,17,0,21,2819,0,3197
2008,2008-11-07,8,0,10,2827,0,3207
2008,2008-11-10,2,0,2,2829,0,3209
2008,2008-11-12,12,0,12,2841,0,3221
2008,2008-11-13,12,0,13,2853,0,3234
2008,2008-11-14,17,0,17,2870,0,3251
2008,2008-11-17,4,0,4,2874,0,3255
2008,2008-11-18,14,0,14,2888,0,3269
2008,2008-11-19,14,0,16,2902,0,3285
2008,2008-11-20,13,0,15,2915,0,3300
2008,2008-11-21,18,0,19,2933,0,3319
2008,2008-11-24,5,0,5,2938,0,3324
2008,2008-11-25,18,0,18,2956,0,3342
2008,2008-11-26,18,0,21,2974,0,3363
2008,2008-11-27,16,0,18,2990,0,3381
2008,2008-11-28,13,0,13,3003,0,3394
2008,2008-12-01,18,0,18,3021,0,3412
2008,2008-12-02,18,0,19,3039,0,3431
2008,2008-12-03,16,0,16,3055,0,3447
2008,2008-12-04,15,0,15,3070,0,3462
2008,2008-12-05,11,0,11,3081,0,3473
2008,2008-12-08,4,0,4,3085,0,3477
2008,2008-12-09,15,0,16,3100,0,3493
2008,2008-12-10,20,0,20,3120,0,3513
2008,2008-12-11,13,0,14,3133,0,3527
2008,2008-12-12,8,0,9,3141,0,3536
2008,2008-12-15,8,0,8,3149,0,3544
2008,2008-12-16,7,0,8,3156,0,3552
2008,2008-12-17,10,0,10,3166,0,3562
2008,2008-12-18,3,0,3,3169,0,3565
2008,2008-12-19,3,0,5,3172,0,3570
2008,2008-12-22,6,0,7,3178,0,3577
2008,2008-12-23,3,0,3,3181,0,3580
2008,2008-12-24,4,0,5,3185,0,3585
2008,2008-12-29,5,0,5,3190,0,3590
2008,2008-12-30,11,0,11,3201,0,3601
2008,2008-12-31,9,0,9,3210,0,3610
2009,2009-01-02,9,0,9,9,0,9
2009,2009-01-05,4,0,4,13,0,13
2009,2009-01-06,20,0,20,33,0,33
2009,2009-01-07,19,0,21,52,0,54
2009,2009-01-08,19,0,19,71,0,73
2009,2009-01-09,5,0,5,76,0,78
2009,2009-01-12,9,0,10,85,0,88
2009,2009-01-13,7,0,7,92,0,95
2009,2009-01-14,10,0,10,102,0,105
2009,2009-01-15,10,0,12,112,0,117
2009,2009-01-16,10,0,11,122,0,128
2009,2009-01-19,9,0,9,131,0,137
2009,2009-01-20,13,0,13,144,0,150
2009,2009-01-21,9,0,9,153,0,159
2009,2009-01-22,5,0,5,158,0,164
2009,2009-01-23,5,0,5,163,0,169
2009,2009-01-26,7,0,7,170,0,176
2009,2009-01-27,10,0,11,180,0,187
2009,2009-01-28,4,0,5,184,0,192
2009,2009-01-29,2,0,2,186,0,194
2009,2009-01-30,3,0,3,189,0,197
2009,2009-02-02,3,0,3,192,0,200
2009,2009-02-03,8,0,8,200,0,208
2009,2009-02-04,2,0,2,202,0,210
2009,2009-02-05,2,0,2,204,0,212
2009,2009-02-06,4,0,4,208,0,216
2009,2009-02-09,10,0,10,218,0,226
2009,2009-02-10,2,0,2,220,0,228
2009,2009-02-11,9,0,9,229,0,237
2009,2009-02-12,8,0,8,237,0,245
2009,2009-02-13,2,0,2,239,0,247
2009,2009-02-17,6,0,6,245,0,253
2009,2009-02-18,6,0,7,251,0,260
2009,2009-02-19,3,0,3,254,0,263
2009,2009-02-20,9,0,10,263,0,273
2009,2009-02-23,8,0,9,271,0,282
2009,2009-02-24,5,0,5,276,0,287
2009,2009-02-25,4,0,4,280,0,291
2009,2009-02-26,6,0,6,286,0,297
2009,2009-02-27,7,0,7,293,0,304
2009,2009-03-02,5,0,5,298,0,309
2009,2009-03-03,7,0,7,305,0,316
2009,2009-03-04,12,0,12,317,0,328
2009,2009-03-05,7,0,7,324,0,335
2009,2009-03-06,3,0,3,327,0,338
2009,2009-03-09,8,0,8,335,0,346
2009,2009-03-10,9,0,9,344,0,355
2009,2009-03-11,9,0,9,353,0,364
2009,2009-03-12,11,0,11,364,0,375
2009,2009-03-13,2,0,2,366,0,377
2009,2009-03-16,5,0,5,371,0,382
2009,2009-03-17,7,0,8,378,0,390
2009,2009-03-18,10,0,10,388,0,400
2009,2009-03-19,7,0,8,395,0,408
2009,2009-03-20,8,0,8,403,0,416
2009,2009-03-23,7,0,7,410,0,423
2009,2009-03-24,7,0,7,417,0,430
2009,2009-03-25,7,0,10,424,0,440
2009,2009-03-26,7,0,7,431,0,447
2009,2009-03-27,5,0,8,436,0,455
2009,2009-03-30,21,0,21,457,0,476
2009,2009-03-31,18,0,18,475,0,494
2009,2009-04-01,5,0,5,480,0,499
2009,2009-04-02,6,0,7,486,0,506
2009,2009-04-03,2,0,2,488,0,508
2009,2009-04-06,6,0,6,494,0,514
2009,2009-04-07,13,0,13,507,0,527
2009,2009-04-08,3,0,3,510,0,530
2009,2009-04-09,8,0,8,518,0,538
2009,2009-04-13,8,0,8,526,0,546
2009,2009-04-14,16,0,16,542,0,562
2009,2009-04-15,15,0,15,557,0,577
2009,2009-04-16,8,0,8,565,0,585
2009,2009-04-17,7,0,7,572,0,592
2009,2009-04-20,8,0,8,580,0,600
2009,2009-04-21,14,0,14,594,0,614
2009,2009-04-22,9,0,10,603,0,624
2009,2009-04-23,15,0,18,618,0,642
2009,2009-04-24,9,0,9,627,0,651
2009,2009-04-27,13,0,13,640,0,664
2009,2009-04-28,32,0,35,672,0,699
2009,2009-04-29,19,0,19,691,0,718
2009,2009-04-30,15,0,17,706,0,735
2009,2009-05-01,6,0,6,712,0,741
2009,2009-05-04,6,0,8,718,0,749
2009,2009-05-05,11,0,15,729,0,764
2009,2009-05-06,20,0,22,749,0,786
2009,2009-05-07,14,0,15,763,0,801
2009,2009-05-08,8,0,10,771,0,811
2009,2009-05-11,12,0,13,783,0,824
2009,2009-05-12,12,0,17,795,0,841
2009,2009-05-13,11,0,16,806,0,857
2009,2009-05-14,17,0,21,823,0,878
2009,2009-05-15,2,0,5,825,0,883
2009,2009-05-19,8,0,11,833,0,894
2009,2009-05-20,13,0,17,846,0,911
2009,2009-05-21,14,0,15,860,0,926
2009,2009-05-22,10,0,11,870,0,937
2009,2009-05-25,7,0,12,877,0,949
2009,2009-05-26,1,0,6,878,0,955
2009,2009-05-27,8,0,15,886,0,970
2009,2009-05-28,7,0,9,893,0,979
2009,2009-05-29,1,0,8,894,0,987
2009,2009-06-01,3,0,12,897,0,999
2009,2009-06-02,2,0,10,899,0,1009
2009,2009-06-03,4,0,11,903,0,1020
2009,2009-06-04,2,0,24,905,0,1044
2009,2009-06-05,4,0,25,909,0,1069
2009,2009-06-08,2,0,13,911,0,1082
2009,2009-06-09,5,0,23,916,0,1105
2009,2009-06-10,2,0,21,918,0,1126
2009,2009-06-11,1,0,14,919,0,1140
2009,2009-06-12,6,0,21,925,0,1161
2009,2009-06-15,4,0,21,929,0,1182
2009,2009-06-16,1,0,11,930,0,1193
2009,2009-06-17,3,0,31,933,0,1224
2009,2009-06-18,3,0,25,936,0,1249
2009,2009-06-19,0,0,5,936,0,1254
2009,2009-06-22,0,0,4,936,0,1258
2009,2009-06-23,0,0,6,936,0,1264
2009,2009-06-24,2,0,13,938,0,1277
2009,2009-06-25,0,0,7,938,0,1284
2009,2009-06-26,2,0,12,940,0,1296
2009,2009-06-29,6,0,14,946,0,1310
2009,2009-06-30,4,0,12,950,0,1322
2009,2009-07-02,2,0,12,952,0,1334
2009,2009-07-03,2,0,7,954,0,1341
2009,2009-07-06,1,0,8,955,0,1349
2009,2009-07-07,5,0,20,960,0,1369
2009,2009-07-08,2,0,23,962,0,1392
2009,2009-07-09,0,0,16,962,0,1408
2009,2009-07-10,5,0,14,967,0,1422
2009,2009-07-13,2,0,6,969,0,1428
2009,2009-07-14,6,0,23,975,0,1451
2009,2009-07-15,2,0,24,977,0,1475
2009,2009-07-16,0,0,15,977,0,1490
2009,2009-07-17,6,0,27,983,0,1517
2009,2009-07-20,1,0,31,984,0,1548
2009,2009-07-21,2,0,32,986,0,1580
2009,2009-07-22,1,0,23,987,0,1603
2009,2009-07-23,1,0,20,988,0,1623
2009,2009-07-24,2,0,16,990,0,1639
2009,2009-07-27,0,0,18,990,0,1657
2009,2009-07-28,2,0,23,992,0,1680
2009,2009-07-29,3,0,23,995,0,1703
2009,2009-07-30,1,0,25,996,0,1728
