NAME,Latitude,Longitude,Address,HOUSENUM,Borough,ZIP,URL
Broad Channel,40.600732105185145,-73.82005265821793 ,Cross Bay Boulevard,16-26,Queens,11693,http://www.queenslibrary.org/branch/Broad-Channel?filters=ev_loc:97200000
Broadway,40.75852926696433,-73.91862332039818 ,Broadway,40-20,Queens,11103,http://www.queenslibrary.org/branch/Broadway?filters=ev_loc:91200000
Cambria Heights,40.695722605950635,-73.741163136486 ,Linden Boulevard,218-13,Queens,11411,http://www.queenslibrary.org/branch/Cambria-Heights?filters=ev_loc:92800000
Queens Central Library,40.70787313178586,-73.7946780399278 ,Merrick Boulevard,89-11,Queens,11432,http://www.queenslibrary.org/branch/Central-Library?filters=ev_loc:11000000
Corona,40.7508940803989,-73.86197684397808 ,104 Street,38-23,Queens,11368,http://www.queenslibrary.org/branch/Corona?filters=ev_loc:92900000
Court Square,40.74689957448345,-73.94442138618983 ,Jackson Avenue,25-01,Queens,11101,http://www.queenslibrary.org/branch/Court-Square?filters=ev_loc:97100000
Douglaston/Little Neck,40.768225432005,-73.73822944076473 ,Northern Boulevard,249-01,Queens,11363,http://www.queenslibrary.org/branch/Douglaston/Little-Neck?filters=ev_loc:93000000
East Elmhurst,40.76242212968529,-73.87386662995279 ,Astoria Boulevard,95-06,Queens,11369,http://www.queenslibrary.org/branch/East-Elmhurst?filters=ev_loc:93100000
East Flushing,40.757545679612846,-73.78430296366649 ,Northern Boulevard,196-36,Queens,11358,http://www.queenslibrary.org/branch/East-Flushing?filters=ev_loc:96200000
Elmhurst <br> (Temporary location due to renovations,40.738303240536474,-73.87797365739723 ,51 Avenue,85-08,Queens,11373,http://www.queenslibrary.org/branch/Elmhurst?filters=ev_loc:93200000
Far Rockaway,40.60431350914963,-73.75247942402618 ,Central Avenue,1637,Queens,11691,http://www.queenslibrary.org/branch/Far-Rockaway?filters=ev_loc:91300000
Flushing,40.75777406826378,-73.82888468513289 ,Main Street,41-17,Queens,11355,http://www.queenslibrary.org/branch/Flushing?filters=ev_loc:91400000
Forest Hills,40.722146953166686,-73.84301499681045 ,71 Avenue,108-19,Queens,11375,http://www.queenslibrary.org/branch/Forest-Hills?filters=ev_loc:91500000
Fresh Meadows,40.74158266352509,-73.78228143761608 ,Horace Harding Expressway,193-20,Queens,11365,http://www.queenslibrary.org/branch/Fresh-Meadows?filters=ev_loc:91600000
Glen Oaks,40.745172198133105,-73.71484580101803 ,Union Turnpike,256-04,Queens,11004,http://www.queenslibrary.org/branch/Glen-Oaks?filters=ev_loc:93300000
Glendale,40.702585245598996,-73.87574434777649 ,73 Place,78-60,Queens,11385,http://www.queenslibrary.org/branch/Glendale?filters=ev_loc:93400000
Hillcrest,40.72925482196691,-73.78191929899681 ,Union Turnpike,187-05,Queens,11366,http://www.queenslibrary.org/branch/Hillcrest?filters=ev_loc:96500000
Hollis,40.720166536917226,-73.76232032699329 ,Hillside Avenue,202-05,Queens,11423,http://www.queenslibrary.org/branch/Hollis?filters=ev_loc:93500000
Howard Beach,40.66381025649444,-73.84180221655218 ,156 Avenue,92-06,Queens,11414,http://www.queenslibrary.org/branch/Howard-Beach?filters=ev_loc:93600000
Jackson Heights,40.75019608559315,-73.88506932468307 ,81 Street,35-51,Queens,11372,http://www.queenslibrary.org/branch/Jackson-Heights?filters=ev_loc:91700000
Kew Gardens Hills <br> (Temporary location,40.72693697185495,-73.82226966032037 ,Main Street,71-34,Queens,11367,http://www.queenslibrary.org/branch/Kew-Gardens-Hills?filters=ev_loc:92200000
Langston Hughes,40.757577301854525,-73.86819939085701 ,Northern Boulevard,100-01,Queens,11368,http://www.queenslibrary.org/branch/Langston-Hughes?filters=ev_loc:98200000
Laurelton,40.67695272804687,-73.74567356126445 ,225 Street,134-26,Queens,11413,http://www.queenslibrary.org/branch/Laurelton?filters=ev_loc:91800000
Lefferts,40.68690728824833,-73.82482969850855 ,Lefferts Boulevard,103-34,Queens,11419,http://www.queenslibrary.org/branch/Lefferts?filters=ev_loc:91000000
Lefrak City,40.737434137948505,-73.86165592933878 ,57 Avenue,98-30,Queens,11368,http://www.queenslibrary.org/branch/Lefrak-City?filters=ev_loc:93700000
Long Island City,40.75780342796006,-73.93930930198185 ,21 Street,37-44,Queens,11101,http://www.queenslibrary.org/branch/Long-Island-City?filters=ev_loc:97300000
Maspeth,40.72699537010918,-73.89310456490118 ,Grand Avenue,69-70,Queens,11378,http://www.queenslibrary.org/branch/Maspeth?filters=ev_loc:93900000
McGoldrick,40.76375031625646,-73.8098334843409 ,Roosevelt Avenue,155-06,Queens,11354,http://www.queenslibrary.org/branch/McGoldrick?filters=ev_loc:93800000
Middle Village,40.71293387617611,-73.88085934625774 ,Metropolitan Avenue,72-31,Queens,11379,http://www.queenslibrary.org/branch/Middle-Village?filters=ev_loc:94000000
Mitchell-Linden,40.76914153216748,-73.82694112165963 ,Union Street,31-32,Queens,11354,http://www.queenslibrary.org/branch/Mitchell-Linden?filters=ev_loc:94100000
North Forest Park,40.711156858305394,-73.85367250555949 ,Metropolitan Avenue,98-27,Queens,11375,http://www.queenslibrary.org/branch/North-Forest-Park?filters=ev_loc:96800000
North Hills,40.75925363922453,-73.73183792044951 ,Marathon Parkway,57-04,Queens,11362,http://www.queenslibrary.org/branch/North-Hills?filters=ev_loc:94200000
Ozone Park <br> (Closed for renovations,40.680867178856886,-73.84648846296761 ,Rockaway Boulevard,92-24,Queens,11417,http://www.queenslibrary.org/branch/Ozone-Park?filters=ev_loc:94300000
Peninsula,40.58586414713836,-73.81606502823946 ,Rockaway Beach Boulevard,92-25,Queens,11693,http://www.queenslibrary.org/branch/Peninsula?filters=ev_loc:94400000
Pomonok,40.732925077255004,-73.81009488691065 ,Jewel Avenue,158-21,Queens,11365,http://www.queenslibrary.org/branch/Pomonok?filters=ev_loc:94500000
Poppenhusen,40.786213103407846,-73.84601807353184 ,14 Avenue,121-23,Queens,11356,http://www.queenslibrary.org/branch/Poppenhusen?filters=ev_loc:94600000
Queens Library for Teens,40.60239019036059,-73.75351240691268 ,Cornaga Avenue,2002,Queens,11691,http://www.queenslibrary.org/branch/Queens-Library-for-Teens?filters=ev_loc:91309134
