"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrup";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo"
"10000917";"1";"CENTRO              ";"106";"SOL                 ";"";"";"121";"440071,14";"4474217,46";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"TOLEDO                                            ";"11007702";"1";"NUM";"10";"  ";"10";"";"CALLE                   ";"TOLEDO                                            ";"11007702";"1";"NUM";"10";"  ";"";"";"";"";"";"";"";"";"TABERNA RESTAURANTE"
"10000960";"1";"CENTRO              ";"106";"SOL                 ";"";"";"118";"440678,55";"4474750,88";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"CABALLERO DE GRACIA                               ";"11007378";"1";"NUM";"12";"  ";"10";"";"CALLE                   ";"CABALLERO DE GRACIA                               ";"11007378";"1";"NUM";"12";"  ";"";"";"";"";"";"";"";"";"DULCINEA CAFETERIA"
"10000964";"1";"CENTRO              ";"106";"SOL                 ";"";"";"119";"440453,54";"4474410,73";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"CARRETAS                                          ";"11007465";"1";"NUM";"7";"  ";"10";"";"CALLE                   ";"CARRETAS                                          ";"11007465";"1";"NUM";"7";"  ";"";"";"";"";"";"";"";"";"THE PHONE HOUSE"
"10000977";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"84";"441089,42";"4475362,75";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FERNANDO VI                                       ";"11005030";"1";"NUM";"21";"  ";"10";"";"CALLE                   ";"FERNANDO VI                                       ";"11005030";"1";"NUM";"21";"  ";"";"";"";"";"";"";"";"";"EL CAFETIN DE FERNANDO VI"
"10001020";"1";"CENTRO              ";"101";"PALACIO             ";"";"";"1";"439642,81";"4474824,19";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"BAILEN                                            ";"11000006";"1";"NUM";"15";"  ";"10";"";"CALLE                   ";"BAILEN                                            ";"11000006";"1";"NUM";"15";"  ";"";"";"";"";"";"";"";"";"HAAGEN-DAZS ILLY"
"10001038";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"95";"440644,02";"4475055,4";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FUENCARRAL                                        ";"11005639";"1";"NUM";"31";"  ";"20";"";"CALLE                   ";"FUENCARRAL                                        ";"11005639";"1";"NUM";"31";"  ";"";"";"";"";"";"";"";"";"DOBLE A"
"10001062";"1";"CENTRO              ";"103";"CORTES              ";"";"";"63";"441238,25";"4473984,58";"";"Puerta Calle";"1";"Abierto";"";"PLAZA                   ";"PLATERIA DE MARTINEZ                              ";"11003428";"1";"NUM";"1";"  ";"20";"";"PLAZA                   ";"PLATERIA DE MARTINEZ                              ";"11003428";"1";"NUM";"1";"  ";"";"";"";"";"";"";"";"";"LA TAPERIA"
"10001115";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"116";"440594,2";"4474876,04";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FUENCARRAL                                        ";"11007173";"1";"NUM";"5";"  ";"10";"";"CALLE                   ";"FUENCARRAL                                        ";"11007173";"1";"NUM";"5";"  ";"";"";"";"";"";"";"";"";"ADOLFO DOMINGUEZ"
"10001120";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"75";"440623,76";"4474931,09";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FUENCARRAL                                        ";"11004404";"1";"NUM";"10";"  ";"10";"";"CALLE                   ";"FUENCARRAL                                        ";"11004404";"1";"NUM";"10";"  ";"";"";"";"";"";"";"";"";"ELICES COMPANY"
"10001123";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"75";"440654,63";"4475047,67";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FUENCARRAL                                        ";"11004409";"1";"NUM";"22";"  ";"10";"";"CALLE                   ";"FUENCARRAL                                        ";"11004409";"1";"NUM";"22";"  ";"";"";"";"";"";"";"";"";"QUICKSILVER"
"10001127";"1";"CENTRO              ";"101";"PALACIO             ";"";"";"6";"439938,54";"4474575,65";"";"Puerta Calle";"1";"Abierto";"";"PLAZA                   ";"ISABEL II                                         ";"11000396";"1";"NUM";"1";"  ";"20";"";"PLAZA                   ";"ISABEL II                                         ";"11000396";"1";"NUM";"1";"  ";"";"";"";"";"";"";"";"";"MCDONALD'S 0PERA"
"10001163";"1";"CENTRO              ";"106";"SOL                 ";"";"";"117";"440060,02";"4474792,81";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"VENERAS                                           ";"11007242";"1";"NUM";"9";"  ";"30";"";"PLAZA                   ";"SANTO DOMINGO                                     ";"31020462";"1";"NUM";"18";"  ";"";"";"";"";"";"";"";"";"RESTAURANTE"
"10001238";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"94";"440606,52";"4475332,78";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"SAN JOAQUIN                                       ";"11005593";"1";"NUM";"10";"  ";"10";"";"CALLE                   ";"SAN JOAQUIN                                       ";"11005593";"1";"NUM";"10";"  ";"";"";"";"";"";"";"";"";"CENTRO BENITO MARTIN LOZANO"
