SECNAME,ROADCLASS,Shape_Leng,YEAR_VOL,VOLUME
17AVSW17,Neighbourhood Blvd,346.6362592,2015,15000
17AVSW18,Neighbourhood Blvd,172.6736295,2015,8000
17AVSW1A,Arterial Street,1655.320803,2015,19000
17AVSW2,Arterial Street,625.4013528,2015,20000
17AVSW3,Arterial Street,497.9006756,2015,36000
17AVSW4,Arterial Street,874.9332687,2015,25000
17AVSW5,Arterial Street,820.6940457,2015,24000
17AVSW6,Skeletal Road,470.5507426,2015,25000
17AVSW6A,Neighbourhood Blvd,400.4496159,2015,25000
17AVSW6D,Neighbourhood Blvd,1227.267868,2015,22000
17AVSW7,Neighbourhood Blvd,1158.901444,2015,20000
17AVSW8,Neighbourhood Blvd,384.8736046,2015,18000
18AVNE1,Collector,307.6217467,2015,9000
18STSE1,Collector,329.0251505,2015,9000
18STSE1A,Arterial Street,376.4246449,2015,19000
18STSE1B,Arterial Street,654.5022874,2015,48000
18STSE1C,Arterial Street,319.484842,2015,26000
18STSE2,Arterial Street,1062.17094,2015,19000
18STSE3,Arterial Street,1254.940771,2015,13000
194AVS1,Arterial Street,522.649653,2015,21000
194AVSE2,Arterial Street,865.6432659,2015,11000
194AVSE3,Arterial Street,1396.846099,2015,9000
194AVSW1,Arterial Street,487.4578301,2015,1000
194AVSW2,Arterial Street,623.3004,2015,1000
19STNE11,Industrial Arterial,515.8033829,2015,5000
19STNE12,Industrial Arterial,265.943869,2015,11000
19STNE1A,Collector,649.6857879,2015,5000
19STNE1B,Collector,827.874892,2015,10000
19STNE1C,Collector,209.3011411,2015,21000
19STNE1E,Collector,883.4958017,2015,7000
19STNE2,Industrial Arterial,495.0538406,2015,12000
19STNE3,Industrial Arterial,482.4454011,2015,9000
19STNEA1,Industrial Arterial,438.0263086,2015,3000
19STNW0,Collector,603.8276121,2015,9000
19STNW1,Collector,1570.394851,2015,9000
19STNW2,Collector,803.7246326,2015,15000
19STNW3,Collector,1081.232698,2015,10000
19STNW4,Collector,548.7582116,2015,6000
19STSE1,Arterial Street,300.7533453,2015,15000
1AVNE1,Neighbourhood Blvd,391.3396585,2015,11000
1AVS1,Collector,171.6581203,2015,8000
1AVS2,Collector,177.9192656,2015,10000
1STE1,Neighbourhood Blvd,213.4273546,2015,5000
1STE10,Neighbourhood Blvd,392.5126824,2015,26000
1STE11,Neighbourhood Blvd,518.6130787,2015,26000
1STE2,Neighbourhood Blvd,104.7098764,2015,19000
1STE3,Neighbourhood Blvd,105.0489196,2015,20000
1STE4,Neighbourhood Blvd,315.7107673,2015,22000
1STE6,Neighbourhood Blvd,143.1268743,2015,26000
1STE7,Neighbourhood Blvd,104.0451916,2015,23000
1STE8,Neighbourhood Blvd,107.2860644,2015,24000
1STW1,Neighbourhood Blvd,103.6377374,2015,5000
1STW1_A,Collector,219.3556536,2015,5000
1STW2,Neighbourhood Blvd,104.7093611,2015,9000
1STW3,Neighbourhood Blvd,103.3810638,2015,9000
1STW4,Neighbourhood Blvd,317.4179219,2015,9000
1STW5,Neighbourhood Blvd,143.1260706,2015,11000
1STW6,Neighbourhood Blvd,103.9950165,2015,10000
1STW7,Neighbourhood Blvd,107.2860737,2015,8000
1STW8,Neighbourhood Blvd,408.2232472,2015,6000
20AVN1,Collector,690.6872874,2015,10000
20AVN1B,Collector,810.2268896,2015,7000
20AVN2,Collector,935.1050632,2015,13000
20AVN2B,Collector,286.7245496,2015,10000
20AVN2C,Urban Boulevard,347.1862222,2015,10000
20AVN2D,Urban Boulevard,447.2601817,2015,8000
20AVNE1,Arterial Street,281.4498304,2015,14000
20AVNE1A,Arterial Street,233.9291335,2015,10000
210AVSE1,Arterial Street,2488.775051,2015,300
210AVSE2,Arterial Street,937.2705155,2015,200
22X1,Skeletal Road,3258.949511,2015,21000
22X1A,Skeletal Road,4880.00133,2015,12000
22X2,Skeletal Road,1504.326,2015,26000
22X2A,Skeletal Road,1167.977747,2015,39000
22X3,Skeletal Road,2080.092995,2015,36000
22X4,Skeletal Road,2451.014938,2015,65000
22X5,Skeletal Road,1203.413477,2015,48000
22X6,Skeletal Road,2099.961971,2015,39000
22X7,Skeletal Road,2877.478181,2015,40000
22XSE8,Skeletal Road,3247.964891,2015,7000
23AVNE0,Collector,182.5831817,2015,8000
23AVNE1,Collector,346.4239148,2015,16000
23AVNE2,Collector,842.786583,2015,10000
24AVN1,Collector,811.6218661,2015,11000
24AVN1A,Collector,856.2005536,2015,16000
24AVN2,Arterial Street,721.6742195,2015,13000
24AVN3,Arterial Street,903.6162314,2015,9000
24STSE1,Arterial Street,765.0816715,2015,10000
24STSE2,Arterial Street,1837.401351,2015,5000
